symbol,timeframe,gap_start,gap_end,gap_minutes,gap_category
AUDCAD.r,M15,2025-12-31 23:45:00,2026-01-02 00:00:00,1455,short_missing_gap
AUDCAD.r,M15,2024-12-31 23:45:00,2025-01-02 00:00:00,1455,short_missing_gap
AUDCAD.r,M15,2024-12-24 23:45:00,2024-12-26 00:00:00,1455,short_missing_gap
AUDCAD.r,M15,2023-12-22 23:45:00,2023-12-27 00:00:00,5775,session_or_weekend
AUDCAD.r,M15,2022-12-23 23:45:00,2022-12-27 00:00:00,4335,session_or_weekend
AUDCAD.r,M15,2023-12-29 23:45:00,2024-01-02 00:00:00,4335,session_or_weekend
AUDCAD.r,M30,2025-12-24 23:30:00,2025-12-26 00:00:00,1470,short_missing_gap
AUDCAD.r,M30,2025-12-31 23:30:00,2026-01-02 00:00:00,1470,short_missing_gap
AUDCAD.r,M30,2024-12-31 23:30:00,2025-01-02 00:00:00,1470,short_missing_gap
AUDCAD.r,M30,2023-12-22 23:30:00,2023-12-27 00:00:00,5790,session_or_weekend
AUDCAD.r,M30,2023-12-29 23:30:00,2024-01-02 00:00:00,4350,session_or_weekend
AUDCAD.r,M30,2022-12-23 23:30:00,2022-12-27 00:00:00,4350,session_or_weekend
AUDCAD.r,H1,2025-12-31 23:00:00,2026-01-02 00:00:00,1500,short_missing_gap
AUDCAD.r,H1,2024-12-24 23:00:00,2024-12-26 00:00:00,1500,short_missing_gap
AUDCAD.r,H1,2024-12-31 23:00:00,2025-01-02 00:00:00,1500,short_missing_gap
AUDCAD.r,H1,2023-12-22 23:00:00,2023-12-27 00:00:00,5820,session_or_weekend
AUDCAD.r,H1,2023-12-29 23:00:00,2024-01-02 00:00:00,4380,session_or_weekend
AUDCAD.r,H1,2022-12-23 23:00:00,2022-12-27 00:00:00,4380,session_or_weekend
AUDCAD.r,H4,2024-12-24 20:00:00,2024-12-26 00:00:00,1680,short_missing_gap
AUDCAD.r,H4,2024-12-31 20:00:00,2025-01-02 00:00:00,1680,short_missing_gap
AUDCAD.r,H4,2025-12-24 20:00:00,2025-12-26 00:00:00,1680,short_missing_gap
AUDCAD.r,H4,2023-12-22 20:00:00,2023-12-27 00:00:00,6000,session_or_weekend
AUDCAD.r,H4,2023-12-29 20:00:00,2024-01-02 00:00:00,4560,session_or_weekend
AUDCAD.r,H4,2022-12-23 20:00:00,2022-12-27 00:00:00,4560,session_or_weekend
AUDCAD.r,D1,2023-12-22 00:00:00,2023-12-27 00:00:00,7200,session_or_weekend
AUDCAD.r,D1,2023-12-29 00:00:00,2024-01-02 00:00:00,5760,session_or_weekend
AUDCAD.r,D1,2022-12-23 00:00:00,2022-12-27 00:00:00,5760,session_or_weekend
AUDJPY.r,M15,2025-12-31 23:45:00,2026-01-02 00:00:00,1455,short_missing_gap
AUDJPY.r,M15,2024-12-31 23:45:00,2025-01-02 00:00:00,1455,short_missing_gap
AUDJPY.r,M15,2024-12-24 23:45:00,2024-12-26 00:00:00,1455,short_missing_gap
AUDJPY.r,M15,2023-12-22 23:45:00,2023-12-27 00:00:00,5775,session_or_weekend
AUDJPY.r,M15,2023-12-29 23:45:00,2024-01-02 00:00:00,4335,session_or_weekend
AUDJPY.r,M15,2022-12-23 23:45:00,2022-12-27 00:00:00,4335,session_or_weekend
AUDJPY.r,M30,2025-12-24 23:30:00,2025-12-26 00:00:00,1470,short_missing_gap
AUDJPY.r,M30,2025-12-31 23:30:00,2026-01-02 00:00:00,1470,short_missing_gap
AUDJPY.r,M30,2024-12-31 23:30:00,2025-01-02 00:00:00,1470,short_missing_gap
