group,timeframe,symbols,rows_count,first_time,last_time,null_ohlc,bad_ohlc,nonpositive_ohlc,misaligned_time,short_gap_count,session_gap_count
Forex Majors,D1,27,55187,1999-12-28 00:00:00,2026-03-16 00:00:00,0,0,0,0,0,11125
Forex Majors,H1,27,1096984,2009-09-22 08:00:00,2026-03-17 09:00:00,0,0,0,0,228,9213
Forex Majors,H4,27,327360,1999-12-28 00:00:00,2026-03-17 04:00:00,0,0,0,0,184,10961
Forex Majors,M15,27,2789284,2022-01-18 17:15:00,2026-03-17 10:00:00,0,0,0,0,332,5859
Forex Majors,M30,27,1782398,2018-01-10 19:00:00,2026-03-17 09:30:00,0,0,0,0,281,7481
Metals,D1,7,12988,2013-01-25 00:00:00,2026-03-16 00:00:00,0,0,0,0,0,2649
Metals,H1,7,208248,2013-01-25 00:00:00,2026-03-17 09:00:00,0,0,0,0,10248,2749
Metals,H4,7,58175,2013-01-25 00:00:00,2026-03-17 04:00:00,0,0,0,0,3146,2749
Metals,M15,7,664005,2021-10-19 06:00:00,2026-03-17 10:00:00,0,0,0,0,5979,1503
Metals,M30,7,408191,2013-01-25 00:00:00,2026-03-17 09:30:00,0,0,0,0,14142,2749
