symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
AUDCAD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 03:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
AUDCAD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59820,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
AUDCAD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
AUDCAD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
AUDCAD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
AUDJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 03:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
AUDJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59821,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
AUDJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29914,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
AUDJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
AUDJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
AUDNZD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 01:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,228,11,217,5775
AUDNZD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59817,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,260,9,251,5790
AUDNZD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
AUDNZD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
AUDNZD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
AUDUSD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103308,2022-01-19 03:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,225,8,217,5775
AUDUSD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59821,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
AUDUSD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29914,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
AUDUSD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
AUDUSD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
CADCHF.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-18 21:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,232,15,217,5775
CADCHF.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59811,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,265,14,251,5790
CADCHF.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
CADCHF.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CADCHF.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
CADJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 03:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
CADJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59820,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
CADJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
CADJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CADJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
CHFJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-18 17:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,247,30,217,5775
CHFJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59811,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,266,15,251,5790
CHFJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,257,6,251,5820
CHFJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
CHFJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
