label,status,elapsed_seconds,error,rows_returned
show_columns_price_data,ok,0.0239,,11
show_index_price_data,ok,0.0099,,7
symbol_control_enabled,ok,0.0042,,60
distinct_price_symbols,ok,0.0456,,60
distinct_price_timeframes,ok,0.0047,,5
pair_summary_AUDCAD.r_M15,ok,2.0792,,1
gap_stats_AUDCAD.r_M15,ok,1.1651,,1
gap_examples_short_AUDCAD.r_M15,ok,1.1305,,3
gap_examples_session_AUDCAD.r_M15,ok,0.9493,,3
pair_summary_AUDCAD.r_M30,ok,1.1997,,1
gap_stats_AUDCAD.r_M30,ok,0.6497,,1
gap_examples_short_AUDCAD.r_M30,ok,0.6538,,3
gap_examples_session_AUDCAD.r_M30,ok,0.6421,,3
pair_summary_AUDCAD.r_H1,ok,0.4713,,1
gap_stats_AUDCAD.r_H1,ok,0.3356,,1
gap_examples_short_AUDCAD.r_H1,ok,0.3182,,3
gap_examples_session_AUDCAD.r_H1,ok,0.3131,,3
pair_summary_AUDCAD.r_H4,ok,0.1698,,1
gap_stats_AUDCAD.r_H4,ok,0.0991,,1
gap_examples_short_AUDCAD.r_H4,ok,0.1371,,3
gap_examples_session_AUDCAD.r_H4,ok,0.0885,,3
pair_summary_AUDCAD.r_D1,ok,0.0218,,1
gap_stats_AUDCAD.r_D1,ok,0.017,,1
gap_examples_short_AUDCAD.r_D1,ok,0.0134,,0
gap_examples_session_AUDCAD.r_D1,ok,0.0127,,3
pair_summary_AUDJPY.r_M15,ok,1.9964,,1
gap_stats_AUDJPY.r_M15,ok,1.2012,,1
gap_examples_short_AUDJPY.r_M15,ok,1.0212,,3
gap_examples_session_AUDJPY.r_M15,ok,1.031,,3
pair_summary_AUDJPY.r_M30,ok,1.1393,,1
gap_stats_AUDJPY.r_M30,ok,0.661,,1
gap_examples_short_AUDJPY.r_M30,ok,0.6003,,3
gap_examples_session_AUDJPY.r_M30,ok,0.6191,,3
pair_summary_AUDJPY.r_H1,ok,0.5826,,1
gap_stats_AUDJPY.r_H1,ok,0.3269,,1
gap_examples_short_AUDJPY.r_H1,ok,0.316,,3
gap_examples_session_AUDJPY.r_H1,ok,0.3004,,3
pair_summary_AUDJPY.r_H4,ok,0.1713,,1
gap_stats_AUDJPY.r_H4,ok,0.0715,,1
gap_examples_short_AUDJPY.r_H4,ok,0.0741,,3
gap_examples_session_AUDJPY.r_H4,ok,0.1065,,3
pair_summary_AUDJPY.r_D1,ok,0.022,,1
gap_stats_AUDJPY.r_D1,ok,0.0175,,1
gap_examples_short_AUDJPY.r_D1,ok,0.0162,,0
gap_examples_session_AUDJPY.r_D1,ok,0.0144,,3
pair_summary_AUDNZD.r_M15,ok,2.0654,,1
gap_stats_AUDNZD.r_M15,ok,1.1371,,1
gap_examples_short_AUDNZD.r_M15,ok,0.9832,,3
gap_examples_session_AUDNZD.r_M15,ok,1.0668,,3
pair_summary_AUDNZD.r_M30,ok,1.1013,,1
gap_stats_AUDNZD.r_M30,ok,0.6977,,1
gap_examples_short_AUDNZD.r_M30,ok,0.744,,3
gap_examples_session_AUDNZD.r_M30,ok,0.7366,,3
pair_summary_AUDNZD.r_H1,ok,0.7769,,1
gap_stats_AUDNZD.r_H1,ok,0.396,,1
gap_examples_short_AUDNZD.r_H1,ok,0.3663,,3
gap_examples_session_AUDNZD.r_H1,ok,0.4172,,3
pair_summary_AUDNZD.r_H4,ok,0.1569,,1
gap_stats_AUDNZD.r_H4,ok,0.1026,,1
gap_examples_short_AUDNZD.r_H4,ok,0.106,,3
gap_examples_session_AUDNZD.r_H4,ok,0.1001,,3
pair_summary_AUDNZD.r_D1,ok,0.0223,,1
gap_stats_AUDNZD.r_D1,ok,0.0178,,1
gap_examples_short_AUDNZD.r_D1,ok,0.014,,0
gap_examples_session_AUDNZD.r_D1,ok,0.0142,,3
pair_summary_AUDUSD.r_M15,ok,2.2973,,1
gap_stats_AUDUSD.r_M15,ok,1.175,,1
gap_examples_short_AUDUSD.r_M15,ok,1.0945,,3
gap_examples_session_AUDUSD.r_M15,ok,1.0144,,3
pair_summary_AUDUSD.r_M30,ok,1.1719,,1
gap_stats_AUDUSD.r_M30,ok,0.6939,,1
gap_examples_short_AUDUSD.r_M30,ok,0.637,,3
gap_examples_session_AUDUSD.r_M30,ok,0.5618,,3
pair_summary_AUDUSD.r_H1,ok,0.5592,,1
gap_stats_AUDUSD.r_H1,ok,0.363,,1
gap_examples_short_AUDUSD.r_H1,ok,0.3414,,3
gap_examples_session_AUDUSD.r_H1,ok,0.3572,,3
pair_summary_AUDUSD.r_H4,ok,0.1085,,1
gap_stats_AUDUSD.r_H4,ok,0.0715,,1
gap_examples_short_AUDUSD.r_H4,ok,0.0793,,3
gap_examples_session_AUDUSD.r_H4,ok,0.0718,,3
pair_summary_AUDUSD.r_D1,ok,0.0316,,1
gap_stats_AUDUSD.r_D1,ok,0.0098,,1
gap_examples_short_AUDUSD.r_D1,ok,0.0113,,0
gap_examples_session_AUDUSD.r_D1,ok,0.0097,,3
pair_summary_CADCHF.r_M15,ok,2.2326,,1
gap_stats_CADCHF.r_M15,ok,1.0572,,1
gap_examples_short_CADCHF.r_M15,ok,1.2323,,3
gap_examples_session_CADCHF.r_M15,ok,1.206,,3
pair_summary_CADCHF.r_M30,ok,1.1115,,1
gap_stats_CADCHF.r_M30,ok,0.6338,,1
gap_examples_short_CADCHF.r_M30,ok,0.5433,,3
gap_examples_session_CADCHF.r_M30,ok,0.6578,,3
pair_summary_CADCHF.r_H1,ok,0.6529,,1
gap_stats_CADCHF.r_H1,ok,0.2944,,1
gap_examples_short_CADCHF.r_H1,ok,0.2873,,3
gap_examples_session_CADCHF.r_H1,ok,0.2733,,3
pair_summary_CADCHF.r_H4,ok,0.138,,1
gap_stats_CADCHF.r_H4,ok,0.0684,,1
gap_examples_short_CADCHF.r_H4,ok,0.082,,3
gap_examples_session_CADCHF.r_H4,ok,0.0856,,3
pair_summary_CADCHF.r_D1,ok,0.0287,,1
gap_stats_CADCHF.r_D1,ok,0.014,,1
gap_examples_short_CADCHF.r_D1,ok,0.0146,,0
gap_examples_session_CADCHF.r_D1,ok,0.0119,,3
pair_summary_CADJPY.r_M15,ok,2.0155,,1
gap_stats_CADJPY.r_M15,ok,1.0257,,1
gap_examples_short_CADJPY.r_M15,ok,1.1664,,3
gap_examples_session_CADJPY.r_M15,ok,1.1426,,3
pair_summary_CADJPY.r_M30,ok,1.3393,,1
gap_stats_CADJPY.r_M30,ok,0.7321,,1
gap_examples_short_CADJPY.r_M30,ok,0.7434,,3
gap_examples_session_CADJPY.r_M30,ok,0.8655,,3
pair_summary_CADJPY.r_H1,ok,0.6432,,1
gap_stats_CADJPY.r_H1,ok,0.3478,,1
gap_examples_short_CADJPY.r_H1,ok,0.3247,,3
gap_examples_session_CADJPY.r_H1,ok,0.3384,,3
pair_summary_CADJPY.r_H4,ok,0.1834,,1
gap_stats_CADJPY.r_H4,ok,0.0669,,1
gap_examples_short_CADJPY.r_H4,ok,0.0869,,3
gap_examples_session_CADJPY.r_H4,ok,0.0991,,3
pair_summary_CADJPY.r_D1,ok,0.0167,,1
gap_stats_CADJPY.r_D1,ok,0.0161,,1
gap_examples_short_CADJPY.r_D1,ok,0.0151,,0
gap_examples_session_CADJPY.r_D1,ok,0.0128,,3
pair_summary_CHFJPY.r_M15,ok,2.0876,,1
gap_stats_CHFJPY.r_M15,ok,1.1495,,1
gap_examples_short_CHFJPY.r_M15,ok,1.1039,,3
gap_examples_session_CHFJPY.r_M15,ok,1.1683,,3
pair_summary_CHFJPY.r_M30,ok,1.1798,,1
gap_stats_CHFJPY.r_M30,ok,0.6623,,1
gap_examples_short_CHFJPY.r_M30,ok,0.5238,,3
gap_examples_session_CHFJPY.r_M30,ok,0.6113,,3
pair_summary_CHFJPY.r_H1,ok,0.655,,1
gap_stats_CHFJPY.r_H1,ok,0.3303,,1
gap_examples_short_CHFJPY.r_H1,ok,0.3042,,3
gap_examples_session_CHFJPY.r_H1,ok,0.4116,,3
pair_summary_CHFJPY.r_H4,ok,0.2003,,1
gap_stats_CHFJPY.r_H4,ok,0.0859,,1
gap_examples_short_CHFJPY.r_H4,ok,0.0841,,3
gap_examples_session_CHFJPY.r_H4,ok,0.0972,,3
pair_summary_CHFJPY.r_D1,ok,0.0288,,1
gap_stats_CHFJPY.r_D1,ok,0.016,,1
gap_examples_short_CHFJPY.r_D1,ok,0.0138,,0
gap_examples_session_CHFJPY.r_D1,ok,0.0147,,3
pair_summary_EURAUD.r_M15,ok,1.9985,,1
gap_stats_EURAUD.r_M15,ok,1.1925,,1
gap_examples_short_EURAUD.r_M15,ok,1.0932,,3
gap_examples_session_EURAUD.r_M15,ok,1.0698,,3
pair_summary_EURAUD.r_M30,ok,1.8671,,1
gap_stats_EURAUD.r_M30,ok,1.05,,1
gap_examples_short_EURAUD.r_M30,ok,1.0106,,3
gap_examples_session_EURAUD.r_M30,ok,1.0268,,3
pair_summary_EURAUD.r_H1,ok,2.0073,,1
gap_stats_EURAUD.r_H1,ok,1.0557,,1
gap_examples_short_EURAUD.r_H1,ok,1.1188,,3
gap_examples_session_EURAUD.r_H1,ok,1.2817,,3
pair_summary_EURAUD.r_H4,ok,0.7628,,1
gap_stats_EURAUD.r_H4,ok,0.465,,1
gap_examples_short_EURAUD.r_H4,ok,0.3725,,3
gap_examples_session_EURAUD.r_H4,ok,0.3771,,3
pair_summary_EURAUD.r_D1,ok,0.1221,,1
gap_stats_EURAUD.r_D1,ok,0.0609,,1
gap_examples_short_EURAUD.r_D1,ok,0.064,,0
gap_examples_session_EURAUD.r_D1,ok,0.0679,,3
pair_summary_EURCAD.r_M15,ok,2.1084,,1
gap_stats_EURCAD.r_M15,ok,1.0251,,1
gap_examples_short_EURCAD.r_M15,ok,1.0616,,3
gap_examples_session_EURCAD.r_M15,ok,1.1048,,3
pair_summary_EURCAD.r_M30,ok,1.2098,,1
gap_stats_EURCAD.r_M30,ok,0.5604,,1
gap_examples_short_EURCAD.r_M30,ok,0.654,,3
gap_examples_session_EURCAD.r_M30,ok,0.6662,,3
pair_summary_EURCAD.r_H1,ok,0.5453,,1
gap_stats_EURCAD.r_H1,ok,0.3213,,1
gap_examples_short_EURCAD.r_H1,ok,0.3055,,3
gap_examples_session_EURCAD.r_H1,ok,0.306,,3
pair_summary_EURCAD.r_H4,ok,0.1479,,1
gap_stats_EURCAD.r_H4,ok,0.0811,,1
gap_examples_short_EURCAD.r_H4,ok,0.0853,,3
gap_examples_session_EURCAD.r_H4,ok,0.0864,,3
pair_summary_EURCAD.r_D1,ok,0.0488,,1
gap_stats_EURCAD.r_D1,ok,0.0126,,1
gap_examples_short_EURCAD.r_D1,ok,0.0142,,0
gap_examples_session_EURCAD.r_D1,ok,0.0123,,3
pair_summary_EURCHF.r_M15,ok,2.2361,,1
gap_stats_EURCHF.r_M15,ok,1.1496,,1
gap_examples_short_EURCHF.r_M15,ok,0.9435,,3
gap_examples_session_EURCHF.r_M15,ok,1.0276,,3
pair_summary_EURCHF.r_M30,ok,1.2044,,1
gap_stats_EURCHF.r_M30,ok,0.633,,1
gap_examples_short_EURCHF.r_M30,ok,0.6091,,3
gap_examples_session_EURCHF.r_M30,ok,0.6488,,3
pair_summary_EURCHF.r_H1,ok,0.6371,,1
gap_stats_EURCHF.r_H1,ok,0.3379,,1
gap_examples_short_EURCHF.r_H1,ok,0.3205,,3
gap_examples_session_EURCHF.r_H1,ok,0.2886,,3
pair_summary_EURCHF.r_H4,ok,0.1517,,1
gap_stats_EURCHF.r_H4,ok,0.0769,,1
gap_examples_short_EURCHF.r_H4,ok,0.0912,,3
gap_examples_session_EURCHF.r_H4,ok,0.1047,,3
pair_summary_EURCHF.r_D1,ok,0.0331,,1
gap_stats_EURCHF.r_D1,ok,0.0343,,1
gap_examples_short_EURCHF.r_D1,ok,0.0165,,0
gap_examples_session_EURCHF.r_D1,ok,0.0263,,3
pair_summary_EURGBP.r_M15,ok,1.9941,,1
gap_stats_EURGBP.r_M15,ok,1.1124,,1
gap_examples_short_EURGBP.r_M15,ok,1.1177,,3
gap_examples_session_EURGBP.r_M15,ok,1.2666,,3
pair_summary_EURGBP.r_M30,ok,1.2033,,1
gap_stats_EURGBP.r_M30,ok,0.7829,,1
gap_examples_short_EURGBP.r_M30,ok,0.6695,,3
gap_examples_session_EURGBP.r_M30,ok,0.6466,,3
pair_summary_EURGBP.r_H1,ok,0.6517,,1
gap_stats_EURGBP.r_H1,ok,0.3299,,1
gap_examples_short_EURGBP.r_H1,ok,0.311,,3
gap_examples_session_EURGBP.r_H1,ok,0.344,,3
pair_summary_EURGBP.r_H4,ok,0.2078,,1
gap_stats_EURGBP.r_H4,ok,0.1019,,1
gap_examples_short_EURGBP.r_H4,ok,0.0848,,3
gap_examples_session_EURGBP.r_H4,ok,0.0965,,3
pair_summary_EURGBP.r_D1,ok,0.0238,,1
gap_stats_EURGBP.r_D1,ok,0.016,,1
gap_examples_short_EURGBP.r_D1,ok,0.0148,,0
gap_examples_session_EURGBP.r_D1,ok,0.0163,,3
pair_summary_EURJPY.r_M15,ok,1.8543,,1
gap_stats_EURJPY.r_M15,ok,1.198,,1
gap_examples_short_EURJPY.r_M15,ok,1.0243,,3
gap_examples_session_EURJPY.r_M15,ok,1.029,,3
pair_summary_EURJPY.r_M30,ok,2.0485,,1
gap_stats_EURJPY.r_M30,ok,1.0457,,1
gap_examples_short_EURJPY.r_M30,ok,1.0416,,3
gap_examples_session_EURJPY.r_M30,ok,1.0914,,3
pair_summary_EURJPY.r_H1,ok,2.043,,1
gap_stats_EURJPY.r_H1,ok,0.9086,,1
gap_examples_short_EURJPY.r_H1,ok,1.0078,,3
gap_examples_session_EURJPY.r_H1,ok,0.98,,3
pair_summary_EURJPY.r_H4,ok,0.7436,,1
gap_stats_EURJPY.r_H4,ok,0.3763,,1
gap_examples_short_EURJPY.r_H4,ok,0.3966,,3
gap_examples_session_EURJPY.r_H4,ok,0.3915,,3
pair_summary_EURJPY.r_D1,ok,0.1159,,1
gap_stats_EURJPY.r_D1,ok,0.0827,,1
gap_examples_short_EURJPY.r_D1,ok,0.0796,,0
gap_examples_session_EURJPY.r_D1,ok,0.0888,,3
pair_summary_EURNZD.r_M15,ok,2.0645,,1
gap_stats_EURNZD.r_M15,ok,1.0647,,1
gap_examples_short_EURNZD.r_M15,ok,1.021,,3
gap_examples_session_EURNZD.r_M15,ok,0.8854,,3
pair_summary_EURNZD.r_M30,ok,1.2118,,1
gap_stats_EURNZD.r_M30,ok,0.7293,,1
gap_examples_short_EURNZD.r_M30,ok,0.7448,,3
gap_examples_session_EURNZD.r_M30,ok,0.7921,,3
pair_summary_EURNZD.r_H1,ok,0.7173,,1
gap_stats_EURNZD.r_H1,ok,0.3578,,1
gap_examples_short_EURNZD.r_H1,ok,0.322,,3
gap_examples_session_EURNZD.r_H1,ok,0.3691,,3
pair_summary_EURNZD.r_H4,ok,0.1972,,1
gap_stats_EURNZD.r_H4,ok,0.097,,1
gap_examples_short_EURNZD.r_H4,ok,0.0802,,3
gap_examples_session_EURNZD.r_H4,ok,0.0748,,3
pair_summary_EURNZD.r_D1,ok,0.027,,1
gap_stats_EURNZD.r_D1,ok,0.0109,,1
gap_examples_short_EURNZD.r_D1,ok,0.0128,,0
gap_examples_session_EURNZD.r_D1,ok,0.0129,,3
pair_summary_EURUSD.r_M15,ok,2.0079,,1
gap_stats_EURUSD.r_M15,ok,1.2334,,1
gap_examples_short_EURUSD.r_M15,ok,1.1168,,3
gap_examples_session_EURUSD.r_M15,ok,1.1374,,3
pair_summary_EURUSD.r_M30,ok,1.7455,,1
gap_stats_EURUSD.r_M30,ok,1.2065,,1
gap_examples_short_EURUSD.r_M30,ok,1.0565,,3
gap_examples_session_EURUSD.r_M30,ok,1.0873,,3
pair_summary_EURUSD.r_H1,ok,1.892,,1
gap_stats_EURUSD.r_H1,ok,1.1588,,1
gap_examples_short_EURUSD.r_H1,ok,1.1238,,3
