symbol,timeframe,gap_start,gap_end,gap_minutes,gap_category
AUS200,M15,2025-12-31 05:15:00,2026-01-02 00:45:00,2610,short_missing_gap
AUS200,M15,2024-12-31 05:30:00,2025-01-02 00:45:00,2595,short_missing_gap
AUS200,M15,2024-04-24 23:00:00,2024-04-25 10:00:00,660,short_missing_gap
AUS200,M15,2025-12-24 05:15:00,2025-12-29 00:45:00,6930,session_or_weekend
AUS200,M15,2021-12-24 05:15:00,2021-12-29 00:45:00,6930,session_or_weekend
AUS200,M15,2023-12-22 07:15:00,2023-12-27 01:00:00,6825,session_or_weekend
AUS200,M30,2018-12-31 05:00:00,2019-01-02 00:30:00,2610,short_missing_gap
AUS200,M30,2025-12-31 05:00:00,2026-01-02 00:30:00,2610,short_missing_gap
AUS200,M30,2019-12-31 05:30:00,2020-01-02 00:30:00,2580,short_missing_gap
AUS200,M30,2025-12-24 05:00:00,2025-12-29 00:30:00,6930,session_or_weekend
AUS200,M30,2021-12-24 05:00:00,2021-12-29 00:30:00,6930,session_or_weekend
AUS200,M30,2016-12-23 05:00:00,2016-12-28 00:00:00,6900,session_or_weekend
AUS200,H1,2024-12-31 05:00:00,2025-01-02 00:00:00,2580,short_missing_gap
AUS200,H1,2019-12-31 05:00:00,2020-01-02 00:00:00,2580,short_missing_gap
AUS200,H1,2018-12-31 05:00:00,2019-01-02 00:00:00,2580,short_missing_gap
AUS200,H1,2015-04-02 00:00:00,2015-04-07 00:00:00,7200,session_or_weekend
AUS200,H1,2014-12-24 00:00:00,2014-12-29 00:00:00,7200,session_or_weekend
AUS200,H1,2014-04-17 00:00:00,2014-04-22 00:00:00,7200,session_or_weekend
AUS200,H4,2024-12-31 04:00:00,2025-01-02 00:00:00,2640,short_missing_gap
AUS200,H4,2025-12-31 04:00:00,2026-01-02 00:00:00,2640,short_missing_gap
AUS200,H4,2019-12-31 04:00:00,2020-01-02 00:00:00,2640,short_missing_gap
AUS200,H4,2015-04-02 00:00:00,2015-04-07 00:00:00,7200,session_or_weekend
AUS200,H4,2014-12-24 00:00:00,2014-12-29 00:00:00,7200,session_or_weekend
AUS200,H4,2014-04-17 00:00:00,2014-04-22 00:00:00,7200,session_or_weekend
AUS200,D1,2015-04-02 00:00:00,2015-04-07 00:00:00,7200,session_or_weekend
AUS200,D1,2014-12-24 00:00:00,2014-12-29 00:00:00,7200,session_or_weekend
AUS200,D1,2014-04-17 00:00:00,2014-04-22 00:00:00,7200,session_or_weekend
CHINA50,M15,2024-12-24 20:15:00,2024-12-26 03:00:00,1845,short_missing_gap
CHINA50,M15,2025-12-24 20:45:00,2025-12-26 03:00:00,1815,short_missing_gap
CHINA50,M15,2025-12-31 23:15:00,2026-01-02 03:00:00,1665,short_missing_gap
CHINA50,M15,2023-12-22 23:00:00,2023-12-27 01:00:00,5880,session_or_weekend
CHINA50,M15,2022-04-14 23:45:00,2022-04-18 04:00:00,4575,session_or_weekend
CHINA50,M15,2024-03-28 23:45:00,2024-04-01 04:00:00,4575,session_or_weekend
CHINA50,M30,2024-12-24 20:00:00,2024-12-26 03:00:00,1860,short_missing_gap
CHINA50,M30,2025-12-24 20:30:00,2025-12-26 03:00:00,1830,short_missing_gap
CHINA50,M30,2025-12-31 23:00:00,2026-01-02 03:00:00,1680,short_missing_gap
CHINA50,M30,2023-12-22 23:00:00,2023-12-27 01:00:00,5880,session_or_weekend
