symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
AUS200,Index,Index,M15,15,ok,,unique_index,0,102854,2021-08-17 13:00:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1637,1397,240,6930
AUS200,Index,Index,M30,30,ok,,unique_index,0,101444,2016-10-05 15:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,7293,6797,496,6930
AUS200,Index,Index,H1,60,ok,,unique_index,0,58611,2014-01-22 00:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,2977,2324,653,7200
AUS200,Index,Index,H4,240,ok,,unique_index,0,15951,2014-01-22 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1076,423,653,7200
AUS200,Index,Index,D1,1440,ok,,unique_index,0,3119,2014-01-22 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,642,0,642,7200
CHINA50,Index,Index,M15,15,ok,,unique_index,0,103161,2021-11-04 14:00:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1137,909,228,5880
CHINA50,Index,Index,M30,30,ok,,unique_index,0,68636,2020-02-28 03:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,2009,1693,316,5880
CHINA50,Index,Index,H1,60,ok,,unique_index,0,34551,2020-02-28 03:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1563,1247,316,5880
CHINA50,Index,Index,H4,240,ok,,unique_index,0,9026,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,593,277,316,6000
CHINA50,Index,Index,D1,1440,ok,,unique_index,0,1562,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,321,0,321,7200
EURO50,Index,Index,M15,15,ok,,unique_index,0,103163,2021-10-12 17:30:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1215,981,234,7395
EURO50,Index,Index,M30,30,ok,,unique_index,0,68792,2020-02-24 02:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1558,1239,319,7380
EURO50,Index,Index,H1,60,ok,,unique_index,0,34416,2020-02-24 02:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1548,1229,319,7380
EURO50,Index,Index,H4,240,ok,,unique_index,0,9266,2020-02-24 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,322,3,319,7440
EURO50,Index,Index,D1,1440,ok,,unique_index,0,1545,2020-02-24 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,321,0,321,8640
