label,status,elapsed_seconds,error,rows_returned
show_columns_price_data,ok,0.2149,,11
show_index_price_data,ok,0.0489,,7
symbol_control_enabled,ok,0.0221,,60
distinct_price_symbols,ok,0.2011,,60
distinct_price_timeframes,ok,0.0297,,5
pair_summary_AUS200_M15,ok,7.0691,,1
gap_stats_AUS200_M15,ok,3.497,,1
gap_examples_short_AUS200_M15,ok,3.5692,,3
gap_examples_session_AUS200_M15,ok,3.255,,3
pair_summary_AUS200_M30,ok,5.6825,,1
gap_stats_AUS200_M30,ok,2.9699,,1
gap_examples_short_AUS200_M30,ok,3.264,,3
gap_examples_session_AUS200_M30,ok,3.2978,,3
pair_summary_AUS200_H1,ok,3.6872,,1
gap_stats_AUS200_H1,ok,1.6484,,1
gap_examples_short_AUS200_H1,ok,1.6658,,3
gap_examples_session_AUS200_H1,ok,1.8027,,3
pair_summary_AUS200_H4,ok,0.8377,,1
gap_stats_AUS200_H4,ok,0.4146,,1
gap_examples_short_AUS200_H4,ok,0.5875,,3
gap_examples_session_AUS200_H4,ok,0.5484,,3
pair_summary_AUS200_D1,ok,0.1819,,1
gap_stats_AUS200_D1,ok,0.1086,,1
gap_examples_short_AUS200_D1,ok,0.0925,,0
gap_examples_session_AUS200_D1,ok,0.0991,,3
pair_summary_CHINA50_M15,ok,5.2879,,1
gap_stats_CHINA50_M15,ok,2.8042,,1
gap_examples_short_CHINA50_M15,ok,3.0694,,3
gap_examples_session_CHINA50_M15,ok,2.5134,,3
pair_summary_CHINA50_M30,ok,2.7561,,1
gap_stats_CHINA50_M30,ok,1.92,,1
gap_examples_short_CHINA50_M30,ok,1.6333,,3
gap_examples_session_CHINA50_M30,ok,2.2362,,3
pair_summary_CHINA50_H1,ok,1.6783,,1
gap_stats_CHINA50_H1,ok,1.3358,,1
gap_examples_short_CHINA50_H1,ok,0.9715,,3
gap_examples_session_CHINA50_H1,ok,0.9946,,3
pair_summary_CHINA50_H4,ok,0.4459,,1
gap_stats_CHINA50_H4,ok,0.2886,,1
gap_examples_short_CHINA50_H4,ok,0.3256,,3
gap_examples_session_CHINA50_H4,ok,0.8098,,3
pair_summary_CHINA50_D1,ok,0.0657,,1
gap_stats_CHINA50_D1,ok,0.048,,1
gap_examples_short_CHINA50_D1,ok,0.0567,,0
gap_examples_session_CHINA50_D1,ok,0.0481,,3
pair_summary_EURO50_M15,ok,4.9527,,1
gap_stats_EURO50_M15,ok,2.8885,,1
gap_examples_short_EURO50_M15,ok,3.065,,3
gap_examples_session_EURO50_M15,ok,2.7834,,3
pair_summary_EURO50_M30,ok,2.7034,,1
gap_stats_EURO50_M30,ok,2.0264,,1
gap_examples_short_EURO50_M30,ok,2.1407,,3
gap_examples_session_EURO50_M30,ok,1.7282,,3
pair_summary_EURO50_H1,ok,1.9844,,1
gap_stats_EURO50_H1,ok,1.263,,1
gap_examples_short_EURO50_H1,ok,0.9359,,3
gap_examples_session_EURO50_H1,ok,0.9468,,3
pair_summary_EURO50_H4,ok,0.6594,,1
