base_symbol,symbols,has_r_suffix,has_unsuffixed,mixed_suffix_forms,in_symbol_control,in_price_data_distinct_query
AUDCAD,AUDCAD.r,True,False,False,True,True
AUDJPY,AUDJPY.r,True,False,False,True,True
AUDNZD,AUDNZD.r,True,False,False,True,True
AUDUSD,AUDUSD.r,True,False,False,True,True
AUS200,AUS200,False,True,False,True,True
BRENT,BRENT,False,True,False,True,True
BTCUSD,BTCUSD,False,True,False,True,True
CADCHF,CADCHF.r,True,False,False,True,True
CADJPY,CADJPY.r,True,False,False,True,True
CHFJPY,CHFJPY.r,True,False,False,True,True
CHINA50,CHINA50,False,True,False,True,True
COFFEE,COFFEE,False,True,False,True,True
ETHUSD,ETHUSD,False,True,False,True,True
EURAUD,EURAUD.r,True,False,False,True,True
EURCAD,EURCAD.r,True,False,False,True,True
EURCHF,EURCHF.r,True,False,False,True,True
EURGBP,EURGBP.r,True,False,False,True,True
EURJPY,EURJPY.r,True,False,False,True,True
EURNZD,EURNZD.r,True,False,False,True,True
EURO50,EURO50,False,True,False,True,True
EURUSD,EURUSD.r,True,False,False,True,True
FRA40,FRA40,False,True,False,True,True
GBPAUD,GBPAUD.r,True,False,False,True,True
GBPCAD,GBPCAD.r,True,False,False,True,True
GBPCHF,GBPCHF.r,True,False,False,True,True
GBPJPY,GBPJPY.r,True,False,False,True,True
GBPNZD,GBPNZD.r,True,False,False,True,True
GBPUSD,GBPUSD.r,True,False,False,True,True
GER40,GER40,False,True,False,True,True
HK50,HK50,False,True,False,True,True
ITA40,ITA40,False,True,False,True,True
JP225,JP225,False,True,False,True,True
LTCUSD,LTCUSD,False,True,False,True,True
NZDCAD,NZDCAD.r,True,False,False,True,True
NZDCHF,NZDCHF.r,True,False,False,True,True
NZDJPY,NZDJPY.r,True,False,False,True,True
NZDUSD,NZDUSD.r,True,False,False,True,True
RPLUSD,RPLUSD,False,True,False,True,True
SPA35,SPA35,False,True,False,True,True
UK100,UK100,False,True,False,True,True
US100,US100,False,True,False,True,True
US30,US30,False,True,False,True,True
US500,US500,False,True,False,True,True
USDCAD,USDCAD.r,True,False,False,True,True
USDCHF,USDCHF.r,True,False,False,True,True
USDHKD,USDHKD.r,True,False,False,True,True
USDJPY,USDJPY,False,True,False,True,True
USDMXN,USDMXN.r,True,False,False,True,True
USDNOK,USDNOK.r,True,False,False,True,True
USDSEK,USDSEK.r,True,False,False,True,True
USDSGD,USDSGD.r,True,False,False,True,True
USDZAR,USDZAR.r,True,False,False,True,True
WTI,WTI,False,True,False,True,True
XAGEUR,XAGEUR.r,True,False,False,True,True
XAGUSD,XAGUSD.r,True,False,False,True,True
XAUEUR,XAUEUR.r,True,False,False,True,True
XAUUSD,XAUUSD.r,True,False,False,True,True
XCUUSD,XCUUSD.r,True,False,False,True,True
XPDUSD,XPDUSD,False,True,False,True,True
XPTUSD,XPTUSD,False,True,False,True,True
