Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Metals,enbolsa:macd_breakout,XAGEUR.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,584,True,1,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,72.084,73.27488600000001,False,,,
Metals,enbolsa:macd_breakout,XAGEUR.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,585,True,11,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,71.7,70.901,70.370138,False,,,
Metals,enbolsa:macd_breakout,XAGUSD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,859,True,1,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,82.74700000000001,84.13008400000002,False,,,
Metals,enbolsa:macd_breakout,XAGUSD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,860,True,11,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,82.433,81.487,80.84922399999999,False,,,
Metals,enbolsa:macd_breakout,XAUEUR.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,563,True,15,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,4341.43,4361.72,4380.09932,False,,,
Metals,enbolsa:macd_breakout,XAUEUR.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,565,True,5,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,4353.21,4332.48228,False,,,
Metals,enbolsa:macd_breakout,XAUUSD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,696,True,15,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,4987.17,5028.360000000001,5061.799980000001,False,,,
Metals,enbolsa:macd_breakout,XAUUSD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,697,True,10,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,5002.07,4975.7741,False,,,
Metals,enbolsa:macd_breakout,XCUUSD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,278,True,0,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,12977.25,13110.8307,False,,,
Metals,enbolsa:macd_breakout,XCUUSD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,279,True,8,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,12918.75,12579.05,12356.1992,False,,,
Metals,enbolsa:macd_breakout,XPDUSD,H1,H4,2026-03-17 09:00:00,True,1,BUY,1662,True,1,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1687.78,1744.018,False,,,
Metals,enbolsa:macd_breakout,XPDUSD,H1,H4,2026-03-17 09:00:00,True,-1,SELL,1661,True,18,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1626.3,1588.9999999999998,1565.1451999999997,False,,,
Metals,enbolsa:macd_breakout,XPTUSD,H1,H4,2026-03-17 09:00:00,True,1,BUY,1143,True,1,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,2278.8,2373.9225600000004,False,,,
Metals,enbolsa:macd_breakout,XPTUSD,H1,H4,2026-03-17 09:00:00,True,-1,SELL,1142,True,29,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,2171.11,2083.1800000000003,2027.8875400000004,False,,,
