Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,531,True,40,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.9571,0.9641,0.9684445399999999,False,,,
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,532,True,33,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.9606199999999999,0.9546562999999999,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,614,True,79,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,111.477,115.167,117.456072,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,613,True,20,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,110.57,109.06146199999999,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,286,True,40,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.20628,1.2298,1.24486066,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,288,True,4,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.20958,1.20629224,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,612,True,86,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.69787,0.7011299999999999,0.7031446799999999,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,611,True,30,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.68923,0.67686382,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,540,True,18,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.57742,0.5792925400000001,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,538,True,34,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.57742,0.5747699999999999,0.5729716199999998,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,587,True,46,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,117.199,117.914644,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,585,True,114,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,117.083,115.871,115.103444,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,554,True,71,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,201.257,202.246,202.95237400000002,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H1,H4,2026-03-17 09:00:00,True,-1,SELL,553,True,20,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,199.627,198.035032,False,,,
Forex Majors,enbolsa:macd_breakout,EURAUD.r,H1,H4,2026-03-17 09:00:00,True,1,BUY,1794,True,24,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.6427,1.65608588,False,,,
