Activo,BLOCK_REASON,Rows,Variant,VariantClass
AUDUSD.r,H4_BULLISH_FAN_MISSING,20879,experimental_composite_x,resultado_exploratorio
AUDUSD.r,H4_BEARISH_FAN_MISSING,20818,experimental_composite_x,resultado_exploratorio
AUDUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2215,experimental_composite_x,resultado_exploratorio
AUDUSD.r,H4_SMA200_BULL_FILTER_MISSING,1999,experimental_composite_x,resultado_exploratorio
AUDUSD.r,RETRACE_TOO_DEEP,1355,experimental_composite_x,resultado_exploratorio
AUDUSD.r,H4_SMA200_UNAVAILABLE,584,experimental_composite_x,resultado_exploratorio
AUDUSD.r,MOMENTUM_CONFIRM_MISSING,376,experimental_composite_x,resultado_exploratorio
AUDUSD.r,RETRACE_BELOW_MIN,333,experimental_composite_x,resultado_exploratorio
AUDUSD.r,H4_NO_ATTRACTOR,8,experimental_composite_x,resultado_exploratorio
AUDUSD.r,RR_BELOW_MIN,8,experimental_composite_x,resultado_exploratorio
AUDUSD.r,PRIMARY_TRIGGER_MISSING,1,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_BEARISH_FAN_MISSING,21513,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_BULLISH_FAN_MISSING,20225,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_SMA200_BEAR_FILTER_MISSING,2384,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_SMA200_BULL_FILTER_MISSING,2080,experimental_composite_x,resultado_exploratorio
EURGBP.r,RETRACE_TOO_DEEP,1391,experimental_composite_x,resultado_exploratorio
EURGBP.r,MOMENTUM_CONFIRM_MISSING,313,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_SMA200_UNAVAILABLE,296,experimental_composite_x,resultado_exploratorio
EURGBP.r,RETRACE_BELOW_MIN,192,experimental_composite_x,resultado_exploratorio
EURGBP.r,RR_BELOW_MIN,15,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_NO_ATTRACTOR,8,experimental_composite_x,resultado_exploratorio
EURJPY.r,H4_BULLISH_FAN_MISSING,35276,experimental_composite_x,resultado_exploratorio
EURJPY.r,H4_BEARISH_FAN_MISSING,33829,experimental_composite_x,resultado_exploratorio
EURJPY.r,H4_SMA200_BEAR_FILTER_MISSING,4408,experimental_composite_x,resultado_exploratorio
EURJPY.r,H4_SMA200_BULL_FILTER_MISSING,3448,experimental_composite_x,resultado_exploratorio
EURJPY.r,RETRACE_TOO_DEEP,2571,experimental_composite_x,resultado_exploratorio
EURJPY.r,RETRACE_BELOW_MIN,556,experimental_composite_x,resultado_exploratorio
EURJPY.r,MOMENTUM_CONFIRM_MISSING,432,experimental_composite_x,resultado_exploratorio
EURJPY.r,RR_BELOW_MIN,241,experimental_composite_x,resultado_exploratorio
EURJPY.r,TP_UNAVAILABLE,5,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_BEARISH_FAN_MISSING,35837,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_BULLISH_FAN_MISSING,33660,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_SMA200_BULL_FILTER_MISSING,4471,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_SMA200_BEAR_FILTER_MISSING,3752,experimental_composite_x,resultado_exploratorio
EURUSD.r,RETRACE_TOO_DEEP,2251,experimental_composite_x,resultado_exploratorio
EURUSD.r,RETRACE_BELOW_MIN,613,experimental_composite_x,resultado_exploratorio
EURUSD.r,MOMENTUM_CONFIRM_MISSING,603,experimental_composite_x,resultado_exploratorio
EURUSD.r,RR_BELOW_MIN,23,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_BULLISH_FAN_MISSING,20795,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_BEARISH_FAN_MISSING,20484,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_SMA200_BULL_FILTER_MISSING,2636,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2392,experimental_composite_x,resultado_exploratorio
GBPUSD.r,RETRACE_TOO_DEEP,1275,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_SMA200_UNAVAILABLE,462,experimental_composite_x,resultado_exploratorio
GBPUSD.r,RETRACE_BELOW_MIN,346,experimental_composite_x,resultado_exploratorio
GBPUSD.r,MOMENTUM_CONFIRM_MISSING,258,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_NO_ATTRACTOR,8,experimental_composite_x,resultado_exploratorio
GBPUSD.r,RR_BELOW_MIN,5,experimental_composite_x,resultado_exploratorio
NZDUSD.r,H4_BULLISH_FAN_MISSING,21068,experimental_composite_x,resultado_exploratorio
NZDUSD.r,H4_BEARISH_FAN_MISSING,20378,experimental_composite_x,resultado_exploratorio
NZDUSD.r,H4_SMA200_BULL_FILTER_MISSING,2503,experimental_composite_x,resultado_exploratorio
NZDUSD.r,H4_SMA200_BEAR_FILTER_MISSING,2056,experimental_composite_x,resultado_exploratorio
NZDUSD.r,RETRACE_TOO_DEEP,1331,experimental_composite_x,resultado_exploratorio
