strategy,symbol,direction_label,entry_rule,setup_id,exit_reason,entry_time,exit_time,entry_price,stop_price,exit_price,W_ID,X_ID,W_START,W_END,X_END,RETRACE_RATIO,FAN_BREAKOUT,BASE_CHANNEL_STATE,DECEL_CHANNEL_STATE,MACD_TRIGGER,STOCH_TRIGGER,PSAR_TRIGGER,PRIMARY_TRIGGER,MOMENTUM_CONFIRM,SESSION_OK,X_SEGMENT_COUNT,X_POSSIBLE_COMPOSITE,RR_OK,SETUP_STATUS,BLOCK_REASON,LAST_PASSED_STAGE,H4_ATTRACTOR_DIR,H4_ATTRACTOR_STAGE,H4_ATTRACTOR_BLOCK_REASON,H4_ATTRACTOR_TREND_OK,H4_ATTRACTOR_MACD_OK,H4_MACD_NEUTRAL,H4_STANDBY,H4_PSAR_FLIP_EVENT,H4_PSAR_FLIP_COUNT_WINDOW,H4_PSAR_LATERAL,H4_MACD_ZLR_BULL,H4_MACD_ZLR_BEAR,H4_MACD_ZLR_RELEVANT,FRACTAL_SEGMENT_COUNT,FRACTAL_EQUIVALENT_CLASS,SL_PRICE,TP_PRICE,TP_SOURCE,RR_RATIO,PLANNED_ENTRY_PRICE,size_fraction,balance_before_entry,risk_amount,risk_pct_real,stop_distance,stop_ticks,loss_per_lot,lots_raw,lots,expected_loss_at_sl,risk_gap,ticks_moved,tick_value_used,commission_per_side_per_lot,commission_entry,commission_exit,commission_total,pnl_money_gross,pnl_money,pnl_formula_money,pnl_formula_diff,pnl_net_diff,Variant
menendez_core,USDJPY,SHORT,menendez_core,2347,TP,2020-04-14 11:30:00,2020-04-14 14:30:00,107.553,107.757,107.34793400000001,2346.0,2347.0,2020-04-13 14:30:00,2020-04-13 22:00:00,2020-04-14 10:30:00,0.5490605427975066,True,1,1,True,False,False,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,-1,H4_SHORT_READY,,True,True,False,False,False,0,False,False,False,False,4,OTHER,107.757,107.34793400000001,FIB_0.854,1.0052254901959814,107.553,1.0,10000.0,100.0,1.0,0.20400000000000773,204.00000000000773,111.44922230880424,0.8972696078840222,0.89,99.18980785483578,-0.8101921451642227,205.06599999998798,0.5462928567,3.0,2.67,2.67,5.34,99.70322094731172,94.36322094731172,99.70322094731172,0.0,0.0,experimental_composite_x
menendez_core,EURJPY.r,LONG,menendez_core,2853,TP,2020-09-01 05:30:00,2020-09-01 16:00:00,126.645,126.304,127.05933333333331,2852.0,2853.0,2020-08-31 07:00:00,2020-08-31 17:30:00,2020-09-01 05:00:00,0.4483043837882549,True,1,1,True,False,True,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,1,False,False,False,False,2,OTHER,126.304,127.05933333333331,D_R1,1.2150537634408352,126.645,1.0,10094.363220947313,100.94363220947312,1.0,0.340999999999994,340.999999999994,186.29502356519671,0.5418482484270246,0.54,100.59931272520623,-0.3443194842668902,414.33333333331746,0.5462928567,3.0,1.62,1.62,3.24,122.22756375805334,118.98756375805334,122.22756375805334,0.0,0.0,experimental_composite_x
menendez_core,EURJPY.r,LONG,menendez_core,3065,SL,2020-11-10 16:00:00,2020-11-11 15:30:00,124.496,123.99,123.99,3064.0,3065.0,2020-11-09 11:30:00,2020-11-09 22:00:00,2020-11-10 14:30:00,0.5527079303675058,True,1,1,True,False,False,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,0,False,False,False,False,2,OTHER,123.99,125.15633333333334,W_R2,1.3050065876152979,124.496,1.0,10213.350784705366,102.13350784705366,1.0,0.5060000000000002,506.0000000000002,276.43777690320013,0.36946291853163626,0.36,99.51759968515205,-2.615908161901615,-506.0000000000002,0.5463197172,3.0,1.08,1.08,2.16,-99.51759968515205,-101.67759968515205,-99.51759968515205,0.0,0.0,experimental_composite_x
menendez_core,EURJPY.r,SHORT,menendez_core,3804,SL,2021-07-08 09:30:00,2021-07-09 16:30:00,129.958,130.713,130.713,3803.0,3804.0,2021-07-07 14:00:00,2021-07-07 20:30:00,2021-07-08 07:30:00,0.5590200445434252,True,1,1,True,False,False,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,-1,H4_SHORT_READY,,True,True,False,False,False,0,False,False,False,False,4,OTHER,130.713,128.99833333333333,W_S2,1.2710816777041978,129.958,1.0,10111.673185020214,101.11673185020214,1.0,0.7549999999999955,754.9999999999955,412.4713864859976,0.24514847614438054,0.24,98.99313275663941,-2.1235990935627314,-754.9999999999955,0.5463197172,3.0,0.72,0.72,1.44,-98.99313275663941,-100.43313275663941,-98.99313275663941,0.0,0.0,experimental_composite_x
menendez_core,EURJPY.r,LONG,menendez_core,6041,SL,2023-06-27 17:00:00,2023-07-06 06:00:00,157.656,156.391,156.391,6040.0,6041.0,2023-06-26 15:00:00,2023-06-27 00:00:00,2023-06-27 15:30:00,0.5660714285714392,True,1,1,True,False,False,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,1,False,True,False,True,2,OTHER,156.391,158.94366666666667,W_R2,1.0179183135704755,157.656,1.0,10011.240052263574,100.11240052263575,1.0,1.2650000000000148,1265.0000000000148,691.0944422580081,0.14486066505691927,0.14,96.75322191612115,-3.359178606514604,-1265.0000000000148,0.5463197172,3.0,0.42000000000000004,0.42000000000000004,0.8400000000000001,-96.75322191612115,-97.59322191612115,-96.75322191612115,0.0,0.0,experimental_composite_x
menendez_core,EURJPY.r,LONG,menendez_core,6175,SL,2023-08-10 16:00:00,2023-08-23 10:30:00,158.852,157.644,157.644,6174.0,6175.0,2023-08-09 15:30:00,2023-08-09 23:00:00,2023-08-10 15:00:00,0.45212765957446566,True,1,1,True,False,False,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,0,False,False,False,False,6,OTHER,157.644,161.258,W_R2,1.9917218543046433,158.852,1.0,9913.646830347454,99.13646830347454,1.0,1.2079999999999984,1207.9999999999984,659.9542183775992,0.15021719013659315,0.15,98.99313275663988,-0.14333554683466332,-1207.9999999999984,0.5463197172,3.0,0.44999999999999996,0.44999999999999996,0.8999999999999999,-98.99313275663988,-99.89313275663989,-98.99313275663988,0.0,0.0,experimental_composite_x
menendez_core,NZDUSD.r,SHORT,menendez_core,3659,SL,2024-07-17 01:30:00,2024-07-17 03:30:00,0.60665,0.60736,0.60736,3658.0,3659.0,2024-07-15 20:00:00,2024-07-16 09:00:00,2024-07-17 01:00:00,0.6109785202863939,True,1,1,False,True,True,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,-1,H4_SHORT_READY,,True,False,True,True,False,1,False,False,False,False,4,OTHER,0.60736,0.6054466666666666,D_PIVOT,1.6948356807513587,0.60665,1.0,9813.753697590813,98.13753697590813,1.0,0.0007099999999999884,70.99999999999883,61.80093136299899,1.5879621036692715,1.58,97.6454715535384,-0.49206542236973405,-70.99999999999883,0.870435653,3.0,4.74,4.74,9.48,-97.6454715535384,-107.1254715535384,-97.6454715535384,0.0,0.0,experimental_composite_x
menendez_core,EURGBP.r,SHORT,menendez_core,3897,SL,2024-11-12 00:00:00,2024-11-12 02:00:00,0.828,0.82834,0.82834,3896.0,3897.0,2024-11-11 09:30:00,2024-11-11 15:30:00,2024-11-11 23:30:00,0.5315614617940059,True,1,1,False,True,True,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,-1,H4_SHORT_READY,,True,False,True,True,False,0,False,False,False,False,8,OTHER,0.82834,0.8268514844328405,BB_LOWER,3.377986962233599,0.828,1.0,9706.628226037275,97.06628226037276,1.0,0.00034000000000000696,34.000000000000696,39.34866388240081,2.4668253679583487,2.46,96.79771315070599,-0.26856910966677106,-34.000000000000696,1.1573136436,3.0,7.38,7.38,14.76,-96.79771315070599,-111.557713150706,-96.79771315070599,0.0,0.0,experimental_composite_x
menendez_core,USDCAD.r,LONG,menendez_core,4345,SL,2025-03-11 07:00:00,2025-03-11 11:30:00,1.44343,1.4417,1.4417,4344.0,4345.0,2025-03-10 14:30:00,2025-03-10 23:00:00,2025-03-11 06:30:00,0.5577889447236178,True,1,1,False,True,True,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,0,False,False,False,False,3,OTHER,1.4417,1.4460303649895248,BB_UPPER,1.503101150014305,1.44343,1.0,9595.07051288657,95.9507051288657,1.0,0.0017300000000000093,173.0000000000009,109.99910983040058,0.8722861964683617,0.87,95.69922555244851,-0.2514795764171964,-173.0000000000009,0.6358330048,3.0,2.61,2.61,5.22,-95.69922555244851,-100.91922555244851,-95.69922555244851,0.0,0.0,experimental_composite_x
menendez_core,USDJPY,LONG,menendez_core,8626,SL,2026-03-03 10:00:00,2026-03-04 11:30:00,157.52100000000002,157.109,157.109,8625.0,8626.0,2026-03-02 07:30:00,2026-03-02 18:00:00,2026-03-03 09:30:00,0.611538461538462,True,1,1,True,False,True,True,True,True,3,True,True,ENTRY_READY,,ENTRY_READY,1,H4_LONG_READY,,True,True,False,False,False,1,False,False,False,False,1,CORRECTIVE_EQUIVALENT,157.109,157.99716,FIB_0.854,1.1557281553397718,157.52100000000002,1.0,9494.151287334122,94.94151287334122,1.0,0.41200000000000614,412.00000000000614,225.0837234864034,0.42180532382687524,0.42,94.53516386428942,-0.4063490090518087,-412.00000000000614,0.5463197172,3.0,1.26,1.26,2.52,-94.53516386428942,-97.05516386428941,-94.53516386428942,0.0,0.0,experimental_composite_x
