Activo,SETUP_STATUS,Rows,Variant,VariantClass
AUDUSD.r,H4_BLOCKED,46503,experimental_composite_x,resultado_exploratorio
AUDUSD.r,HTF_READY,11245,experimental_composite_x,resultado_exploratorio
AUDUSD.r,SETUP_BLOCKED,1688,experimental_composite_x,resultado_exploratorio
AUDUSD.r,WAIT_MOMENTUM_CONFIRM,376,experimental_composite_x,resultado_exploratorio
AUDUSD.r,WAIT_RR,8,experimental_composite_x,resultado_exploratorio
AUDUSD.r,WAIT_PRIMARY_TRIGGER,1,experimental_composite_x,resultado_exploratorio
EURGBP.r,H4_BLOCKED,46506,experimental_composite_x,resultado_exploratorio
EURGBP.r,HTF_READY,11402,experimental_composite_x,resultado_exploratorio
EURGBP.r,SETUP_BLOCKED,1583,experimental_composite_x,resultado_exploratorio
EURGBP.r,WAIT_MOMENTUM_CONFIRM,313,experimental_composite_x,resultado_exploratorio
EURGBP.r,WAIT_RR,15,experimental_composite_x,resultado_exploratorio
EURGBP.r,ENTRY_READY,2,experimental_composite_x,resultado_exploratorio
EURJPY.r,H4_BLOCKED,76961,experimental_composite_x,resultado_exploratorio
EURJPY.r,HTF_READY,20878,experimental_composite_x,resultado_exploratorio
EURJPY.r,SETUP_BLOCKED,3127,experimental_composite_x,resultado_exploratorio
EURJPY.r,WAIT_MOMENTUM_CONFIRM,432,experimental_composite_x,resultado_exploratorio
EURJPY.r,WAIT_RR,246,experimental_composite_x,resultado_exploratorio
EURJPY.r,ENTRY_READY,9,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_BLOCKED,77720,experimental_composite_x,resultado_exploratorio
EURUSD.r,HTF_READY,20444,experimental_composite_x,resultado_exploratorio
EURUSD.r,SETUP_BLOCKED,2864,experimental_composite_x,resultado_exploratorio
EURUSD.r,WAIT_MOMENTUM_CONFIRM,603,experimental_composite_x,resultado_exploratorio
EURUSD.r,WAIT_RR,23,experimental_composite_x,resultado_exploratorio
GBPUSD.r,H4_BLOCKED,46777,experimental_composite_x,resultado_exploratorio
GBPUSD.r,HTF_READY,11157,experimental_composite_x,resultado_exploratorio
GBPUSD.r,SETUP_BLOCKED,1621,experimental_composite_x,resultado_exploratorio
GBPUSD.r,WAIT_MOMENTUM_CONFIRM,258,experimental_composite_x,resultado_exploratorio
GBPUSD.r,WAIT_RR,5,experimental_composite_x,resultado_exploratorio
NZDUSD.r,H4_BLOCKED,46501,experimental_composite_x,resultado_exploratorio
NZDUSD.r,HTF_READY,11267,experimental_composite_x,resultado_exploratorio
NZDUSD.r,SETUP_BLOCKED,1623,experimental_composite_x,resultado_exploratorio
NZDUSD.r,WAIT_MOMENTUM_CONFIRM,407,experimental_composite_x,resultado_exploratorio
NZDUSD.r,WAIT_RR,19,experimental_composite_x,resultado_exploratorio
NZDUSD.r,ENTRY_READY,1,experimental_composite_x,resultado_exploratorio
USDCAD.r,H4_BLOCKED,45998,experimental_composite_x,resultado_exploratorio
USDCAD.r,HTF_READY,11747,experimental_composite_x,resultado_exploratorio
USDCAD.r,SETUP_BLOCKED,1743,experimental_composite_x,resultado_exploratorio
USDCAD.r,WAIT_MOMENTUM_CONFIRM,310,experimental_composite_x,resultado_exploratorio
USDCAD.r,WAIT_RR,19,experimental_composite_x,resultado_exploratorio
USDCAD.r,ENTRY_READY,3,experimental_composite_x,resultado_exploratorio
USDCHF.r,H4_BLOCKED,46009,experimental_composite_x,resultado_exploratorio
USDCHF.r,HTF_READY,11732,experimental_composite_x,resultado_exploratorio
USDCHF.r,SETUP_BLOCKED,1757,experimental_composite_x,resultado_exploratorio
USDCHF.r,WAIT_MOMENTUM_CONFIRM,307,experimental_composite_x,resultado_exploratorio
USDCHF.r,WAIT_RR,12,experimental_composite_x,resultado_exploratorio
USDJPY,H4_BLOCKED,76025,experimental_composite_x,resultado_exploratorio
USDJPY,HTF_READY,21851,experimental_composite_x,resultado_exploratorio
USDJPY,SETUP_BLOCKED,3029,experimental_composite_x,resultado_exploratorio
USDJPY,WAIT_MOMENTUM_CONFIRM,502,experimental_composite_x,resultado_exploratorio
USDJPY,WAIT_RR,243,experimental_composite_x,resultado_exploratorio
USDJPY,ENTRY_READY,3,experimental_composite_x,resultado_exploratorio
TOTAL,ENTRY_READY,18,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BLOCKED,509000,experimental_composite_x,resultado_exploratorio
TOTAL,HTF_READY,131723,experimental_composite_x,resultado_exploratorio
TOTAL,SETUP_BLOCKED,19035,experimental_composite_x,resultado_exploratorio
TOTAL,WAIT_MOMENTUM_CONFIRM,3508,experimental_composite_x,resultado_exploratorio
TOTAL,WAIT_PRIMARY_TRIGGER,1,experimental_composite_x,resultado_exploratorio
TOTAL,WAIT_RR,590,experimental_composite_x,resultado_exploratorio
