Activo,BLOCK_REASON,Rows,Variant,VariantClass
AUDUSD.r,H4_MACD_NEUTRAL,43133,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,H4_BEARISH_FAN_MISSING,5761,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,H4_BULLISH_FAN_MISSING,5609,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,RETRACE_TOO_DEEP,365,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,RETRACE_BELOW_MIN,248,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,MOMENTUM_CONFIRM_MISSING,214,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,RR_BELOW_MIN,2,faithful_operable_trigger_or,resultado_valido
EURGBP.r,H4_MACD_NEUTRAL,47978,faithful_operable_trigger_or,resultado_valido
EURGBP.r,H4_BEARISH_FAN_MISSING,4565,faithful_operable_trigger_or,resultado_valido
EURGBP.r,H4_BULLISH_FAN_MISSING,4511,faithful_operable_trigger_or,resultado_valido
EURGBP.r,RETRACE_TOO_DEEP,159,faithful_operable_trigger_or,resultado_valido
EURGBP.r,RETRACE_BELOW_MIN,114,faithful_operable_trigger_or,resultado_valido
EURGBP.r,MOMENTUM_CONFIRM_MISSING,109,faithful_operable_trigger_or,resultado_valido
EURGBP.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
EURGBP.r,RR_BELOW_MIN,1,faithful_operable_trigger_or,resultado_valido
EURJPY.r,H4_BULLISH_FAN_MISSING,34966,faithful_operable_trigger_or,resultado_valido
EURJPY.r,H4_BEARISH_FAN_MISSING,33502,faithful_operable_trigger_or,resultado_valido
EURJPY.r,RETRACE_TOO_DEEP,2751,faithful_operable_trigger_or,resultado_valido
EURJPY.r,MOMENTUM_CONFIRM_MISSING,971,faithful_operable_trigger_or,resultado_valido
EURJPY.r,RETRACE_BELOW_MIN,907,faithful_operable_trigger_or,resultado_valido
EURJPY.r,H4_MACD_NEUTRAL,652,faithful_operable_trigger_or,resultado_valido
EURJPY.r,RR_BELOW_MIN,319,faithful_operable_trigger_or,resultado_valido
EURJPY.r,PRIMARY_TRIGGER_MISSING,2,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_MACD_NEUTRAL,70469,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BEARISH_FAN_MISSING,9748,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,9186,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,681,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,667,faithful_operable_trigger_or,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,391,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RR_BELOW_MIN,3,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,H4_MACD_NEUTRAL,35800,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,H4_BULLISH_FAN_MISSING,7373,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,H4_BEARISH_FAN_MISSING,7321,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,RETRACE_TOO_DEEP,503,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,RETRACE_BELOW_MIN,483,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,MOMENTUM_CONFIRM_MISSING,330,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,RR_BELOW_MIN,17,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,H4_MACD_NEUTRAL,45183,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,H4_BEARISH_FAN_MISSING,5115,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,H4_BULLISH_FAN_MISSING,5050,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,RETRACE_TOO_DEEP,337,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,RETRACE_BELOW_MIN,207,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,MOMENTUM_CONFIRM_MISSING,170,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,RR_BELOW_MIN,10,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
USDCAD.r,H4_MACD_NEUTRAL,39869,faithful_operable_trigger_or,resultado_valido
USDCAD.r,H4_BEARISH_FAN_MISSING,6468,faithful_operable_trigger_or,resultado_valido
USDCAD.r,H4_BULLISH_FAN_MISSING,5775,faithful_operable_trigger_or,resultado_valido
USDCAD.r,RETRACE_TOO_DEEP,556,faithful_operable_trigger_or,resultado_valido
USDCAD.r,RETRACE_BELOW_MIN,408,faithful_operable_trigger_or,resultado_valido
USDCAD.r,MOMENTUM_CONFIRM_MISSING,227,faithful_operable_trigger_or,resultado_valido
USDCAD.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
USDCAD.r,RR_BELOW_MIN,8,faithful_operable_trigger_or,resultado_valido
USDCHF.r,H4_MACD_NEUTRAL,43392,faithful_operable_trigger_or,resultado_valido
USDCHF.r,H4_BULLISH_FAN_MISSING,5630,faithful_operable_trigger_or,resultado_valido
USDCHF.r,H4_BEARISH_FAN_MISSING,5358,faithful_operable_trigger_or,resultado_valido
USDCHF.r,RETRACE_TOO_DEEP,304,faithful_operable_trigger_or,resultado_valido
USDCHF.r,RETRACE_BELOW_MIN,290,faithful_operable_trigger_or,resultado_valido
USDCHF.r,MOMENTUM_CONFIRM_MISSING,187,faithful_operable_trigger_or,resultado_valido
USDCHF.r,H4_NO_ATTRACTOR,8,faithful_operable_trigger_or,resultado_valido
USDCHF.r,RR_BELOW_MIN,1,faithful_operable_trigger_or,resultado_valido
USDJPY,H4_BULLISH_FAN_MISSING,34797,faithful_operable_trigger_or,resultado_valido
USDJPY,H4_BEARISH_FAN_MISSING,33449,faithful_operable_trigger_or,resultado_valido
USDJPY,RETRACE_TOO_DEEP,2602,faithful_operable_trigger_or,resultado_valido
USDJPY,RETRACE_BELOW_MIN,1074,faithful_operable_trigger_or,resultado_valido
USDJPY,MOMENTUM_CONFIRM_MISSING,890,faithful_operable_trigger_or,resultado_valido
USDJPY,H4_MACD_NEUTRAL,602,faithful_operable_trigger_or,resultado_valido
USDJPY,RR_BELOW_MIN,279,faithful_operable_trigger_or,resultado_valido
USDJPY,TP_UNAVAILABLE,2,faithful_operable_trigger_or,resultado_valido
USDJPY,PRIMARY_TRIGGER_MISSING,1,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,111287,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,112897,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_MACD_NEUTRAL,327078,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_NO_ATTRACTOR,48,faithful_operable_trigger_or,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,3489,faithful_operable_trigger_or,resultado_valido
