Activo,SETUP_STATUS,Rows,Variant,VariantClass
AUDUSD.r,H4_BLOCKED,54511,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,HTF_READY,4477,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,SETUP_BLOCKED,613,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,WAIT_MOMENTUM_CONFIRM,214,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,ENTRY_READY,4,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,WAIT_RR,2,faithful_operable_trigger_or,resultado_valido
EURGBP.r,H4_BLOCKED,57062,faithful_operable_trigger_or,resultado_valido
EURGBP.r,HTF_READY,2374,faithful_operable_trigger_or,resultado_valido
EURGBP.r,SETUP_BLOCKED,273,faithful_operable_trigger_or,resultado_valido
EURGBP.r,WAIT_MOMENTUM_CONFIRM,109,faithful_operable_trigger_or,resultado_valido
EURGBP.r,ENTRY_READY,2,faithful_operable_trigger_or,resultado_valido
EURGBP.r,WAIT_RR,1,faithful_operable_trigger_or,resultado_valido
EURJPY.r,H4_BLOCKED,69120,faithful_operable_trigger_or,resultado_valido
EURJPY.r,HTF_READY,27574,faithful_operable_trigger_or,resultado_valido
EURJPY.r,SETUP_BLOCKED,3658,faithful_operable_trigger_or,resultado_valido
EURJPY.r,WAIT_MOMENTUM_CONFIRM,971,faithful_operable_trigger_or,resultado_valido
EURJPY.r,WAIT_RR,319,faithful_operable_trigger_or,resultado_valido
EURJPY.r,ENTRY_READY,9,faithful_operable_trigger_or,resultado_valido
EURJPY.r,WAIT_PRIMARY_TRIGGER,2,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BLOCKED,89403,faithful_operable_trigger_or,resultado_valido
EURUSD.r,HTF_READY,10489,faithful_operable_trigger_or,resultado_valido
EURUSD.r,SETUP_BLOCKED,1348,faithful_operable_trigger_or,resultado_valido
EURUSD.r,WAIT_MOMENTUM_CONFIRM,391,faithful_operable_trigger_or,resultado_valido
EURUSD.r,ENTRY_READY,20,faithful_operable_trigger_or,resultado_valido
EURUSD.r,WAIT_RR,3,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,H4_BLOCKED,50502,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,HTF_READY,7981,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,SETUP_BLOCKED,986,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,WAIT_MOMENTUM_CONFIRM,330,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,WAIT_RR,17,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,ENTRY_READY,2,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,H4_BLOCKED,55356,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,HTF_READY,3731,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,SETUP_BLOCKED,544,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,WAIT_MOMENTUM_CONFIRM,170,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,WAIT_RR,10,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,ENTRY_READY,7,faithful_operable_trigger_or,resultado_valido
USDCAD.r,H4_BLOCKED,52120,faithful_operable_trigger_or,resultado_valido
USDCAD.r,HTF_READY,6492,faithful_operable_trigger_or,resultado_valido
USDCAD.r,SETUP_BLOCKED,964,faithful_operable_trigger_or,resultado_valido
USDCAD.r,WAIT_MOMENTUM_CONFIRM,227,faithful_operable_trigger_or,resultado_valido
USDCAD.r,ENTRY_READY,9,faithful_operable_trigger_or,resultado_valido
USDCAD.r,WAIT_RR,8,faithful_operable_trigger_or,resultado_valido
USDCHF.r,H4_BLOCKED,54388,faithful_operable_trigger_or,resultado_valido
USDCHF.r,HTF_READY,4646,faithful_operable_trigger_or,resultado_valido
USDCHF.r,SETUP_BLOCKED,594,faithful_operable_trigger_or,resultado_valido
USDCHF.r,WAIT_MOMENTUM_CONFIRM,187,faithful_operable_trigger_or,resultado_valido
USDCHF.r,ENTRY_READY,1,faithful_operable_trigger_or,resultado_valido
USDCHF.r,WAIT_RR,1,faithful_operable_trigger_or,resultado_valido
USDJPY,H4_BLOCKED,68848,faithful_operable_trigger_or,resultado_valido
USDJPY,HTF_READY,27940,faithful_operable_trigger_or,resultado_valido
USDJPY,SETUP_BLOCKED,3676,faithful_operable_trigger_or,resultado_valido
USDJPY,WAIT_MOMENTUM_CONFIRM,890,faithful_operable_trigger_or,resultado_valido
USDJPY,WAIT_RR,281,faithful_operable_trigger_or,resultado_valido
USDJPY,ENTRY_READY,17,faithful_operable_trigger_or,resultado_valido
USDJPY,WAIT_PRIMARY_TRIGGER,1,faithful_operable_trigger_or,resultado_valido
TOTAL,ENTRY_READY,71,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BLOCKED,551310,faithful_operable_trigger_or,resultado_valido
TOTAL,HTF_READY,95704,faithful_operable_trigger_or,resultado_valido
TOTAL,SETUP_BLOCKED,12656,faithful_operable_trigger_or,resultado_valido
TOTAL,WAIT_MOMENTUM_CONFIRM,3489,faithful_operable_trigger_or,resultado_valido
TOTAL,WAIT_PRIMARY_TRIGGER,3,faithful_operable_trigger_or,resultado_valido
TOTAL,WAIT_RR,642,faithful_operable_trigger_or,resultado_valido
