Periodo,Trades,WR%,AvgWin%,AvgLoss%,R:R,PF,Return%,Sharpe,Sortino,MaxDD%,Calmar,NetProfit,Expectancy,AvgR,ExpectancyR,Exposure%,ReturnOverDrawdown,Variant
2009-2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_sma200_primary
2013-2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_sma200_primary
2016-2018,3,0.0,0.0,-1.05,0.0,0.0,-3.12,-131.27,-131.27,2.11,-2.32,-311.84,-103.95,-1.05,-1.05,0.31,-1.48,faithful_operable_sma200_primary
2019-2021,9,22.2,1.1,-1.13,0.97,0.27,-5.43,-2.04,-23.84,4.44,-0.48,-542.87,-60.32,-0.634,-0.634,0.37,-1.22,faithful_operable_sma200_primary
2022-2024,24,37.5,1.34,-1.06,1.26,0.74,-3.65,-0.68,-19.89,6.32,-0.23,-365.15,-15.21,-0.163,-0.163,0.44,-0.58,faithful_operable_sma200_primary
2025-2026,9,11.1,0.97,-1.08,0.9,0.11,-6.51,-3.98,-64.79,5.62,-1.03,-651.14,-72.35,-0.849,-0.849,0.26,-1.16,faithful_operable_sma200_primary
2009-2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_trigger_or
2013-2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_trigger_or
2016-2018,4,0.0,0.0,-1.05,0.0,0.0,-4.14,-174.98,-174.98,3.13,-2.06,-413.57,-103.39,-1.05,-1.05,0.32,-1.32,faithful_operable_trigger_or
2019-2021,14,42.9,1.34,-1.09,1.23,0.91,-0.77,-0.15,-7.98,2.97,-0.1,-76.62,-5.47,-0.05,-0.05,0.83,-0.26,faithful_operable_trigger_or
2022-2024,20,40.0,1.24,-1.04,1.19,0.78,-2.57,-0.52,-19.72,5.43,-0.18,-257.31,-12.87,-0.131,-0.131,0.39,-0.47,faithful_operable_trigger_or
2025-2026,11,18.2,3.1,-1.06,2.92,0.64,-3.17,-0.54,-38.81,6.7,-0.42,-316.69,-28.79,-0.303,-0.303,2.02,-0.47,faithful_operable_trigger_or
2009-2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experimental_composite_x
2013-2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experimental_composite_x
2016-2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experimental_composite_x
2019-2021,4,50.0,1.06,-0.99,1.07,1.06,0.11,0.06,58.18,1.98,0.05,11.24,2.81,0.033,0.033,0.63,0.06,experimental_composite_x
2022-2024,4,0.0,0.0,-1.06,0.0,0.0,-4.16,-30.72,-30.72,3.22,-0.96,-416.17,-104.04,-1.056,-1.056,4.27,-1.29,experimental_composite_x
2025-2026,2,0.0,0.0,-1.04,0.0,0.0,-1.98,-97.88,-97.88,0.98,-2.06,-197.97,-98.99,-1.037,-1.037,0.35,-2.02,experimental_composite_x
