Activo,Velas,H4_BLOCKED,HTF_OK,SETUP_ROWS,RETRACE_OK,FAN_BREAKOUT,MACD_TRIGGER,STOCH_TRIGGER,RR_OK,ENTRY_READY,Variant,VariantClass
AUDUSD.r,59821,46503,13262,2073,545,2070,0,77,247,9,faithful_operable_sma200_primary,resultado_valido
EURGBP.r,59821,46506,13278,1913,447,1911,0,80,261,9,faithful_operable_sma200_primary,resultado_valido
EURJPY.r,101653,76961,24603,3814,945,3810,1136,96,426,6,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,101654,77720,23861,3490,734,3481,4,133,479,12,faithful_operable_sma200_primary,resultado_valido
GBPUSD.r,59818,46777,12982,1884,423,1882,9,76,295,3,faithful_operable_sma200_primary,resultado_valido
NZDUSD.r,59818,46501,13250,2050,500,2042,4,65,237,7,faithful_operable_sma200_primary,resultado_valido
USDCAD.r,59820,45998,13779,2075,415,2070,0,78,241,6,faithful_operable_sma200_primary,resultado_valido
USDCHF.r,59817,46009,13758,2076,453,2071,0,79,248,5,faithful_operable_sma200_primary,resultado_valido
USDJPY,101653,76025,25507,3777,899,3773,995,124,418,7,faithful_operable_sma200_primary,resultado_valido
TOTAL,663875,509000,154280,23152,5361,23110,2148,808,2852,64,faithful_operable_sma200_primary,resultado_valido
AUDUSD.r,59821,54511,5254,833,220,831,4,26,130,4,faithful_operable_trigger_or,resultado_valido
EURGBP.r,59821,57062,2728,385,112,385,0,16,76,2,faithful_operable_trigger_or,resultado_valido
EURJPY.r,101653,69120,32395,4959,1301,4953,1488,129,580,9,faithful_operable_trigger_or,resultado_valido
EURUSD.r,101654,89403,12160,1762,414,1759,5,78,292,20,faithful_operable_trigger_or,resultado_valido
GBPUSD.r,59818,50502,9264,1335,349,1333,6,58,210,2,faithful_operable_trigger_or,resultado_valido
NZDUSD.r,59818,55356,4397,731,187,731,0,32,110,7,faithful_operable_trigger_or,resultado_valido
USDCAD.r,59820,52120,7638,1208,244,1206,0,47,187,9,faithful_operable_trigger_or,resultado_valido
USDCHF.r,59817,54388,5383,783,189,781,0,31,132,1,faithful_operable_trigger_or,resultado_valido
USDJPY,101653,68848,32631,4865,1189,4858,1335,183,564,17,faithful_operable_trigger_or,resultado_valido
TOTAL,663875,551310,111850,16861,4205,16837,2838,600,2281,71,faithful_operable_trigger_or,resultado_valido
AUDUSD.r,59821,46503,13262,2073,385,2070,0,77,44,0,experimental_composite_x,resultado_exploratorio
EURGBP.r,59821,46506,13278,1913,330,1912,0,80,38,2,experimental_composite_x,resultado_exploratorio
EURJPY.r,101653,76961,24603,3814,687,3811,1154,96,79,9,experimental_composite_x,resultado_exploratorio
EURUSD.r,101654,77720,23861,3490,626,3484,4,133,95,0,experimental_composite_x,resultado_exploratorio
GBPUSD.r,59818,46777,12982,1884,263,1882,9,76,39,0,experimental_composite_x,resultado_exploratorio
NZDUSD.r,59818,46501,13250,2050,427,2043,4,65,42,1,experimental_composite_x,resultado_exploratorio
USDCAD.r,59820,45998,13779,2075,332,2074,0,78,63,3,experimental_composite_x,resultado_exploratorio
USDCHF.r,59817,46009,13758,2076,319,2073,0,79,53,0,experimental_composite_x,resultado_exploratorio
USDJPY,101653,76025,25507,3777,748,3775,1004,124,76,3,experimental_composite_x,resultado_exploratorio
TOTAL,663875,509000,154280,23152,4117,23124,2175,808,529,18,experimental_composite_x,resultado_exploratorio
