Variant,Activo,Trades,WR%,AvgWin%,AvgLoss%,R:R,PF,Return%,Sharpe,Sortino,MaxDD%,Calmar,NetProfit,Expectancy,AvgR,ExpectancyR,Exposure%,ReturnOverDrawdown,Velas,H4_BLOCKED,HTF_OK,SETUP_ROWS,RETRACE_OK,FAN_BREAKOUT,MACD_TRIGGER,STOCH_TRIGGER,RR_OK,ENTRY_READY
faithful_operable_sma200_primary,USDCHF.r,4,50.0,1.63,-1.05,1.55,1.47,0.87,0.37,47.98,0.94,0.28,87.27,21.82,0.289,0.289,0.04,0.93,59817,46009,13758,2076,453,2071,0,79,248,5
faithful_operable_sma200_primary,NZDUSD.r,4,50.0,1.21,-1.09,1.1,1.17,0.31,0.17,7.49,1.8,0.05,31.17,7.79,0.057,0.057,0.02,0.17,59818,46501,13250,2050,500,2042,4,65,237,7
faithful_operable_sma200_primary,USDCAD.r,3,33.3,1.03,-1.06,0.97,0.48,-0.97,-0.64,-18.44,0.9,-0.57,-96.58,-32.19,-0.366,-0.366,0.09,-1.07,59820,45998,13779,2075,415,2070,0,78,241,6
faithful_operable_sma200_primary,USDJPY,6,33.3,1.23,-1.06,1.16,0.54,-1.85,-0.75,-12.01,2.06,-0.14,-184.6,-30.77,-0.297,-0.297,0.15,-0.89,101653,76025,25507,3777,899,3773,995,124,418,7
faithful_operable_sma200_primary,GBPUSD.r,3,0.0,0.0,-1.04,0.0,0.0,-2.83,-51.44,-51.44,1.93,-0.59,-283.08,-94.36,-1.044,-1.044,0.06,-1.47,59818,46777,12982,1884,423,1882,9,76,295,3
faithful_operable_sma200_primary,AUDUSD.r,5,20.0,1.29,-1.15,1.13,0.29,-2.87,-1.45,-11.39,2.85,-0.22,-286.58,-57.32,-0.659,-0.659,0.07,-1.01,59821,46503,13262,2073,545,2070,0,77,247,9
faithful_operable_sma200_primary,EURUSD.r,8,25.0,1.23,-1.11,1.1,0.38,-3.68,-1.42,-14.59,3.71,-0.17,-367.67,-45.96,-0.526,-0.526,0.04,-0.99,101654,77720,23861,3490,734,3481,4,133,479,12
faithful_operable_sma200_primary,EURGBP.r,6,16.7,1.14,-1.07,1.06,0.21,-3.8,-2.11,-54.16,2.9,-0.69,-380.13,-63.36,-0.706,-0.706,0.12,-1.31,59821,46506,13278,1913,447,1911,0,80,261,9
faithful_operable_sma200_primary,EURJPY.r,6,16.7,1.2,-1.05,1.14,0.22,-3.91,-2.03,-34.52,3.08,-0.23,-390.8,-65.13,-0.673,-0.673,0.05,-1.27,101653,76961,24603,3814,945,3810,1136,96,426,6
faithful_operable_trigger_or,AUDUSD.r,2,50.0,1.3,-1.07,1.21,1.25,0.24,0.17,0.0,0.96,0.07,24.45,12.22,0.113,0.113,0.07,0.26,59821,54511,5254,833,220,831,4,26,130,4
faithful_operable_trigger_or,GBPUSD.r,2,50.0,1.07,-1.03,1.05,1.05,0.04,0.04,0.0,0.96,0.06,4.43,2.21,0.024,0.024,0.1,0.05,59818,50502,9264,1335,349,1333,6,58,210,2
faithful_operable_trigger_or,EURGBP.r,2,50.0,1.14,-1.1,1.04,1.03,0.03,0.03,0.0,0.0,0.0,2.75,1.37,0.021,0.021,0.12,inf,59821,57062,2728,385,112,385,0,16,76,2
faithful_operable_trigger_or,NZDUSD.r,5,40.0,1.21,-1.07,1.13,0.73,-0.81,-0.33,-10.09,1.98,-0.11,-81.33,-16.27,-0.16,-0.16,0.03,-0.41,59818,55356,4397,731,187,731,0,32,110,7
faithful_operable_trigger_or,USDCAD.r,5,40.0,1.16,-1.06,1.09,0.71,-0.86,-0.37,-11.8,2.02,-0.13,-86.08,-17.22,-0.175,-0.175,0.09,-0.43,59820,52120,7638,1208,244,1206,0,47,187,9
faithful_operable_trigger_or,USDCHF.r,1,0.0,0.0,-1.03,0.0,0.0,-0.98,0.0,0.0,0.0,0.0,-97.92,-97.92,-1.034,-1.034,100.0,inf,59817,54388,5383,783,189,781,0,31,132,1
faithful_operable_trigger_or,EURUSD.r,11,27.3,2.49,-1.06,2.36,0.87,-1.04,-0.15,-6.13,4.02,-0.05,-103.77,-9.43,-0.089,-0.089,0.45,-0.26,101654,89403,12160,1762,414,1759,5,78,292,20
faithful_operable_trigger_or,USDJPY,12,33.3,1.56,-1.07,1.46,0.72,-2.31,-0.52,-14.78,2.78,-0.13,-230.72,-19.23,-0.193,-0.193,0.3,-0.83,101653,68848,32631,4865,1189,4858,1335,183,564,17
faithful_operable_trigger_or,EURJPY.r,9,22.2,1.08,-1.05,1.03,0.29,-4.96,-1.95,-59.24,3.97,-0.17,-495.98,-55.11,-0.575,-0.575,0.06,-1.25,101653,69120,32395,4959,1301,4953,1488,129,580,9
experimental_composite_x,EURUSD.r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101654,77720,23861,3490,626,3484,4,133,95,0
experimental_composite_x,GBPUSD.r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59818,46777,12982,1884,263,1882,9,76,39,0
experimental_composite_x,USDCHF.r,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59817,46009,13758,2076,319,2073,0,79,53,0
