Activo,BLOCK_REASON,Rows,Variant,VariantClass
EURUSD.r,H4_BEARISH_FAN_MISSING,35837,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,33660,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BULL_FILTER_MISSING,4471,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BEAR_FILTER_MISSING,3752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,1752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,1004,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,705,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RR_BELOW_MIN,17,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,35837,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,33660,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BEAR_FILTER_MISSING,3752,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BULL_FILTER_MISSING,4471,faithful_operable_sma200_primary,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,705,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_BELOW_MIN,1004,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_TOO_DEEP,1752,faithful_operable_sma200_primary,resultado_valido
TOTAL,RR_BELOW_MIN,17,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_MACD_NEUTRAL,70469,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BEARISH_FAN_MISSING,9748,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,9186,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,681,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,667,faithful_operable_trigger_or,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,391,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RR_BELOW_MIN,3,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,9748,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,9186,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_MACD_NEUTRAL,70469,faithful_operable_trigger_or,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,391,faithful_operable_trigger_or,resultado_valido
TOTAL,RETRACE_BELOW_MIN,681,faithful_operable_trigger_or,resultado_valido
TOTAL,RETRACE_TOO_DEEP,667,faithful_operable_trigger_or,resultado_valido
TOTAL,RR_BELOW_MIN,3,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BEARISH_FAN_MISSING,35837,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_BULLISH_FAN_MISSING,33660,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_SMA200_BULL_FILTER_MISSING,4471,experimental_composite_x,resultado_exploratorio
EURUSD.r,H4_SMA200_BEAR_FILTER_MISSING,3752,experimental_composite_x,resultado_exploratorio
EURUSD.r,RETRACE_TOO_DEEP,2251,experimental_composite_x,resultado_exploratorio
EURUSD.r,RETRACE_BELOW_MIN,613,experimental_composite_x,resultado_exploratorio
EURUSD.r,MOMENTUM_CONFIRM_MISSING,603,experimental_composite_x,resultado_exploratorio
EURUSD.r,RR_BELOW_MIN,23,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BEARISH_FAN_MISSING,35837,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BULLISH_FAN_MISSING,33660,experimental_composite_x,resultado_exploratorio
TOTAL,H4_SMA200_BEAR_FILTER_MISSING,3752,experimental_composite_x,resultado_exploratorio
TOTAL,H4_SMA200_BULL_FILTER_MISSING,4471,experimental_composite_x,resultado_exploratorio
TOTAL,MOMENTUM_CONFIRM_MISSING,603,experimental_composite_x,resultado_exploratorio
TOTAL,RETRACE_BELOW_MIN,613,experimental_composite_x,resultado_exploratorio
TOTAL,RETRACE_TOO_DEEP,2251,experimental_composite_x,resultado_exploratorio
TOTAL,RR_BELOW_MIN,23,experimental_composite_x,resultado_exploratorio
