Activo,BLOCK_REASON,Rows,Variant,VariantClass
EURUSD.r,H4_BEARISH_FAN_MISSING,35837,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,33660,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BULL_FILTER_MISSING,4471,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_SMA200_BEAR_FILTER_MISSING,3752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,1752,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,1004,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,705,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,RR_BELOW_MIN,17,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,35837,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,33660,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BEAR_FILTER_MISSING,3752,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_SMA200_BULL_FILTER_MISSING,4471,faithful_operable_sma200_primary,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,705,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_BELOW_MIN,1004,faithful_operable_sma200_primary,resultado_valido
TOTAL,RETRACE_TOO_DEEP,1752,faithful_operable_sma200_primary,resultado_valido
TOTAL,RR_BELOW_MIN,17,faithful_operable_sma200_primary,resultado_valido
