Activo,SETUP_STATUS,Rows,Variant,VariantClass
EURUSD.r,H4_BLOCKED,77720,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,HTF_READY,20444,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,SETUP_BLOCKED,2756,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,WAIT_MOMENTUM_CONFIRM,705,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,WAIT_RR,17,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,ENTRY_READY,12,faithful_operable_sma200_primary,resultado_valido
TOTAL,ENTRY_READY,12,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BLOCKED,77720,faithful_operable_sma200_primary,resultado_valido
TOTAL,HTF_READY,20444,faithful_operable_sma200_primary,resultado_valido
TOTAL,SETUP_BLOCKED,2756,faithful_operable_sma200_primary,resultado_valido
TOTAL,WAIT_MOMENTUM_CONFIRM,705,faithful_operable_sma200_primary,resultado_valido
TOTAL,WAIT_RR,17,faithful_operable_sma200_primary,resultado_valido
