Activo,BLOCK_REASON,Rows,Variant,VariantClass
EURUSD.r,H4_MACD_NEUTRAL,70469,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BEARISH_FAN_MISSING,9748,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BULLISH_FAN_MISSING,9186,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_BELOW_MIN,681,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RETRACE_TOO_DEEP,667,faithful_operable_trigger_or,resultado_valido
EURUSD.r,MOMENTUM_CONFIRM_MISSING,391,faithful_operable_trigger_or,resultado_valido
EURUSD.r,RR_BELOW_MIN,3,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BEARISH_FAN_MISSING,9748,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BULLISH_FAN_MISSING,9186,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_MACD_NEUTRAL,70469,faithful_operable_trigger_or,resultado_valido
TOTAL,MOMENTUM_CONFIRM_MISSING,391,faithful_operable_trigger_or,resultado_valido
TOTAL,RETRACE_BELOW_MIN,681,faithful_operable_trigger_or,resultado_valido
TOTAL,RETRACE_TOO_DEEP,667,faithful_operable_trigger_or,resultado_valido
TOTAL,RR_BELOW_MIN,3,faithful_operable_trigger_or,resultado_valido
