Periodo,Trades,WR%,AvgWin%,AvgLoss%,R:R,PF,Return%,Sharpe,Sortino,MaxDD%,Calmar,NetProfit,Expectancy,AvgR,ExpectancyR,Exposure%,ReturnOverDrawdown,Variant
2009-2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_sma200_primary
2013-2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_sma200_primary
2016-2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_sma200_primary
2019-2021,3,33.3,1.27,-1.17,1.09,0.54,-1.08,-0.53,-16.2,1.13,-0.42,-108.29,-36.1,-0.356,-0.356,0.03,-0.96,faithful_operable_sma200_primary
2022-2024,3,33.3,1.19,-1.09,1.09,0.54,-1.0,-0.53,-34.53,2.14,-0.31,-99.55,-33.18,-0.331,-0.331,0.03,-0.46,faithful_operable_sma200_primary
2025-2026,2,0.0,0.0,-1.07,0.0,0.0,-2.09,-20.74,-20.74,1.12,-5.17,-208.5,-104.25,-1.07,-1.07,0.38,-1.86,faithful_operable_sma200_primary
2009-2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_trigger_or
2013-2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_trigger_or
2016-2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faithful_operable_trigger_or
2019-2021,3,33.3,1.27,-1.1,1.15,0.57,-0.95,-0.48,-20.54,1.13,-3.82,-94.97,-31.66,-0.311,-0.311,0.7,-0.84,faithful_operable_trigger_or
2022-2024,3,0.0,0.0,-1.04,0.0,0.0,-3.07,-91.53,-91.53,2.07,-1.02,-307.03,-102.34,-1.044,-1.044,0.07,-1.49,faithful_operable_trigger_or
2025-2026,5,40.0,3.08,-1.04,2.97,1.9,2.82,0.56,33.34,2.96,0.94,282.33,56.47,0.61,0.61,2.13,0.95,faithful_operable_trigger_or
