Activo,SETUP_STATUS,Rows,Variant,VariantClass
EURUSD.r,H4_BLOCKED,77720,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,HTF_READY,20444,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,SETUP_BLOCKED,2756,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,WAIT_MOMENTUM_CONFIRM,705,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,WAIT_RR,17,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,ENTRY_READY,12,faithful_operable_sma200_primary,resultado_valido
TOTAL,ENTRY_READY,12,faithful_operable_sma200_primary,resultado_valido
TOTAL,H4_BLOCKED,77720,faithful_operable_sma200_primary,resultado_valido
TOTAL,HTF_READY,20444,faithful_operable_sma200_primary,resultado_valido
TOTAL,SETUP_BLOCKED,2756,faithful_operable_sma200_primary,resultado_valido
TOTAL,WAIT_MOMENTUM_CONFIRM,705,faithful_operable_sma200_primary,resultado_valido
TOTAL,WAIT_RR,17,faithful_operable_sma200_primary,resultado_valido
EURUSD.r,H4_BLOCKED,89403,faithful_operable_trigger_or,resultado_valido
EURUSD.r,HTF_READY,10489,faithful_operable_trigger_or,resultado_valido
EURUSD.r,SETUP_BLOCKED,1348,faithful_operable_trigger_or,resultado_valido
EURUSD.r,WAIT_MOMENTUM_CONFIRM,391,faithful_operable_trigger_or,resultado_valido
EURUSD.r,ENTRY_READY,20,faithful_operable_trigger_or,resultado_valido
EURUSD.r,WAIT_RR,3,faithful_operable_trigger_or,resultado_valido
TOTAL,ENTRY_READY,20,faithful_operable_trigger_or,resultado_valido
TOTAL,H4_BLOCKED,89403,faithful_operable_trigger_or,resultado_valido
TOTAL,HTF_READY,10489,faithful_operable_trigger_or,resultado_valido
TOTAL,SETUP_BLOCKED,1348,faithful_operable_trigger_or,resultado_valido
TOTAL,WAIT_MOMENTUM_CONFIRM,391,faithful_operable_trigger_or,resultado_valido
TOTAL,WAIT_RR,3,faithful_operable_trigger_or,resultado_valido
EURUSD.r,H4_BLOCKED,77720,experimental_composite_x,resultado_exploratorio
EURUSD.r,HTF_READY,20444,experimental_composite_x,resultado_exploratorio
EURUSD.r,SETUP_BLOCKED,2864,experimental_composite_x,resultado_exploratorio
EURUSD.r,WAIT_MOMENTUM_CONFIRM,603,experimental_composite_x,resultado_exploratorio
EURUSD.r,WAIT_RR,23,experimental_composite_x,resultado_exploratorio
TOTAL,H4_BLOCKED,77720,experimental_composite_x,resultado_exploratorio
TOTAL,HTF_READY,20444,experimental_composite_x,resultado_exploratorio
TOTAL,SETUP_BLOCKED,2864,experimental_composite_x,resultado_exploratorio
TOTAL,WAIT_MOMENTUM_CONFIRM,603,experimental_composite_x,resultado_exploratorio
TOTAL,WAIT_RR,23,experimental_composite_x,resultado_exploratorio
