check_name,value,expected,status
can_execute_order_any_true,False,False,passed
would_send_to_mt5_any_true,False,False,passed
would_send_telegram_order_any_true,False,False,passed
is_simulation_all_true,True,True,passed
mt5_enabled_option,False,False,passed
live_enabled_option,False,False,passed
telegram_command_bot_enabled_option,False,False,passed
sql_real_written,False,False,passed
signals_generated,False,False,passed
backtests_executed,False,False,passed
wavecount_used_as_filter,False,False,passed
