dry_run_event_id,symbol,wavecount_available,wavecount_context_status,wavecount_should_filter_trade,decision_uses_wavecount,dry_run_decision,audit_status
dryrun_c3c6f19a0e0b7853,AUDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_37843584a096581c,AUDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_8fd112597b0be51c,AUDJPY.r,True,supports_context,False,False,dry_run_blocked_by_config,passed
dryrun_03602ad4a1f09941,AUDJPY.r,True,conflicting_context,False,False,dry_run_blocked_by_config,passed
dryrun_4c48aa97a273c977,AUDNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_1432f61f59ed4877,AUDNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_fce034ad69d2d59e,AUDUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_4b2b3674e2ce3b93,AUDUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_495f0b8b4d3fdc99,CADCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_915e1105fff6e8b2,CADCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_b85b43f6116657dd,CADJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_bf3b462f0bde590d,CADJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_201231c45347b09c,CHFJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_111a04da9eddaa2e,CHFJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_41c4d6524aeb2f4a,EURAUD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_76fac23b3debbade,EURAUD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_4f63a9e717ef0691,EURCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_042384f377a4e5ed,EURCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_8b2f539fb6969b5f,EURCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_7029e5241c372ec9,EURCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_72d46562805287c1,EURGBP.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_702f4730b0de2731,EURGBP.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_fa4dba0c209db7cf,EURJPY.r,True,supports_context,False,False,dry_run_blocked_by_config,passed
dryrun_7ad93753490eaafa,EURJPY.r,True,conflicting_context,False,False,dry_run_blocked_by_config,passed
dryrun_a0733c917c7780cd,EURNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_b039f4cf4e879990,EURNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_ab2abdca8b55c95e,EURUSD.r,True,supports_context,False,False,dry_run_blocked_by_config,passed
dryrun_572619a7eab90fe1,EURUSD.r,True,conflicting_context,False,False,dry_run_blocked_by_config,passed
dryrun_9a0d05af1dc4864e,GBPAUD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_b8484eb80e4fc9f7,GBPAUD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_91a4cc7b2836f3cb,GBPCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_91677a74dca25490,GBPCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_fe6f2dbe8ac31d6e,GBPCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_aa3a0fdf518bfab6,GBPCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_f824d06d0c6d21bf,GBPJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_a17765defce3c32c,GBPJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_7fe5187dacd8a257,GBPNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_b172e0c3e12b1d3f,GBPNZD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_8b1a98d8eb96a88e,GBPUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_44a6289acf5a8c2b,GBPUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_77a0709a267ad2f5,NZDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_88918ea3d01eaadd,NZDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_87e6f6401d5a9345,NZDCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_00a02e7ad60c711c,NZDCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_ae23fe79d883d525,NZDJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_42195eed22ba643f,NZDJPY.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_76d1e6071ccae988,NZDUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_551610319eeb0524,NZDUSD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_8fc0a25fb816dcb9,USDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_279164fcbcff983b,USDCAD.r,False,not_available,False,False,dry_run_blocked_by_config,passed
dryrun_228581fe72550cd1,USDCHF.r,False,not_available,False,False,dry_run_blocked_by_config,passed
