market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,CADCHF.r,H4,2026-04-16 04:00:00,0.56897,0.56929,0.56873,0.56921,3073,2,0
Forex Majors,CADCHF.r,H4,2026-04-16 08:00:00,0.56921,0.57046,0.56908,0.56996,4867,1,0
Forex Majors,CADCHF.r,H4,2026-04-16 12:00:00,0.56996,0.57111,0.56992,0.57099,5225,1,0
Forex Majors,CADCHF.r,H4,2026-04-16 16:00:00,0.57099,0.57226,0.57072,0.57222,7900,1,0
Forex Majors,CADCHF.r,H4,2026-04-16 20:00:00,0.57221,0.57248,0.57152,0.57152,4176,1,0
Forex Majors,CADCHF.r,H4,2026-04-17 00:00:00,0.57149,0.57191,0.57079,0.57168,2139,3,0
Forex Majors,CADCHF.r,H4,2026-04-17 04:00:00,0.57167,0.57228,0.57164,0.57228,2148,2,0
Forex Majors,CADCHF.r,H4,2026-04-17 08:00:00,0.57228,0.57286,0.57211,0.57211,4017,2,0
Forex Majors,CADCHF.r,H4,2026-04-17 12:00:00,0.57211,0.57247,0.57017,0.5704,5320,2,0
Forex Majors,CADCHF.r,H4,2026-04-17 16:00:00,0.57032,0.57076,0.56921,0.57026,11751,1,0
Forex Majors,CADCHF.r,H4,2026-04-17 20:00:00,0.57028,0.57123,0.56992,0.57056,5980,2,0
Forex Majors,CADCHF.r,H4,2026-04-20 00:00:00,0.57016,0.57192,0.56996,0.57148,4997,1,0
Forex Majors,CADCHF.r,H4,2026-04-20 04:00:00,0.57148,0.5716,0.57103,0.57139,3159,1,0
Forex Majors,CADCHF.r,H4,2026-04-20 08:00:00,0.57139,0.57196,0.57078,0.57109,6034,1,0
Forex Majors,CADCHF.r,H4,2026-04-20 12:00:00,0.57109,0.57111,0.57007,0.57036,5341,1,0
Forex Majors,CADCHF.r,H4,2026-04-20 16:00:00,0.57036,0.57119,0.56961,0.57034,9407,1,0
Forex Majors,CADCHF.r,H4,2026-04-20 20:00:00,0.57034,0.57089,0.57008,0.57008,3956,1,0
Forex Majors,CADCHF.r,H4,2026-04-21 00:00:00,0.57004,0.57081,0.56922,0.5707,2991,2,0
Forex Majors,CADCHF.r,H4,2026-04-21 04:00:00,0.5707,0.57108,0.57054,0.57102,2265,2,0
Forex Majors,CADCHF.r,H4,2026-04-21 08:00:00,0.57102,0.57152,0.57051,0.57136,5241,1,0
Forex Majors,CADCHF.r,H4,2026-04-21 12:00:00,0.57136,0.57155,0.5706,0.57148,5093,1,0
Forex Majors,CADCHF.r,H4,2026-04-21 16:00:00,0.57148,0.57202,0.57093,0.57169,7847,1,0
Forex Majors,CADCHF.r,H4,2026-04-21 20:00:00,0.57168,0.57235,0.57097,0.57098,8647,1,0
Forex Majors,CADCHF.r,H4,2026-04-22 00:00:00,0.57034,0.5717,0.57014,0.5716,3006,2,0
Forex Majors,CADCHF.r,H4,2026-04-22 04:00:00,0.57159,0.57173,0.57129,0.57173,3802,2,0
Forex Majors,CADCHF.r,H4,2026-04-22 08:00:00,0.57173,0.57173,0.57081,0.5716,5024,1,0
Forex Majors,CADCHF.r,H4,2026-04-22 12:00:00,0.5716,0.57304,0.57147,0.57293,5647,1,0
Forex Majors,CADCHF.r,H4,2026-04-22 16:00:00,0.57292,0.574,0.57221,0.57398,8035,1,0
Forex Majors,CADCHF.r,H4,2026-04-22 20:00:00,0.57398,0.57415,0.57364,0.57374,3938,1,0
Forex Majors,CADCHF.r,H4,2026-04-23 00:00:00,0.57374,0.57456,0.57266,0.57397,3831,4,0
Forex Majors,CADCHF.r,H4,2026-04-23 04:00:00,0.57395,0.5747,0.5738,0.57464,3623,2,0
Forex Majors,CADCHF.r,H4,2026-04-23 08:00:00,0.57463,0.57466,0.5738,0.57389,5082,1,0
Forex Majors,CADCHF.r,H4,2026-04-23 12:00:00,0.57392,0.57478,0.57373,0.5742,7175,2,0
Forex Majors,CADCHF.r,H4,2026-04-23 16:00:00,0.5742,0.57465,0.57272,0.57303,8651,2,0
Forex Majors,CADCHF.r,H4,2026-04-23 20:00:00,0.57303,0.57427,0.57302,0.57374,8160,2,0
Forex Majors,CADCHF.r,H4,2026-04-24 00:00:00,0.57329,0.57416,0.57183,0.574,3211,1,0
Forex Majors,CADCHF.r,H4,2026-04-24 04:00:00,0.574,0.57417,0.57383,0.57404,2890,2,0
Forex Majors,CADCHF.r,H4,2026-04-24 08:00:00,0.57404,0.57455,0.57377,0.57425,5107,2,0
Forex Majors,CADCHF.r,H4,2026-04-24 12:00:00,0.57424,0.57492,0.5737,0.57463,6707,1,0
Forex Majors,CADCHF.r,H4,2026-04-24 16:00:00,0.57462,0.57501,0.57364,0.57402,8337,2,0
Forex Majors,CADCHF.r,H4,2026-04-24 20:00:00,0.57401,0.5748,0.57099,0.57099,4437,1,0
Forex Majors,CADCHF.r,H4,2026-04-27 00:00:00,0.57471,0.57506,0.57246,0.57478,3411,1,0
Forex Majors,CADCHF.r,H4,2026-04-27 04:00:00,0.57478,0.57478,0.57411,0.57432,3251,2,0
Forex Majors,CADCHF.r,H4,2026-04-27 08:00:00,0.57432,0.57577,0.57428,0.57543,4575,2,0
Forex Majors,CADCHF.r,H4,2026-04-27 12:00:00,0.57543,0.57673,0.57543,0.5767,5449,1,0
Forex Majors,CADCHF.r,H4,2026-04-27 16:00:00,0.57672,0.57676,0.57566,0.57674,6850,1,0
Forex Majors,CADCHF.r,H4,2026-04-27 20:00:00,0.57675,0.57702,0.57589,0.57589,3778,1,0
Forex Majors,CADCHF.r,H4,2026-04-28 00:00:00,0.57549,0.57684,0.57369,0.57675,2799,1,0
Forex Majors,CADCHF.r,H4,2026-04-28 04:00:00,0.57675,0.5772,0.57665,0.57717,3718,1,0
Forex Majors,CADCHF.r,H4,2026-04-28 08:00:00,0.57717,0.57899,0.57715,0.57808,6999,2,0
Forex Majors,CADCHF.r,H4,2026-04-28 12:00:00,0.57809,0.57874,0.57741,0.57742,7612,2,0
Forex Majors,CADCHF.r,H4,2026-04-28 16:00:00,0.57742,0.57867,0.5767,0.57684,9669,2,0
Forex Majors,CADCHF.r,H4,2026-04-28 20:00:00,0.57683,0.57725,0.57645,0.57659,4568,0,0
Forex Majors,CADCHF.r,H4,2026-04-29 00:00:00,0.57644,0.57741,0.57502,0.57678,3047,1,0
Forex Majors,CADCHF.r,H4,2026-04-29 04:00:00,0.57677,0.57702,0.57618,0.5766,3708,1,0
Forex Majors,CADCHF.r,H4,2026-04-29 08:00:00,0.5766,0.57734,0.57632,0.57709,5328,1,0
Forex Majors,CADCHF.r,H4,2026-04-29 12:00:00,0.57709,0.5779,0.57666,0.57776,5774,1,0
Forex Majors,CADCHF.r,H4,2026-04-29 16:00:00,0.57777,0.57832,0.57697,0.57818,10163,1,0
Forex Majors,CADCHF.r,H4,2026-04-29 20:00:00,0.57818,0.57889,0.57762,0.57789,8439,2,0
Forex Majors,CADCHF.r,H4,2026-04-30 00:00:00,0.57704,0.57867,0.57554,0.57835,4454,2,0
Forex Majors,CADCHF.r,H4,2026-04-30 04:00:00,0.57835,0.57894,0.57814,0.57875,4408,2,0
Forex Majors,CADCHF.r,H4,2026-04-30 08:00:00,0.57875,0.57883,0.57712,0.5776,7120,2,0
Forex Majors,CADCHF.r,H4,2026-04-30 12:00:00,0.5776,0.57763,0.57312,0.57351,13484,2,0
Forex Majors,CADCHF.r,H4,2026-04-30 16:00:00,0.57351,0.57528,0.57316,0.57495,12158,3,0
Forex Majors,CADCHF.r,H4,2026-04-30 20:00:00,0.57493,0.57557,0.57431,0.57509,5753,1,0
Forex Majors,CADCHF.r,H4,2026-05-01 00:00:00,0.57469,0.57581,0.57333,0.57557,3593,1,0
Forex Majors,CADCHF.r,H4,2026-05-01 04:00:00,0.57556,0.57586,0.57516,0.57569,3368,1,0
Forex Majors,CADCHF.r,H4,2026-05-01 08:00:00,0.57569,0.57631,0.57447,0.57534,7097,1,0
Forex Majors,CADCHF.r,H4,2026-05-01 12:00:00,0.57534,0.57579,0.57469,0.5752,6290,1,0
Forex Majors,CADCHF.r,H4,2026-05-01 16:00:00,0.57523,0.57594,0.57339,0.57444,9769,3,0
Forex Majors,CADCHF.r,H4,2026-05-01 20:00:00,0.57446,0.57533,0.57432,0.57479,5013,1,0
Forex Majors,CADCHF.r,H4,2026-05-04 00:00:00,0.57265,0.57532,0.57116,0.57471,5061,1,0
Forex Majors,CADCHF.r,H4,2026-05-04 04:00:00,0.5747,0.57513,0.57417,0.57467,4688,1,0
Forex Majors,CADCHF.r,H4,2026-05-04 08:00:00,0.57467,0.57586,0.57422,0.5753,5919,1,0
Forex Majors,CADCHF.r,H4,2026-05-04 12:00:00,0.5753,0.57638,0.57504,0.57517,8932,2,0
