layer_type,timeframe,side,value,is_operational,bucket
market_trend_distribution,M15,bullish,20,False,
market_trend_distribution,M15,bearish,40,False,
market_trend_distribution,M15,mixed,0,False,
market_trend_distribution,H1,bullish,24,False,
market_trend_distribution,H1,bearish,36,False,
market_trend_distribution,H1,mixed,0,False,
market_trend_distribution,H4,bullish,35,False,
market_trend_distribution,H4,bearish,25,False,
market_trend_distribution,H4,mixed,0,False,
market_trend_distribution,D1,bullish,32,False,
market_trend_distribution,D1,bearish,28,False,
market_trend_distribution,D1,mixed,0,False,
market_volatility_summary,,,5,False,high_vs_median
market_volatility_summary,,,1,False,low_vs_median
