chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,r2,R2 previo,0.57165,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,r3,R3 previo,0.57324,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,s2,S2 previo,0.56431,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,s3,S3 previo,0.56223,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,previous_high,Maximo dia previo,0.57006,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,previous_low,Minimo dia previo,0.56639,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,round_level_1,Nivel redondo inferior,0.57,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,round_level_2,Nivel redondo superior,0.575,,,2026-02-10 14:00:00,2026-06-05 21:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,fib_limit_study_swing_0_100,Swing 0-100 estudio,0.57458,0.57458,0.56547,2026-05-20 16:00:00,2026-05-25 00:00:00,#f4b740,solid,fib_limit_live_study_levels_v1,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,fib_limit_study_zone_618,Entrada 61.8 estudio,0.57109998,,,2026-04-24 20:00:00,2026-06-05 16:00:00,#f4b740,solid,fib_limit_live_study_levels_v1,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,fib_limit_study_sl,SL estudio,0.57458,,,2026-04-24 20:00:00,2026-06-05 16:00:00,#ff6b65,dash,fib_limit_live_study_levels_v1,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,fib_limit_study_tp1,TP1 estudio,0.56547,,,2026-04-24 20:00:00,2026-06-05 16:00:00,#7bd88f,dot,fib_limit_live_study_levels_v1,False
trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|layers,trading_center_screener_unified_v1|CADCHF.r|H4|fib_limit_live_candidate|H4,CADCHF.r,H4,fib_limit_study_tp2,TP2 estudio,0.56299208,,,2026-04-24 20:00:00,2026-06-05 16:00:00,#5ce0ca,dot,fib_limit_live_study_levels_v1,False
