market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Index,US30,H1,2026-05-22 19:00:00,50737.45,50798.45,50687.45,50741.45,11820,110,0
Index,US30,H1,2026-05-22 20:00:00,50742.45,50883.45,50689.9,50786.45,17499,110,0
Index,US30,H1,2026-05-22 21:00:00,50786.45,50798.45,50722.45,50723.45,9708,110,0
Index,US30,H1,2026-05-22 22:00:00,50723.45,50730.45,50612.45,50616.9,15216,110,0
Index,US30,H1,2026-05-22 23:00:00,50616.9,50661.3,50574.3,50584.9,4476,140,0
Index,US30,H1,2026-05-25 10:00:00,51023.3,51091.9,50967.4,51051.9,6075,140,0
Index,US30,H1,2026-05-25 11:00:00,51051.3,51078.9,51019.9,51068.9,4413,140,0
Index,US30,H1,2026-05-25 12:00:00,51068.9,51099.3,51057.9,51078.9,2553,140,0
Index,US30,H1,2026-05-25 13:00:00,51079.9,51107.9,51065.9,51076.9,2899,140,0
Index,US30,H1,2026-05-25 14:00:00,51076.3,51123.9,51037.8,51105.3,3278,140,0
Index,US30,H1,2026-05-25 15:00:00,51105.3,51164.9,51088.9,51104.9,4924,140,0
Index,US30,H1,2026-05-25 16:00:00,51104.9,51163.45,51068.45,51105.45,4036,110,0
Index,US30,H1,2026-05-25 17:00:00,51105.45,51128.45,51082.45,51086.1,2891,110,0
Index,US30,H1,2026-05-25 18:00:00,51086.1,51188.45,51042.1,51110.45,7547,110,0
Index,US30,H1,2026-05-25 19:00:00,51110.45,51118.45,51049.45,51116.9,3160,110,0
Index,US30,H1,2026-05-26 01:00:00,51058.3,51088.9,50979.9,51000.9,3106,140,0
Index,US30,H1,2026-05-26 02:00:00,51000.9,51013.3,50963.3,50995.9,3125,140,0
Index,US30,H1,2026-05-26 03:00:00,50996.3,51005.3,50922.3,50944.3,6212,140,0
Index,US30,H1,2026-05-26 04:00:00,50944.3,50967.3,50914.3,50965.3,4118,140,0
Index,US30,H1,2026-05-26 05:00:00,50965.3,50973.3,50920.3,50928.3,1811,140,0
Index,US30,H1,2026-05-26 06:00:00,50928.3,50959.3,50918.3,50950.3,1324,140,0
Index,US30,H1,2026-05-26 07:00:00,50950.3,50963.3,50935.3,50949.3,1179,140,0
Index,US30,H1,2026-05-26 08:00:00,50949.3,50976.3,50937.3,50950.3,1655,140,0
Index,US30,H1,2026-05-26 09:00:00,50950.3,51003.3,50939.3,50962.3,2886,140,0
Index,US30,H1,2026-05-26 10:00:00,50962.3,50984.9,50890.9,50924.9,9035,140,0
Index,US30,H1,2026-05-26 11:00:00,50925.3,50933.9,50864.3,50880.3,5430,140,0
Index,US30,H1,2026-05-26 12:00:00,50881.3,50906.3,50840.9,50870.3,4998,140,0
Index,US30,H1,2026-05-26 13:00:00,50870.3,50929.3,50839.8,50916.3,5688,140,0
Index,US30,H1,2026-05-26 14:00:00,50916.3,50950.8,50851.4,50920.9,6472,140,0
Index,US30,H1,2026-05-26 15:00:00,50920.9,50924.3,50860.9,50866.9,5245,140,0
Index,US30,H1,2026-05-26 16:00:00,50865.9,50872.3,50660.45,50672.4,36576,110,0
Index,US30,H1,2026-05-26 17:00:00,50673.4,50751.45,50520.45,50585.45,26914,110,0
Index,US30,H1,2026-05-26 18:00:00,50585.45,50588.45,50480.45,50523.45,19000,110,0
Index,US30,H1,2026-05-26 19:00:00,50523.45,50549.45,50435.45,50436.45,10972,110,0
Index,US30,H1,2026-05-26 20:00:00,50436.45,50494.45,50409.4,50431.45,8791,110,0
Index,US30,H1,2026-05-26 21:00:00,50430.45,50474.45,50402.45,50424.45,8649,110,0
Index,US30,H1,2026-05-26 22:00:00,50424.45,50554.45,50397.45,50533.45,9572,110,0
Index,US30,H1,2026-05-26 23:00:00,50533.3,50553.3,50487.3,50489.9,2092,140,0
Index,US30,H1,2026-05-27 01:00:00,50509.4,50527.3,50471.9,50521.3,2945,140,0
Index,US30,H1,2026-05-27 02:00:00,50521.3,50579.3,50512.4,50573.3,1285,140,0
Index,US30,H1,2026-05-27 03:00:00,50573.3,50595.3,50549.9,50581.3,3672,140,0
Index,US30,H1,2026-05-27 04:00:00,50581.3,50583.3,50544.9,50551.3,2185,140,0
Index,US30,H1,2026-05-27 05:00:00,50551.3,50576.3,50551.3,50570.3,1216,140,0
Index,US30,H1,2026-05-27 06:00:00,50570.3,50582.3,50557.3,50567.3,910,140,0
Index,US30,H1,2026-05-27 07:00:00,50567.3,50585.3,50546.3,50578.3,1180,140,0
Index,US30,H1,2026-05-27 08:00:00,50578.3,50627.3,50575.3,50620.3,1714,140,0
Index,US30,H1,2026-05-27 09:00:00,50620.3,50637.3,50595.3,50618.3,1969,140,0
Index,US30,H1,2026-05-27 10:00:00,50619.3,50659.3,50616.9,50641.9,3501,140,0
Index,US30,H1,2026-05-27 11:00:00,50643.3,50734.3,50634.9,50715.9,4839,140,0
Index,US30,H1,2026-05-27 12:00:00,50715.9,50775.8,50714.9,50765.3,3083,140,0
Index,US30,H1,2026-05-27 13:00:00,50765.3,50775.3,50739.9,50745.3,2780,140,0
Index,US30,H1,2026-05-27 14:00:00,50745.4,50750.3,50545.9,50559.3,5829,140,0
Index,US30,H1,2026-05-27 15:00:00,50559.3,50677.9,50485.8,50592.3,19488,140,0
Index,US30,H1,2026-05-27 16:00:00,50592.3,50726.1,50520.8,50653.45,39519,110,0
Index,US30,H1,2026-05-27 17:00:00,50653.45,50874.45,50620.8,50792.45,28444,110,0
Index,US30,H1,2026-05-27 18:00:00,50792.45,50817.45,50633.45,50674.1,18436,110,0
Index,US30,H1,2026-05-27 19:00:00,50674.1,50738.45,50637.45,50695.45,10341,110,0
Index,US30,H1,2026-05-27 20:00:00,50694.45,50726.45,50637.45,50710.45,9909,110,0
Index,US30,H1,2026-05-27 21:00:00,50709.45,50767.45,50647.45,50748.45,7885,110,0
Index,US30,H1,2026-05-27 22:00:00,50748.45,50764.45,50661.45,50696.45,8922,110,0
Index,US30,H1,2026-05-27 23:00:00,50695.3,50784.9,50633.4,50765.9,5225,140,0
Index,US30,H1,2026-05-28 01:00:00,50791.9,50803.3,50734.9,50754.4,2519,140,0
Index,US30,H1,2026-05-28 02:00:00,50753.4,50781.3,50697.3,50707.3,3116,140,0
Index,US30,H1,2026-05-28 03:00:00,50705.9,50775.3,50700.3,50764.3,5797,140,0
Index,US30,H1,2026-05-28 04:00:00,50764.3,50773.3,50732.3,50766.3,3727,140,0
Index,US30,H1,2026-05-28 05:00:00,50766.3,50773.3,50670.3,50689.3,3085,140,0
Index,US30,H1,2026-05-28 06:00:00,50689.3,50702.3,50601.3,50606.3,6965,140,0
Index,US30,H1,2026-05-28 07:00:00,50606.3,50630.3,50578.3,50610.3,4335,140,0
Index,US30,H1,2026-05-28 08:00:00,50610.3,50699.3,50596.3,50679.3,3399,140,0
Index,US30,H1,2026-05-28 09:00:00,50680.3,50706.3,50661.3,50701.3,2236,140,0
Index,US30,H1,2026-05-28 10:00:00,50701.3,50719.3,50637.8,50688.3,6526,140,0
Index,US30,H1,2026-05-28 11:00:00,50688.8,50708.3,50630.9,50662.3,6231,140,0
Index,US30,H1,2026-05-28 12:00:00,50662.3,50684.9,50649.3,50672.3,4116,140,0
Index,US30,H1,2026-05-28 13:00:00,50670.9,50677.3,50561.8,50593.9,6432,140,0
Index,US30,H1,2026-05-28 14:00:00,50594.9,50630.8,50589.3,50619.3,6683,140,0
Index,US30,H1,2026-05-28 15:00:00,50619.3,50656.8,50559.9,50633.9,9131,140,0
Index,US30,H1,2026-05-28 16:00:00,50633.9,50662.3,50372.45,50561.9,30527,110,0
Index,US30,H1,2026-05-28 17:00:00,50561.9,50837.4,50488.45,50669.45,32511,110,0
Index,US30,H1,2026-05-28 18:00:00,50670.45,50781.45,50649.45,50754.45,13530,110,0
Index,US30,H1,2026-05-28 19:00:00,50754.45,50779.45,50708.45,50766.45,8804,110,0
Index,US30,H1,2026-05-28 20:00:00,50766.45,50782.45,50678.45,50688.45,6700,110,0
Index,US30,H1,2026-05-28 21:00:00,50688.45,50700.45,50627.8,50652.45,6881,110,0
Index,US30,H1,2026-05-28 22:00:00,50652.45,50755.45,50649.45,50735.3,7444,110,0
Index,US30,H1,2026-05-28 23:00:00,50735.8,50795.3,50730.8,50745.9,3055,140,0
Index,US30,H1,2026-05-29 01:00:00,50766.9,50766.9,50735.3,50735.9,2273,140,0
Index,US30,H1,2026-05-29 02:00:00,50735.9,50759.3,50722.9,50729.3,1400,140,0
Index,US30,H1,2026-05-29 03:00:00,50728.3,50755.3,50708.3,50722.3,2526,140,0
Index,US30,H1,2026-05-29 04:00:00,50722.3,50738.3,50696.3,50724.3,2426,140,0
Index,US30,H1,2026-05-29 05:00:00,50724.3,50752.3,50719.3,50733.3,1528,140,0
Index,US30,H1,2026-05-29 06:00:00,50734.3,50776.3,50732.3,50763.3,1487,140,0
Index,US30,H1,2026-05-29 07:00:00,50763.3,50790.3,50763.3,50779.3,1088,140,0
Index,US30,H1,2026-05-29 08:00:00,50779.3,50784.3,50747.3,50771.3,980,140,0
Index,US30,H1,2026-05-29 09:00:00,50771.3,50789.3,50744.3,50784.3,2069,140,0
Index,US30,H1,2026-05-29 10:00:00,50784.3,50806.8,50737.9,50781.9,5109,140,0
Index,US30,H1,2026-05-29 11:00:00,50781.9,50813.3,50758.9,50781.9,5217,140,0
Index,US30,H1,2026-05-29 12:00:00,50781.4,50862.3,50778.9,50835.8,4632,140,0
Index,US30,H1,2026-05-29 13:00:00,50835.8,50841.3,50792.8,50838.9,3921,140,0
Index,US30,H1,2026-05-29 14:00:00,50838.3,50899.8,50824.9,50894.9,5172,140,0
Index,US30,H1,2026-05-29 15:00:00,50894.9,50898.3,50831.9,50867.9,6041,140,0
Index,US30,H1,2026-05-29 16:00:00,50866.9,50952.45,50724.45,50880.45,34296,110,0
Index,US30,H1,2026-05-29 17:00:00,50879.45,51073.45,50841.45,51027.45,34069,110,0
Index,US30,H1,2026-05-29 18:00:00,51027.45,51135.45,51026.45,51103.45,21165,110,0
Index,US30,H1,2026-05-29 19:00:00,51103.45,51129.45,51022.45,51039.45,10675,110,0
Index,US30,H1,2026-05-29 20:00:00,51039.45,51084.45,50962.45,50966.45,9986,110,0
Index,US30,H1,2026-05-29 21:00:00,50966.45,51076.45,50962.45,50994.45,11303,110,0
Index,US30,H1,2026-05-29 22:00:00,50995.45,51133.45,50984.45,51075.45,13273,110,0
Index,US30,H1,2026-05-29 23:00:00,51076.3,51093.8,51028.3,51045.9,3908,140,0
Index,US30,H1,2026-06-01 01:00:00,51036.3,51086.3,50983.3,51084.3,4117,140,0
Index,US30,H1,2026-06-01 02:00:00,51084.3,51111.3,51072.4,51097.3,1259,140,0
Index,US30,H1,2026-06-01 03:00:00,51098.3,51154.3,51090.3,51110.3,4679,140,0
Index,US30,H1,2026-06-01 04:00:00,51111.3,51138.3,51079.3,51135.3,2055,140,0
Index,US30,H1,2026-06-01 05:00:00,51135.3,51153.3,51130.3,51145.3,1087,140,0
Index,US30,H1,2026-06-01 06:00:00,51145.3,51156.3,51099.3,51105.3,1600,140,0
Index,US30,H1,2026-06-01 07:00:00,51105.3,51127.3,51099.3,51123.3,770,140,0
Index,US30,H1,2026-06-01 08:00:00,51123.3,51126.3,51104.3,51125.3,896,140,0
Index,US30,H1,2026-06-01 09:00:00,51125.3,51126.3,51078.3,51094.3,1448,140,0
Index,US30,H1,2026-06-01 10:00:00,51094.3,51128.9,51074.4,51108.4,4871,140,0
Index,US30,H1,2026-06-01 11:00:00,51108.4,51214.9,51107.8,51204.9,4655,140,0
Index,US30,H1,2026-06-01 12:00:00,51204.9,51269.3,51180.9,51232.3,3611,140,0
Index,US30,H1,2026-06-01 13:00:00,51232.3,51305.9,51227.9,51295.3,3094,140,0
Index,US30,H1,2026-06-01 14:00:00,51295.3,51373.8,51285.3,51291.3,5972,140,0
Index,US30,H1,2026-06-01 15:00:00,51292.3,51298.3,51173.3,51211.9,8094,140,0
Index,US30,H1,2026-06-01 16:00:00,51212.3,51228.9,50847.45,51010.8,50751,110,0
Index,US30,H1,2026-06-01 17:00:00,51010.8,51075.45,50814.45,50874.45,26127,110,0
Index,US30,H1,2026-06-01 18:00:00,50874.45,51012.45,50833.45,50958.45,15678,110,0
Index,US30,H1,2026-06-01 19:00:00,50958.45,50988.45,50856.45,50949.45,11481,110,0
Index,US30,H1,2026-06-01 20:00:00,50949.45,51112.9,50887.4,51045.45,12809,110,0
Index,US30,H1,2026-06-01 21:00:00,51044.45,51129.45,51043.45,51104.45,7067,110,0
Index,US30,H1,2026-06-01 22:00:00,51103.45,51165.45,51074.45,51125.8,8625,110,0
Index,US30,H1,2026-06-01 23:00:00,51125.8,51139.3,51095.9,51096.9,3301,140,0
Index,US30,H1,2026-06-02 01:00:00,51041.3,51055.3,50984.4,51000.3,5178,140,0
Index,US30,H1,2026-06-02 02:00:00,51000.3,51011.3,50949.9,50972.3,1702,140,0
Index,US30,H1,2026-06-02 03:00:00,50971.9,50984.3,50865.3,50874.3,5126,140,0
Index,US30,H1,2026-06-02 04:00:00,50874.3,50909.3,50857.3,50873.3,4732,140,0
