market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,AUDCAD.r,H1,2026-06-03 21:00:00,0.99104,0.99122,0.99061,0.9907,2231,10,0
Forex Majors,AUDCAD.r,H1,2026-06-03 22:00:00,0.99069,0.99076,0.99039,0.99069,2274,10,0
Forex Majors,AUDCAD.r,H1,2026-06-03 23:00:00,0.99071,0.99073,0.99013,0.99018,1708,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 00:00:00,0.99003,0.99044,0.9896,0.98981,658,36,0
Forex Majors,AUDCAD.r,H1,2026-06-04 01:00:00,0.98978,0.99145,0.98978,0.99105,1564,13,0
Forex Majors,AUDCAD.r,H1,2026-06-04 02:00:00,0.99106,0.99119,0.99019,0.99097,1943,12,0
Forex Majors,AUDCAD.r,H1,2026-06-04 03:00:00,0.99098,0.99108,0.99043,0.99051,3238,13,0
Forex Majors,AUDCAD.r,H1,2026-06-04 04:00:00,0.99053,0.99135,0.98997,0.99074,3289,9,0
Forex Majors,AUDCAD.r,H1,2026-06-04 05:00:00,0.99081,0.99081,0.98983,0.99037,2986,12,0
Forex Majors,AUDCAD.r,H1,2026-06-04 06:00:00,0.99037,0.99062,0.99004,0.99057,2082,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 07:00:00,0.99057,0.99141,0.99045,0.99102,1981,9,0
Forex Majors,AUDCAD.r,H1,2026-06-04 08:00:00,0.99102,0.9913,0.99055,0.99114,2467,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 09:00:00,0.99113,0.99242,0.99099,0.99227,3328,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 10:00:00,0.99228,0.99285,0.9921,0.99251,3400,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 11:00:00,0.99252,0.99284,0.99166,0.99216,3348,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 12:00:00,0.99215,0.99237,0.99146,0.99147,3131,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 13:00:00,0.99147,0.99195,0.99127,0.99147,2351,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 14:00:00,0.99148,0.99284,0.99147,0.9928,3654,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 15:00:00,0.9928,0.99298,0.99155,0.9917,3786,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 16:00:00,0.99167,0.99233,0.99157,0.99174,4506,8,0
Forex Majors,AUDCAD.r,H1,2026-06-04 17:00:00,0.99174,0.99199,0.99127,0.99181,4113,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 18:00:00,0.99182,0.99259,0.99164,0.99178,3463,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 19:00:00,0.99177,0.99228,0.99171,0.99199,2677,12,0
Forex Majors,AUDCAD.r,H1,2026-06-04 20:00:00,0.99199,0.99241,0.99183,0.99216,2211,10,0
Forex Majors,AUDCAD.r,H1,2026-06-04 21:00:00,0.99217,0.99232,0.99154,0.99168,2176,11,0
Forex Majors,AUDCAD.r,H1,2026-06-04 22:00:00,0.99167,0.99199,0.99152,0.99193,2138,12,0
Forex Majors,AUDCAD.r,H1,2026-06-04 23:00:00,0.99193,0.9922,0.99175,0.99179,1461,13,0
Forex Majors,AUDCAD.r,H1,2026-06-05 00:00:00,0.99059,0.99215,0.99044,0.99122,2217,38,0
Forex Majors,AUDCAD.r,H1,2026-06-05 01:00:00,0.9913,0.99209,0.99128,0.99195,987,16,0
Forex Majors,AUDCAD.r,H1,2026-06-05 02:00:00,0.99198,0.99227,0.99137,0.99153,1313,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 03:00:00,0.99149,0.99149,0.9904,0.99048,3095,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 04:00:00,0.9905,0.99056,0.98841,0.98972,3762,9,0
Forex Majors,AUDCAD.r,H1,2026-06-05 05:00:00,0.98971,0.99075,0.98945,0.99044,2837,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 06:00:00,0.99042,0.99091,0.99009,0.99024,2551,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 07:00:00,0.99023,0.99117,0.99016,0.99088,2462,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 08:00:00,0.9909,0.99097,0.98972,0.98989,2560,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 09:00:00,0.98988,0.99033,0.98951,0.99022,3204,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 10:00:00,0.99018,0.99065,0.98995,0.99013,3301,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 11:00:00,0.99011,0.99113,0.98998,0.99022,2859,10,0
Forex Majors,AUDCAD.r,H1,2026-06-05 12:00:00,0.99021,0.99111,0.9901,0.9903,3060,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 13:00:00,0.9903,0.9909,0.99003,0.99083,2144,10,0
Forex Majors,AUDCAD.r,H1,2026-06-05 14:00:00,0.9908,0.99139,0.99061,0.99119,2782,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 15:00:00,0.99119,0.99146,0.98664,0.98677,4692,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 16:00:00,0.98677,0.98804,0.98445,0.98448,5662,9,0
Forex Majors,AUDCAD.r,H1,2026-06-05 17:00:00,0.98448,0.98536,0.98338,0.98534,5523,8,0
Forex Majors,AUDCAD.r,H1,2026-06-05 18:00:00,0.98534,0.98545,0.98327,0.98328,4626,8,0
Forex Majors,AUDCAD.r,H1,2026-06-05 19:00:00,0.98326,0.98385,0.98252,0.98383,4559,11,0
Forex Majors,AUDCAD.r,H1,2026-06-05 20:00:00,0.98381,0.98388,0.98301,0.98348,4321,12,0
Forex Majors,AUDCAD.r,H1,2026-06-05 21:00:00,0.98348,0.98354,0.98207,0.98241,4257,11,0
