market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,AUDJPY.r,H1,2026-06-02 05:00:00,114.259,114.355,114.234,114.328,2774,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 06:00:00,114.329,114.358,114.268,114.356,2745,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 07:00:00,114.355,114.402,114.33,114.398,2335,2,0
Forex Majors,AUDJPY.r,H1,2026-06-02 08:00:00,114.399,114.462,114.383,114.396,2541,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 09:00:00,114.399,114.665,114.398,114.63,4043,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 10:00:00,114.63,114.733,114.616,114.681,3302,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 11:00:00,114.681,114.761,114.654,114.684,3120,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 12:00:00,114.684,114.739,114.619,114.739,2889,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 13:00:00,114.738,114.754,114.676,114.729,2572,2,0
Forex Majors,AUDJPY.r,H1,2026-06-02 14:00:00,114.729,114.753,114.686,114.707,2580,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 15:00:00,114.708,114.736,114.653,114.674,2714,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 16:00:00,114.677,114.707,114.613,114.69,4216,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 17:00:00,114.692,114.861,114.595,114.857,4211,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 18:00:00,114.857,114.913,114.809,114.868,3629,2,0
Forex Majors,AUDJPY.r,H1,2026-06-02 19:00:00,114.865,114.903,114.78,114.796,2818,3,0
Forex Majors,AUDJPY.r,H1,2026-06-02 20:00:00,114.798,114.809,114.72,114.734,2690,1,0
Forex Majors,AUDJPY.r,H1,2026-06-02 21:00:00,114.738,114.803,114.727,114.792,2512,2,0
Forex Majors,AUDJPY.r,H1,2026-06-02 22:00:00,114.793,114.865,114.791,114.858,2481,2,0
Forex Majors,AUDJPY.r,H1,2026-06-02 23:00:00,114.862,114.869,114.801,114.801,1551,5,0
Forex Majors,AUDJPY.r,H1,2026-06-03 00:00:00,114.74,114.82,114.677,114.798,569,22,0
Forex Majors,AUDJPY.r,H1,2026-06-03 01:00:00,114.798,114.83,114.779,114.805,1577,4,0
Forex Majors,AUDJPY.r,H1,2026-06-03 02:00:00,114.8,114.822,114.732,114.755,2856,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 03:00:00,114.757,114.858,114.744,114.85,2919,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 04:00:00,114.849,114.85,114.647,114.731,3408,0,0
Forex Majors,AUDJPY.r,H1,2026-06-03 05:00:00,114.73,114.774,114.625,114.689,2462,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 06:00:00,114.689,114.72,114.637,114.66,2412,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 07:00:00,114.659,114.686,114.596,114.621,2200,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 08:00:00,114.62,114.659,114.53,114.555,2867,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 09:00:00,114.554,114.584,114.393,114.539,3940,1,0
Forex Majors,AUDJPY.r,H1,2026-06-03 10:00:00,114.54,114.615,114.361,114.431,4273,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 11:00:00,114.433,114.472,114.207,114.395,4519,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 12:00:00,114.395,114.543,114.395,114.463,3048,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 13:00:00,114.46,114.626,114.452,114.541,3680,1,0
Forex Majors,AUDJPY.r,H1,2026-06-03 14:00:00,114.538,114.579,114.514,114.534,2971,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 15:00:00,114.534,114.543,114.339,114.386,3978,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 16:00:00,114.387,114.411,114.17,114.226,4879,1,0
Forex Majors,AUDJPY.r,H1,2026-06-03 17:00:00,114.22,114.343,114.214,114.311,5079,1,0
Forex Majors,AUDJPY.r,H1,2026-06-03 18:00:00,114.313,114.324,114.168,114.186,4540,2,0
Forex Majors,AUDJPY.r,H1,2026-06-03 19:00:00,114.186,114.191,114.095,114.152,3954,1,0
Forex Majors,AUDJPY.r,H1,2026-06-03 20:00:00,114.153,114.183,114.091,114.152,2996,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 21:00:00,114.152,114.163,114.103,114.109,2767,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 22:00:00,114.108,114.141,114.086,114.132,3093,3,0
Forex Majors,AUDJPY.r,H1,2026-06-03 23:00:00,114.13,114.135,114.049,114.057,2056,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 00:00:00,114.024,114.105,113.972,114.036,729,24,0
Forex Majors,AUDJPY.r,H1,2026-06-04 01:00:00,114.036,114.138,114.029,114.105,2318,7,0
Forex Majors,AUDJPY.r,H1,2026-06-04 02:00:00,114.106,114.117,113.988,114.099,2935,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 03:00:00,114.091,114.126,114.012,114.015,3994,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 04:00:00,114.013,114.094,113.936,114.002,3990,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 05:00:00,114.002,114.009,113.883,113.957,3501,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 06:00:00,113.957,114.018,113.917,114.015,2482,2,0
Forex Majors,AUDJPY.r,H1,2026-06-04 07:00:00,114.015,114.046,113.826,113.968,2610,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 08:00:00,113.968,114.004,113.904,113.987,3080,2,0
Forex Majors,AUDJPY.r,H1,2026-06-04 09:00:00,113.987,114.095,113.969,114.084,3637,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 10:00:00,114.086,114.103,113.957,114.007,3638,2,0
