market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,EURGBP.r,H4,2026-05-26 12:00:00,0.86355,0.86389,0.8631,0.86371,5710,0,0
Forex Majors,EURGBP.r,H4,2026-05-26 16:00:00,0.8637,0.86491,0.86328,0.86478,6837,0,0
Forex Majors,EURGBP.r,H4,2026-05-26 20:00:00,0.86477,0.86503,0.86452,0.86474,2965,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 00:00:00,0.86468,0.86502,0.8641,0.86491,3254,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 04:00:00,0.8649,0.86525,0.86489,0.86523,2485,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 08:00:00,0.86523,0.86623,0.8652,0.86599,4770,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 12:00:00,0.86599,0.8667,0.86563,0.86635,6526,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 16:00:00,0.86636,0.86659,0.86551,0.86606,8849,0,0
Forex Majors,EURGBP.r,H4,2026-05-27 20:00:00,0.86606,0.86626,0.86562,0.86562,3622,0,0
Forex Majors,EURGBP.r,H4,2026-05-28 00:00:00,0.86564,0.86635,0.86525,0.86632,2869,0,0
Forex Majors,EURGBP.r,H4,2026-05-28 04:00:00,0.86632,0.86687,0.8663,0.86648,4602,0,0
Forex Majors,EURGBP.r,H4,2026-05-28 08:00:00,0.86649,0.86676,0.86573,0.8667,6020,0,0
Forex Majors,EURGBP.r,H4,2026-05-28 12:00:00,0.8667,0.86715,0.86624,0.86702,6252,0,0
Forex Majors,EURGBP.r,H4,2026-05-28 16:00:00,0.86702,0.86738,0.86627,0.86689,9011,1,0
Forex Majors,EURGBP.r,H4,2026-05-28 20:00:00,0.86689,0.86692,0.86638,0.86638,3946,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 00:00:00,0.86638,0.86677,0.86588,0.86664,2814,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 04:00:00,0.86664,0.86683,0.86602,0.86609,3080,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 08:00:00,0.86608,0.86753,0.86605,0.86701,4721,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 12:00:00,0.86701,0.86815,0.86694,0.86709,6297,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 16:00:00,0.86709,0.86713,0.8655,0.86667,9525,0,0
Forex Majors,EURGBP.r,H4,2026-05-29 20:00:00,0.86667,0.86678,0.86521,0.8654,5854,0,0
Forex Majors,EURGBP.r,H4,2026-06-01 00:00:00,0.86544,0.86657,0.86519,0.8659,5239,0,0
Forex Majors,EURGBP.r,H4,2026-06-01 04:00:00,0.86589,0.86591,0.86536,0.86555,3426,0,0
Forex Majors,EURGBP.r,H4,2026-06-01 08:00:00,0.86555,0.86609,0.86513,0.86541,5149,0,0
Forex Majors,EURGBP.r,H4,2026-06-01 12:00:00,0.8654,0.86568,0.86477,0.86505,5570,0,0
Forex Majors,EURGBP.r,H4,2026-06-01 16:00:00,0.86505,0.86583,0.86385,0.86398,9406,1,0
Forex Majors,EURGBP.r,H4,2026-06-01 20:00:00,0.86398,0.86439,0.86373,0.86424,3610,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 00:00:00,0.86418,0.86453,0.862,0.86452,5365,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 04:00:00,0.86451,0.86467,0.86429,0.86435,2623,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 08:00:00,0.86435,0.86498,0.86408,0.8648,4480,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 12:00:00,0.86481,0.8649,0.8641,0.86476,5084,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 16:00:00,0.86476,0.86486,0.86321,0.86352,7025,0,0
Forex Majors,EURGBP.r,H4,2026-06-02 20:00:00,0.86351,0.86389,0.86319,0.86371,4130,0,0
