market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,EURJPY.r,H4,2026-05-26 08:00:00,184.911,185.358,184.882,185.263,8765,0,0
Forex Majors,EURJPY.r,H4,2026-05-26 12:00:00,185.264,185.343,185.188,185.211,8348,0,0
Forex Majors,EURJPY.r,H4,2026-05-26 16:00:00,185.211,185.25,185.061,185.175,10174,0,0
Forex Majors,EURJPY.r,H4,2026-05-26 20:00:00,185.175,185.322,185.149,185.237,6987,0,0
Forex Majors,EURJPY.r,H4,2026-05-27 00:00:00,185.165,185.419,185.037,185.37,6760,2,0
Forex Majors,EURJPY.r,H4,2026-05-27 04:00:00,185.367,185.386,185.274,185.378,6880,1,0
Forex Majors,EURJPY.r,H4,2026-05-27 08:00:00,185.376,185.707,185.372,185.611,8816,1,0
Forex Majors,EURJPY.r,H4,2026-05-27 12:00:00,185.609,185.78,185.451,185.621,10209,1,0
Forex Majors,EURJPY.r,H4,2026-05-27 16:00:00,185.62,185.746,185.407,185.528,13168,1,0
Forex Majors,EURJPY.r,H4,2026-05-27 20:00:00,185.529,185.55,185.431,185.436,6272,0,0
Forex Majors,EURJPY.r,H4,2026-05-28 00:00:00,185.409,185.492,185.229,185.414,5147,1,0
Forex Majors,EURJPY.r,H4,2026-05-28 04:00:00,185.413,185.423,184.894,184.975,7524,1,0
Forex Majors,EURJPY.r,H4,2026-05-28 08:00:00,184.974,185.26,184.91,185.216,8030,1,0
Forex Majors,EURJPY.r,H4,2026-05-28 12:00:00,185.216,185.448,185.023,185.447,8751,0,0
Forex Majors,EURJPY.r,H4,2026-05-28 16:00:00,185.451,185.651,185.398,185.533,12899,0,0
Forex Majors,EURJPY.r,H4,2026-05-28 20:00:00,185.536,185.542,185.448,185.527,7107,0,0
Forex Majors,EURJPY.r,H4,2026-05-29 00:00:00,185.416,185.645,185.38,185.554,5572,1,0
Forex Majors,EURJPY.r,H4,2026-05-29 04:00:00,185.552,185.641,185.389,185.411,6254,0,0
Forex Majors,EURJPY.r,H4,2026-05-29 08:00:00,185.412,185.573,185.183,185.231,8764,0,0
Forex Majors,EURJPY.r,H4,2026-05-29 12:00:00,185.229,185.522,185.204,185.518,8690,1,0
Forex Majors,EURJPY.r,H4,2026-05-29 16:00:00,185.517,185.978,185.476,185.814,13014,1,0
Forex Majors,EURJPY.r,H4,2026-05-29 20:00:00,185.814,185.833,185.532,185.532,7738,1,0
Forex Majors,EURJPY.r,H4,2026-06-01 00:00:00,185.67,185.785,185.558,185.726,7921,1,0
Forex Majors,EURJPY.r,H4,2026-06-01 04:00:00,185.726,185.749,185.653,185.737,5232,0,0
Forex Majors,EURJPY.r,H4,2026-06-01 08:00:00,185.739,185.975,185.737,185.884,8645,0,0
Forex Majors,EURJPY.r,H4,2026-06-01 12:00:00,185.885,185.919,185.648,185.755,7370,0,0
Forex Majors,EURJPY.r,H4,2026-06-01 16:00:00,185.754,185.784,185.388,185.611,15088,1,0
Forex Majors,EURJPY.r,H4,2026-06-01 20:00:00,185.61,185.817,185.579,185.666,7933,0,0
Forex Majors,EURJPY.r,H4,2026-06-02 00:00:00,185.554,185.787,185.505,185.708,5880,2,0
Forex Majors,EURJPY.r,H4,2026-06-02 04:00:00,185.708,185.897,185.702,185.887,5452,1,0
Forex Majors,EURJPY.r,H4,2026-06-02 08:00:00,185.887,186.095,185.87,185.996,8131,0,0
Forex Majors,EURJPY.r,H4,2026-06-02 12:00:00,185.996,186.2,185.908,186.151,7957,1,0
Forex Majors,EURJPY.r,H4,2026-06-02 16:00:00,186.151,186.182,185.931,185.944,9948,1,0
Forex Majors,EURJPY.r,H4,2026-06-02 20:00:00,185.947,186.063,185.801,185.982,6897,0,0
Forex Majors,EURJPY.r,H4,2026-06-03 00:00:00,185.833,186.008,185.734,185.985,5994,1,0
Forex Majors,EURJPY.r,H4,2026-06-03 04:00:00,185.985,185.987,185.851,185.877,5942,0,0
Forex Majors,EURJPY.r,H4,2026-06-03 08:00:00,185.877,185.897,185.115,185.445,10057,1,0
Forex Majors,EURJPY.r,H4,2026-06-03 12:00:00,185.445,185.741,185.445,185.507,9457,1,0
Forex Majors,EURJPY.r,H4,2026-06-03 16:00:00,185.501,185.743,185.483,185.585,12490,1,0
Forex Majors,EURJPY.r,H4,2026-06-03 20:00:00,185.589,185.682,185.557,185.612,5902,0,0
Forex Majors,EURJPY.r,H4,2026-06-04 00:00:00,185.528,185.697,185.454,185.598,7306,3,0
Forex Majors,EURJPY.r,H4,2026-06-04 04:00:00,185.599,185.679,185.328,185.598,7171,0,0
Forex Majors,EURJPY.r,H4,2026-06-04 08:00:00,185.599,185.678,185.475,185.665,9408,0,0
Forex Majors,EURJPY.r,H4,2026-06-04 12:00:00,185.665,186.094,185.662,186.033,11806,1,0
Forex Majors,EURJPY.r,H4,2026-06-04 16:00:00,186.036,186.11,185.929,185.937,10130,0,0
Forex Majors,EURJPY.r,H4,2026-06-04 20:00:00,185.938,185.957,185.773,185.778,6847,0,0
Forex Majors,EURJPY.r,H4,2026-06-05 00:00:00,185.709,185.845,185.636,185.754,5528,3,0
Forex Majors,EURJPY.r,H4,2026-06-05 04:00:00,185.754,185.822,185.698,185.809,7277,0,0
Forex Majors,EURJPY.r,H4,2026-06-05 08:00:00,185.808,186.159,185.76,186.121,8426,1,0
Forex Majors,EURJPY.r,H4,2026-06-05 12:00:00,186.12,186.202,185.629,185.631,10484,1,0
Forex Majors,EURJPY.r,H4,2026-06-05 16:00:00,185.631,185.695,184.715,184.835,16670,1,0
