section,column,dtype,required,allowed_values,source,description,v1_validation
identity,snapshot_id,string,True,,snapshot builder,Unique id for one generation.,required column present; allowed values respected
identity,generated_at,datetime,True,,snapshot builder,Generation timestamp.,required column present; allowed values respected
identity,symbol,string,True,,watcher,Instrument symbol.,required column present; allowed values respected
identity,market_group,string,True,,watcher/SQL mapping,"Market group such as Forex Majors, Index, Metals.",required column present; allowed values respected
identity,strategy,string,True,,watcher,"Strategy id, initially enbolsa:macd_breakout.",required column present; allowed values respected
identity,timeframe_ltf,string,True,,watcher,Lower timeframe.,required column present; allowed values respected
identity,timeframe_htf,string,True,,watcher,Higher timeframe.,required column present; allowed values respected
identity,last_closed_bar_time,datetime,True,,watcher/data_state,Last closed bar used.,required column present; allowed values respected
identity,data_freshness_status,enum,True,,data_state,Fresh/stale/unknown data status.,required column present; allowed values respected
enbolsa_state,signal_state,mixed,True,no_signal|watching_setup|entry_ready_new|ready_already_seen|ready_stale|blocked,watcher snapshot/watchlist,ENBOLSA watcher field signal_state.,required column present; allowed values respected
enbolsa_state,side,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field side.,optional
enbolsa_state,setup_id,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field setup_id.,optional
enbolsa_state,entry,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field entry.,optional
enbolsa_state,sl,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field sl.,optional
enbolsa_state,tp1,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field tp1.,optional
enbolsa_state,tp2,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field tp2.,optional
enbolsa_state,setup_age,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field setup_age.,optional
enbolsa_state,missing_confirmation,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field missing_confirmation.,optional
enbolsa_state,enbolsa_reason,mixed,False,,watcher snapshot/watchlist,ENBOLSA watcher field enbolsa_reason.,optional
order_intent,has_order_intent,mixed,True,,watcher order_intents,Order intent field has_order_intent.,required column present; allowed values respected
order_intent,order_intent_id,mixed,True,,watcher order_intents,Order intent field order_intent_id.,required column present; allowed values respected
order_intent,intent_status,mixed,True,not_applicable|diagnostic_only|riskguard_accepted|riskguard_rejected|stale|already_seen,watcher order_intents,Order intent field intent_status.,required column present; allowed values respected
riskguard,riskguard_status,mixed,True,,RiskGuard,Risk context field riskguard_status.,required column present; allowed values respected
riskguard,riskguard_reason,mixed,True,,RiskGuard,Risk context field riskguard_reason.,required column present; allowed values respected
riskguard,riskguard_detail,mixed,True,,RiskGuard,Risk context field riskguard_detail.,required column present; allowed values respected
riskguard,candidate_risk_pct,mixed,True,,RiskGuard,Risk context field candidate_risk_pct.,required column present; allowed values respected
riskguard,projected_total_risk_pct,mixed,True,,RiskGuard,Risk context field projected_total_risk_pct.,required column present; allowed values respected
