intent_id,setup_id,symbol,timeframe,check_id,status,decision_if_failed
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,eligible_setup,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,min_quality,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,shadow_triggered,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,triggered_at_present,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,timing_current,fail,blocked_by_late_setup
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,entry_present,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,sl_present,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,tp_present,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,mt5_snapshot_present,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,no_existing_position,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,no_pending_order,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,no_live_mode,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,no_telegram,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,ai_not_approval,pass,
,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,EURO50,H4,sender_not_available,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,eligible_setup,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,min_quality,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,shadow_triggered,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,triggered_at_present,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,timing_current,fail,blocked_by_late_setup
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,entry_present,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,sl_present,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,tp_present,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,mt5_snapshot_present,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,no_existing_position,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,no_pending_order,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,no_live_mode,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,no_telegram,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,ai_not_approval,pass,
,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,SPA35,H4,sender_not_available,pass,
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,eligible_setup,pass,
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,min_quality,pass,
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,shadow_triggered,fail,blocked_by_waiting_confirmation
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,triggered_at_present,fail,blocked_by_stale_data
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,timing_current,fail,blocked_by_stale_data
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,entry_present,fail,blocked_by_missing_entry
,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,EURUSD.r,H4,sl_present,pass,
