timeframe,asset_1,asset_2,pair,metric,window,latest_corr,previous_corr,delta_prev,mean_corr,latest_abs,obs,is_read_only,can_execute_order,signals_generated
M15,AUDCAD.r,AUDJPY.r,AUDCAD.r | AUDJPY.r,pearson,96,0.887235,0.685421,0.201814,0.786328,0.887235,96,True,False,False
M15,AUDCAD.r,AUDJPY.r,AUDCAD.r | AUDJPY.r,spearman,96,0.691857,0.797084,-0.105227,0.74447,0.691857,96,True,False,False
M15,AUDCAD.r,AUDJPY.r,AUDCAD.r | AUDJPY.r,kendall,96,0.535804,0.602632,-0.066827,0.569218,0.535804,96,True,False,False
M15,AUDCAD.r,AUDJPY.r,AUDCAD.r | AUDJPY.r,dcor,96,0.779509,0.727691,0.051818,0.7536,0.779509,80,True,False,False
M15,AUDCAD.r,AUDNZD.r,AUDCAD.r | AUDNZD.r,pearson,96,0.76778,0.451117,0.316663,0.609448,0.76778,96,True,False,False
M15,AUDCAD.r,AUDNZD.r,AUDCAD.r | AUDNZD.r,spearman,96,0.471861,0.581261,-0.1094,0.526561,0.471861,96,True,False,False
M15,AUDCAD.r,AUDNZD.r,AUDCAD.r | AUDNZD.r,kendall,96,0.338853,0.420094,-0.081241,0.379474,0.338853,96,True,False,False
M15,AUDCAD.r,AUDNZD.r,AUDCAD.r | AUDNZD.r,dcor,96,0.63937,0.448891,0.190479,0.544131,0.63937,80,True,False,False
M15,AUDCAD.r,AUDUSD.r,AUDCAD.r | AUDUSD.r,pearson,96,0.940043,0.813207,0.126836,0.876625,0.940043,96,True,False,False
M15,AUDCAD.r,AUDUSD.r,AUDCAD.r | AUDUSD.r,spearman,96,0.875876,0.917156,-0.04128,0.896516,0.875876,96,True,False,False
M15,AUDCAD.r,AUDUSD.r,AUDCAD.r | AUDUSD.r,kendall,96,0.714348,0.745915,-0.031567,0.730132,0.714348,96,True,False,False
M15,AUDCAD.r,AUDUSD.r,AUDCAD.r | AUDUSD.r,dcor,96,0.895224,0.878853,0.016371,0.887038,0.895224,80,True,False,False
M15,AUDCAD.r,AUS200,AUDCAD.r | AUS200,pearson,96,0.354163,0.550928,-0.196765,0.452545,0.354163,96,True,False,False
M15,AUDCAD.r,AUS200,AUDCAD.r | AUS200,spearman,96,0.497894,0.576986,-0.079092,0.53744,0.497894,96,True,False,False
M15,AUDCAD.r,AUS200,AUDCAD.r | AUS200,kendall,96,0.356555,0.412113,-0.055558,0.384334,0.356555,96,True,False,False
