source_id,source,source_type,rows,status,used_for,sql_real_read,sql_real_written
snapshot_export,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_operational_core_closure_v1_2026-05-28\export_from_sql\live_context_snapshot_from_sql.csv,artifact_csv,54,available,overview|watchlist|asset_detail,False,False
security_flags,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_operational_core_closure_v1_2026-05-28\tables\security_flags_check.csv,artifact_csv,11,available,overview|system_audit,False,False
sql_counts,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_operational_core_closure_v1_2026-05-28\tables\sql_closure_counts.csv,artifact_csv,12,available,system_audit,False,False
migrations,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_operational_core_closure_v1_2026-05-28\tables\migration_status.csv,artifact_csv,2,available,system_audit,False,False
export_manifest,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_operational_core_closure_v1_2026-05-28\tables\sql_export_manifest.csv,artifact_csv,3,available,system_audit,False,False
wavecount_current_screener,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\refresh_service\cycles\20260608T120000+0000_M15\orchestrator\generated\weavecount_screener_h1_h4\weavecount_screener.csv,artifact_csv,94,available,wavecount_study_fallback,False,False
wavecount_expanded_screener,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\wavecount_study_screener_review_v1_2026-05-28\tables\expanded_screener.csv,artifact_csv,68,available,wavecount_study_panel,False,False
wavecount_bucket_policy,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\wavecount_study_panel_design_v1_2026-05-28\tables\wavecount_panel_bucket_display_policy.csv,artifact_csv,11,available,wavecount_bucket_summary,False,False
wavecount_visual_cases,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\wavecount_study_screener_review_v1_2026-05-28\tables\visual_case_inventory.csv,artifact_csv,28,available,wavecount_chart_references,False,False
wavecount_no_action_policy,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\wavecount_study_panel_design_v1_2026-05-28\tables\wavecount_panel_no_action_policy.csv,artifact_csv,4,available,wavecount_safety_copy,False,False
telegram_sender_review_meta,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\telegram_real_sender_v1_review_2026-05-29\run_meta.json,artifact_json,1,available,system_audit_telegram_status,False,False
weavecount_screener_h1_h4,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv,artifact_csv,94,available,weavecount_h1_h4_screener,False,False
symbol_control_inventory,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\data-health\sql_mt5_2026-05-17\tables\symbol_control.csv,artifact_csv,60,available,market_universe,False,False
price_symbols_inventory,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\data-health\sql_mt5_2026-05-17\tables\price_symbols.csv,artifact_csv,60,available,market_universe_crosscheck,False,False
market_radar_m15_h1_h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\refresh_service\cycles\20260608T120000+0000_M15\orchestrator\generated\market_radar\market_radar.csv,artifact_csv,60,available,radar_trend_alignment_and_rsi_screener,False,False
market_correlations_returns,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_correlations_v1_2026-05-31\correlation_pairs.csv,artifact_csv,7080,available,correlation_section_returns_by_timeframe,False,False
screener_unified_setups,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\refresh_service\cycles\20260608T120000+0000_M15\orchestrator\generated\screener_unified\screener_setups.csv,artifact_csv,118,available,unified_screener_highlighted_setups,False,False
mt5_shadow_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\mt5_shadow_v1_2026-06-08\mt5_shadow_decisions.csv,artifact_csv,1,available,mt5_shadow_dashboard_review,False,False
market_correlation_returns_sample,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_correlations_v1_2026-05-31\correlation_returns_sample.csv,artifact_csv,167748,available,correlation_pair_scatter,False,False
bot_dry_run_review_meta,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\bot_dry_run_v1_review_2026-05-29\run_meta.json,artifact_json,1,available,simulation_status,False,False
sql_runtime_go_no_go_meta,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\sql_runtime_ledger_go_no_go_v1_2026-05-30\run_meta.json,artifact_json,1,available,sql_runtime_status,False,False
