symbol,market_group,timeframe,layer_type,label,price,start_time,end_time,color,style,source,is_operational
AUDCAD.r,Forex Majors,H1,fibonacci_0_0,Fib 0,0.99074,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_1_0,Fib 100,0.98367,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,0.98907148,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,0.98803926,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_0_5,Fib 50,0.987205,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,0.98637074,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,0.98518298,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,0.99266304,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,0.99510926,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_0,Fib 0,0.97723,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_1_0,Fib 100,0.99298,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,0.980947,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,0.9832465,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_5,Fib 50,0.985105,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,0.9869635,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,0.9896095,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,0.972946,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDCAD.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,0.9674965,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_0,Fib 0,112.257,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_1_0,Fib 100,114.225,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,112.72145,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,113.00878,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_5,Fib 50,113.241,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,113.47322,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,113.80385,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
AUDJPY.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,111.7217,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
