symbol,market_group,timeframe,swing_direction,swing_start_time,swing_end_time,swing_start_price,swing_end_price,swing_range_pct,swing_bars,swing_tr_multiple,materiality_status,pivot_count,swing_quality,swing_reason,nearest_fib_level,nearest_fib_ratio,nearest_fib_distance_pct,fibonacci_context,fibonacci_status,source_ohlc,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order
AUDCAD.r,Forex Majors,H1,bullish,2026-05-22 23:00:00,2026-05-25 18:00:00,0.98367,0.99074,0.7187,19,7.5615,passed,53,media,"swing reciente mas material (0.72%, 19 velas, 7.56x TR, score 5.49)",Fib 78.6,0.786,0.0109,cerca Fib 78.6 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDCAD.r,Forex Majors,H4,bearish,2026-06-04 12:00:00,2026-06-08 00:00:00,0.99298,0.97723,1.5861,9,6.6176,passed,42,fuerte,"swing reciente mas material (1.59%, 9 velas, 6.62x TR, score 23.58)",Fib 38.2,0.382,0.0108,cerca Fib 38.2 (0.01%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDJPY.r,Forex Majors,H1,bearish,2026-06-05 13:00:00,2026-06-08 00:00:00,114.225,112.257,1.7229,11,16.4686,passed,41,fuerte,"swing reciente mas material (1.72%, 11 velas, 16.47x TR, score 63.14)",Fib 38.2,0.382,0.0727,cerca Fib 38.2 (0.07%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDJPY.r,Forex Majors,H4,bullish,2026-05-28 04:00:00,2026-05-29 16:00:00,113.269,114.579,1.1565,9,4.2464,passed,42,media,"swing reciente mas material (1.16%, 9 velas, 4.25x TR, score 7.94)",Fib 78.6,0.786,0.6822,contexto Fib 78.6 (0.68%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDNZD.r,Forex Majors,H1,bearish,2026-05-26 22:00:00,2026-05-27 17:00:00,1.22842,1.20801,1.6615,19,21.5979,passed,38,fuerte,"swing reciente mas material (1.66%, 19 velas, 21.60x TR, score 41.75)",Fib 23.6,0.236,0.0365,cerca Fib 23.6 (0.04%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDNZD.r,Forex Majors,H4,bullish,2026-06-01 00:00:00,2026-06-03 20:00:00,1.19712,1.21664,1.6306,17,9.6158,passed,31,media,"swing reciente mas material (1.63%, 17 velas, 9.62x TR, score 38.16)",Fib 23.6,0.236,0.2113,contexto Fib 23.6 (0.21%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDUSD.r,Forex Majors,H1,bearish,2026-06-05 14:00:00,2026-06-08 00:00:00,0.71438,0.70058,1.9317,10,16.7273,passed,49,fuerte,"swing reciente mas material (1.93%, 10 velas, 16.73x TR, score 69.39)",Fib 50,0.5,0.0750,cerca Fib 50 (0.07%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUDUSD.r,Forex Majors,H4,bearish,2026-06-04 12:00:00,2026-06-08 00:00:00,0.71487,0.70058,1.9990,9,7.2723,passed,35,media,"swing reciente mas material (2.00%, 9 velas, 7.27x TR, score 32.66)",Fib 23.6,0.236,0.1174,contexto Fib 23.6 (0.12%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUS200,Index,H1,bearish,2026-05-27 15:00:00,2026-05-28 07:00:00,8741.45,8563.45,2.0363,14,8.9223,passed,32,media,"swing reciente mas material (2.04%, 14 velas, 8.92x TR, score 21.63)",Fib 23.6,0.236,0.5093,contexto Fib 23.6 (0.51%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
AUS200,Index,H4,bullish,2026-05-04 12:00:00,2026-05-06 12:00:00,8602.25,8914.15,3.6258,12,7.0886,passed,37,media,"swing reciente mas material (3.63%, 12 velas, 7.09x TR, score 24.76)",Fib 78.6,0.786,1.8103,contexto Fib 78.6 (1.81%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
