symbol,market_group,timeframe,swing_direction,fib_ratio,fib_label,fib_price,distance_pct,is_nearest,source_method
AUDCAD.r,Forex Majors,H1,bullish,0.0,Fib 0,0.99074,0.5531,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,1.0,Fib 100,0.98367,0.1644,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,0.236,Fib 23.6,0.98907148,0.3838,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,0.382,Fib 38.2,0.98803926,0.2790,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,0.5,Fib 50,0.987205,0.1944,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,0.618,Fib 61.8,0.98637074,0.1097,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,0.786,Fib 78.6,0.98518298,0.0109,True,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,1.272,Fib ext 1.272,0.99266304,0.7483,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H1,bullish,1.618,Fib ext 1.618,0.99510926,0.9966,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.0,Fib 0,0.97723,0.6011,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,1.0,Fib 100,0.99298,1.0009,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.236,Fib 23.6,0.980947,0.2231,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.382,Fib 38.2,0.9832465,0.0108,True,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.5,Fib 50,0.985105,0.1999,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.618,Fib 61.8,0.9869635,0.3889,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,0.786,Fib 78.6,0.9896095,0.6580,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,1.272,Fib ext 1.272,0.972946,1.0369,False,confirmed_pivots_recent_swing
AUDCAD.r,Forex Majors,H4,bearish,1.618,Fib ext 1.618,0.9674965,1.5912,False,confirmed_pivots_recent_swing
AUDJPY.r,Forex Majors,H1,bearish,0.0,Fib 0,112.257,0.7375,False,confirmed_pivots_recent_swing
AUDJPY.r,Forex Majors,H1,bearish,1.0,Fib 100,114.225,1.0027,False,confirmed_pivots_recent_swing
AUDJPY.r,Forex Majors,H1,bearish,0.236,Fib 23.6,112.72145,0.3268,False,confirmed_pivots_recent_swing
AUDJPY.r,Forex Majors,H1,bearish,0.382,Fib 38.2,113.00878,0.0727,True,confirmed_pivots_recent_swing
AUDJPY.r,Forex Majors,H1,bearish,0.5,Fib 50,113.241,0.1326,False,confirmed_pivots_recent_swing
