layer_id,enrichment_id,symbol,timeframe,layer_type,label,x0,x1,y0,y1,price,timestamp,style,source_field,is_study_only
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_w1_leg,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_w1_leg,W1 estudio,2026-06-02 06:00:00,2026-06-03 15:00:00,8635.35,8807.35,,,line:#58e6d3,w1_start_price|w1_end_price,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_w2_retracement,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_w2_retracement,W2 estudio,2026-06-03 15:00:00,2026-06-08 14:00:00,8807.35,8498.95,,,line:#f4b740,w1_end_price|w2_swing_price,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_w2_directrix,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_w2_directrix,Reg W2 highs estudio,2026-06-03 15:00:00,2026-06-08 14:00:00,8771.91926799758,8559.938972431079,,,dash:#5ce0ca,w2_high_regression_projected,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_breakout_level,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_breakout_level,Ruptura estudio,2026-06-03 15:00:00,2026-06-08 12:08:22.499286+00:00,8559.938972431079,8559.938972431079,8559.938972431079,,dash:#ffd166,breakout_level,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_sl_study,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_sl_study,SL estudio,2026-06-03 15:00:00,2026-06-08 12:08:22.499286+00:00,8498.95,8498.95,8498.95,,dot:#ff6b6b,sl_study,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_tp1_study,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_tp1_study,TP1 estudio,2026-06-03 15:00:00,2026-06-08 12:08:22.499286+00:00,8547.85,8547.85,8547.85,,dot:#75d7ff,tp1_study,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_tp2_study,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_tp2_study,TP2 estudio,2026-06-03 15:00:00,2026-06-08 12:08:22.499286+00:00,8583.694,8583.694,8583.694,,dot:#75d7ff,tp2_study,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_cross_marker,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_cross_marker,Cruce MACD,,,,,8561.85,2026-06-08 14:00:00,marker:#ffe082,last_macd_cross_time,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_recent_breakout_marker,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_recent_breakout_marker,Ruptura reciente,,,,,8559.938972431079,2026-06-08 14:00:00,marker:#f6c90e,last_breakout_time|breakout_level,True
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422|macd_current_price_marker,macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,macd_current_price_marker,Precio actual,,,,,8561.85,2026-06-08 12:08:22.499286+00:00,marker:#f7f7f7,close,True
