enrichment_id,symbol,timeframe,side,last_breakout_time,bars_since_breakout,breakout_level,breakout_level_type,reconstruction_status
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,BUY,2026-06-08 14:00:00,0.0,8559.938972431079,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|AUS200|H1|SELL|1423,AUS200,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|CHINA50|H1|BUY|646,CHINA50,H1,BUY,2026-06-04 16:00:00,44.0,15769.258064516129,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|CHINA50|H1|SELL|646,CHINA50,H1,SELL,2026-06-03 09:00:00,74.0,16091.492063492062,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURO50|H1|BUY|657,EURO50,H1,BUY,2026-06-08 10:00:00,4.0,5989.080952380946,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|EURO50|H1|SELL|658,EURO50,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|FRA40|H1|BUY|601,FRA40,H1,BUY,2026-06-08 10:00:00,4.0,8116.994000000005,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|FRA40|H1|SELL|602,FRA40,H1,SELL,2026-06-08 13:00:00,1.0,8188.600000000003,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GER40|H1|BUY|528,GER40,H1,BUY,2026-06-08 10:00:00,4.0,24444.770250000005,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|GER40|H1|SELL|528,GER40,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|HK50|H1|BUY|675,HK50,H1,BUY,,,,,not_detected
macd_breakout_enrichment_v1|HK50|H1|SELL|676,HK50,H1,SELL,,,,,not_detected
macd_breakout_enrichment_v1|ITA40|H1|BUY|244,ITA40,H1,BUY,2026-04-30 13:00:00,8.0,47075.990526315756,regression_w2_high_low_close_confirmed,reconstructed
macd_breakout_enrichment_v1|ITA40|H1|SELL|245,ITA40,H1,SELL,2026-04-30 21:00:00,0.0,47779.99,regression_w2_high_low_close_confirmed,reconstructed
