enrichment_id,symbol,timeframe,side,last_macd_cross_time,bars_since_macd_cross,macd_cross_state,reconstruction_status
macd_breakout_enrichment_v1|AUS200|H1|BUY|1422,AUS200,H1,BUY,2026-06-08 14:00:00,0.0,recent,reconstructed
macd_breakout_enrichment_v1|AUS200|H1|SELL|1423,AUS200,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|CHINA50|H1|BUY|646,CHINA50,H1,BUY,2026-06-08 11:00:00,3.0,recent,reconstructed
macd_breakout_enrichment_v1|CHINA50|H1|SELL|646,CHINA50,H1,SELL,2026-06-08 08:00:00,6.0,stale,reconstructed
macd_breakout_enrichment_v1|EURO50|H1|BUY|657,EURO50,H1,BUY,2026-06-08 11:00:00,3.0,recent,reconstructed
macd_breakout_enrichment_v1|EURO50|H1|SELL|658,EURO50,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|FRA40|H1|BUY|601,FRA40,H1,BUY,2026-06-08 11:00:00,3.0,recent,reconstructed
macd_breakout_enrichment_v1|FRA40|H1|SELL|602,FRA40,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|GER40|H1|BUY|528,GER40,H1,BUY,2026-06-08 11:00:00,3.0,recent,reconstructed
macd_breakout_enrichment_v1|GER40|H1|SELL|528,GER40,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|HK50|H1|BUY|675,HK50,H1,BUY,,,,watchlist_pending
macd_breakout_enrichment_v1|HK50|H1|SELL|676,HK50,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|ITA40|H1|BUY|244,ITA40,H1,BUY,2026-04-30 15:00:00,6.0,stale,reconstructed
macd_breakout_enrichment_v1|ITA40|H1|SELL|245,ITA40,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|JP225|H1|BUY|842,JP225,H1,BUY,2026-06-08 09:00:00,5.0,recent,reconstructed
macd_breakout_enrichment_v1|JP225|H1|SELL|843,JP225,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|SPA35|H1|BUY|357,SPA35,H1,BUY,,,,missing_context
macd_breakout_enrichment_v1|SPA35|H1|SELL|358,SPA35,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|UK100|H1|BUY|581,UK100,H1,BUY,2026-06-08 12:00:00,2.0,recent,reconstructed
macd_breakout_enrichment_v1|UK100|H1|SELL|582,UK100,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|US100|H1|BUY|718,US100,H1,BUY,2026-06-08 07:00:00,7.0,stale,reconstructed
macd_breakout_enrichment_v1|US100|H1|SELL|720,US100,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|US30|H1|BUY|687,US30,H1,BUY,2026-06-08 12:00:00,2.0,recent,reconstructed
macd_breakout_enrichment_v1|US30|H1|SELL|689,US30,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|US500|H1|BUY|714,US500,H1,BUY,2026-06-08 09:00:00,5.0,recent,reconstructed
macd_breakout_enrichment_v1|US500|H1|SELL|716,US500,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|AUDCAD.r|H1|BUY|559,AUDCAD.r,H1,BUY,2026-06-08 04:00:00,10.0,stale,reconstructed
macd_breakout_enrichment_v1|AUDCAD.r|H1|SELL|560,AUDCAD.r,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|AUDJPY.r|H1|BUY|638,AUDJPY.r,H1,BUY,2026-06-08 05:00:00,9.0,stale,reconstructed
macd_breakout_enrichment_v1|AUDJPY.r|H1|SELL|637,AUDJPY.r,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|AUDNZD.r|H1|BUY|297,AUDNZD.r,H1,BUY,2026-06-08 03:00:00,11.0,stale,reconstructed
macd_breakout_enrichment_v1|AUDNZD.r|H1|SELL|299,AUDNZD.r,H1,SELL,2026-06-08 06:00:00,8.0,stale,reconstructed
macd_breakout_enrichment_v1|AUDUSD.r|H1|BUY|641,AUDUSD.r,H1,BUY,2026-06-08 05:00:00,9.0,stale,reconstructed
macd_breakout_enrichment_v1|AUDUSD.r|H1|SELL|640,AUDUSD.r,H1,SELL,,,,missing_context
macd_breakout_enrichment_v1|CADCHF.r|H1|BUY|563,CADCHF.r,H1,BUY,2026-06-05 02:00:00,36.0,stale,reconstructed
macd_breakout_enrichment_v1|CADCHF.r|H1|SELL|562,CADCHF.r,H1,SELL,2026-06-08 13:00:00,1.0,recent,reconstructed
macd_breakout_enrichment_v1|CADJPY.r|H1|BUY|597,CADJPY.r,H1,BUY,2026-06-08 06:00:00,8.0,stale,reconstructed
macd_breakout_enrichment_v1|CADJPY.r|H1|SELL|595,CADJPY.r,H1,SELL,2026-06-08 08:00:00,6.0,stale,reconstructed
macd_breakout_enrichment_v1|CHFJPY.r|H1|BUY|574,CHFJPY.r,H1,BUY,2026-06-08 14:00:00,0.0,recent,reconstructed
macd_breakout_enrichment_v1|CHFJPY.r|H1|SELL|572,CHFJPY.r,H1,SELL,2026-06-08 10:00:00,4.0,recent,reconstructed
macd_breakout_enrichment_v1|EURAUD.r|H1|BUY|1814,EURAUD.r,H1,BUY,2026-06-05 16:00:00,22.0,stale,reconstructed
macd_breakout_enrichment_v1|EURAUD.r|H1|SELL|1813,EURAUD.r,H1,SELL,2026-06-08 04:00:00,10.0,stale,reconstructed
macd_breakout_enrichment_v1|EURCAD.r|H1|BUY|460,EURCAD.r,H1,BUY,2026-06-08 05:00:00,9.0,stale,reconstructed
macd_breakout_enrichment_v1|EURCAD.r|H1|SELL|461,EURCAD.r,H1,SELL,2026-06-04 18:00:00,44.0,stale,reconstructed
macd_breakout_enrichment_v1|EURCHF.r|H1|BUY|359,EURCHF.r,H1,BUY,2026-06-08 02:00:00,12.0,stale,reconstructed
