Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Index,enbolsa:macd_breakout,AUS200,H1,H4,2026-06-08 14:00:00,True,1,BUY,1422,True,25,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,8498.95,8547.85,8583.694,False,,,
Index,enbolsa:macd_breakout,AUS200,H1,H4,2026-06-08 14:00:00,True,-1,SELL,1423,True,1,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,8347.95,8209.579800000001,False,,,
Index,enbolsa:macd_breakout,CHINA50,H1,H4,2026-06-08 14:00:00,True,1,BUY,646,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,15760.5,16179.195,False,,,
Index,enbolsa:macd_breakout,CHINA50,H1,H4,2026-06-08 14:00:00,True,-1,SELL,646,True,102,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,16221.5,15918.0,15727.347,False,,,
Index,enbolsa:macd_breakout,EURO50,H1,H4,2026-06-08 14:00:00,True,1,BUY,657,True,6,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,5976.3,6012.3,6041.3460000000005,False,,,
Index,enbolsa:macd_breakout,EURO50,H1,H4,2026-06-08 14:00:00,True,-1,SELL,658,True,4,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,6033.3,6004.872,False,,,
Index,enbolsa:macd_breakout,FRA40,H1,H4,2026-06-08 14:00:00,True,1,BUY,601,True,20,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,8102.35,8249.5,8354.6527,False,,,
Index,enbolsa:macd_breakout,FRA40,H1,H4,2026-06-08 14:00:00,True,-1,SELL,602,True,4,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,8042.85,7928.4273,False,,,
Index,enbolsa:macd_breakout,GER40,H1,H4,2026-06-08 14:00:00,True,1,BUY,528,True,21,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,24385.45,24556.25,24690.108799999998,False,,,
Index,enbolsa:macd_breakout,GER40,H1,H4,2026-06-08 14:00:00,True,-1,SELL,528,True,4,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,24137.050000000003,23756.918200000004,False,,,
