Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Index,enbolsa:macd_breakout,AUS200,H4,D1,2026-06-08 08:00:00,True,1,BUY,408,True,12,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,8661.85,8768.146,False,,,
Index,enbolsa:macd_breakout,AUS200,H4,D1,2026-06-08 08:00:00,True,-1,SELL,408,True,22,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,8807.35,8699.35,8627.662,False,,,
Index,enbolsa:macd_breakout,CHINA50,H4,D1,2026-06-08 08:00:00,True,1,BUY,198,True,18,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,15738.0,16142.79,False,,,
Index,enbolsa:macd_breakout,CHINA50,H4,D1,2026-06-08 08:00:00,True,-1,SELL,198,True,25,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,16221.5,15943.0,15767.797,False,,,
Index,enbolsa:macd_breakout,EURO50,H4,D1,2026-06-08 08:00:00,True,1,BUY,222,True,3,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,6063.200000000001,6124.938200000001,False,,,
Index,enbolsa:macd_breakout,EURO50,H4,D1,2026-06-08 08:00:00,True,-1,SELL,222,True,35,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,6109.3,5988.599999999999,5904.428399999999,False,,,
Index,enbolsa:macd_breakout,FRA40,H4,D1,2026-06-08 08:00:00,True,1,BUY,200,True,3,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,8231.7,8325.8523,False,,,
Index,enbolsa:macd_breakout,FRA40,H4,D1,2026-06-08 08:00:00,True,-1,SELL,200,True,24,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,8269.1,8159.85,8075.4003,False,,,
Index,enbolsa:macd_breakout,GER40,H4,D1,2026-06-08 08:00:00,True,1,BUY,159,True,43,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,25510.35,26233.842599999996,False,,,
Index,enbolsa:macd_breakout,GER40,H4,D1,2026-06-08 08:00:00,True,-1,SELL,157,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,25400.35,25045.35,24794.442,False,,,
Index,enbolsa:macd_breakout,HK50,H4,D1,2026-06-08 08:00:00,True,1,BUY,225,True,17,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,25686.0,26509.176,False,,,
Index,enbolsa:macd_breakout,HK50,H4,D1,2026-06-08 08:00:00,True,-1,SELL,225,True,37,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,26021.0,23851.0,22479.658,False,,,
Index,enbolsa:macd_breakout,ITA40,H4,D1,2026-04-30 20:00:00,True,1,BUY,94,True,3,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,46825.01,47614.99,48121.75,False,,,
Index,enbolsa:macd_breakout,ITA40,H4,D1,2026-04-30 20:00:00,True,-1,SELL,95,True,1,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,46912.51,46399.58236000001,False,,,
Index,enbolsa:macd_breakout,JP225,H4,D1,2026-06-08 08:00:00,True,1,BUY,262,True,14,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,65950.25,67497.104,False,,,
Index,enbolsa:macd_breakout,JP225,H4,D1,2026-06-08 08:00:00,True,-1,SELL,262,True,22,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,68580.25,67633.25,66908.336,False,,,
Index,enbolsa:macd_breakout,SPA35,H4,D1,2026-06-08 08:00:00,True,1,BUY,132,True,18,True,False,False,False,ready_stale,raw_condition_still_true_but_not_fresh,,,,,,,,18153.9,19004.2,19582.8334,False,,,
Index,enbolsa:macd_breakout,SPA35,H4,D1,2026-06-08 08:00:00,True,-1,SELL,134,True,3,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,18222.4,18050.781400000003,False,,,
Index,enbolsa:macd_breakout,UK100,H4,D1,2026-06-08 08:00:00,True,1,BUY,176,True,43,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,10295.4,10515.550000000001,10682.935300000001,False,,,
Index,enbolsa:macd_breakout,UK100,H4,D1,2026-06-08 08:00:00,True,-1,SELL,177,True,5,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,10182.5,10031.5844,False,,,
