chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,r2,R2 previo,0.99638667,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,r3,R3 previo,1.0005033,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,s2,S2 previo,0.97182667,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,s3,S3 previo,0.96366333,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,previous_high,Maximo dia previo,0.99227,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,previous_low,Minimo dia previo,0.97999,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,round_level_1,Nivel redondo inferior,0.985,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,round_level_2,Nivel redondo superior,0.99,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_0,Fib 0,0.99074,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_1_0,Fib 100,0.98367,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_236,Fib 23.6,0.98907148,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_382,Fib 38.2,0.98803926,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_5,Fib 50,0.987205,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_618,Fib 61.8,0.98637074,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_0_786,Fib 78.6,0.98518298,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_1_272,Fib ext 1.272,0.99266304,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,fibonacci_1_618,Fib ext 1.618,0.99510926,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_w1_leg,W1 estudio,,0.99488,0.97875,2026-06-03 09:00:00,2026-06-08 03:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_w2_directrix,Reg W2 lows estudio,,0.9815509999999998,0.9851920000000007,2026-06-08 03:00:00,2026-06-08 14:00:00,#5ce0ca,dash,w2_low_regression_projected,False
trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDCAD.r|H1|macd_breakout|560,AUDCAD.r,H1,macd_breakout_level,Ruptura estudio,0.9828750000000002,0.9828750000000002,0.9828750000000002,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#ffd166,dash,breakout_level,False
