setup_id,generated_at,symbol,market_group,timeframe,setup_type,strategy,direction,setup_status,timing_state,timing_priority,timing_reason,trigger_level,trigger_level_type,distance_to_trigger_pct,last_touch_time,bars_since_touch,reaction_detected,reaction_direction,is_late,is_invalidated,entry_review_status,timing_source,timing_artifact,setup_quality_score,quality_label,quality_reason,confluence_count,confluence_tags,risk_tags,trend_context,trend_compatibility,trend_compatibility_reason,trend_detail_context,rsi_context,pivot_context,previous_day_level_context,fibonacci_context,round_level_context,volatility_context,wavecount_context,codex_review_status,codex_review_score,codex_review_summary,chart_layer_id,chart_file,source_artifacts,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order,wavecount_used_as_filter,macd_breakout_timing_state,macd_breakout_timing_reason,macd_breakout_priority,macd_breakout_level,macd_breakout_time,bars_since_breakout,macd_cross_state,macd_cross_time,bars_since_macd_cross,macd_sl_study,macd_tp1_study,macd_tp2_study,macd_context_complete
trading_center_screener_unified_v1|EURO50|H4|macd_breakout|222,2026-06-08T15:31:20.990561+00:00,EURO50,Index,H4,macd_breakout,macd_breakout,short,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,6072.425,Ruptura estudio,,2026-06-05 16:00:00,4.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia sin alineacion limpia; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_entry_review|macd_breakout_context|mixed_trend|round_level|fibonacci_zone,study_only_not_signal|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:down|H1:down|H4:up|D1:up,neutral,no_context,no_context,cerca Fib 61.8 (0.04%),Nivel redondo inferior 0.19%,adecuada 1.48x,W4? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|EURO50|H4|macd_breakout|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,6072.425,2026-06-05 16:00:00,4.0,recent,2026-06-05 16:00:00,4.0,6109.3,5988.599999999999,5904.428399999999,True
trading_center_screener_unified_v1|SPA35|H4|macd_breakout|132,2026-06-08T15:31:20.990561+00:00,SPA35,Index,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,18307.284615384622,Ruptura estudio,,2026-06-05 08:00:00,4.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia compatible; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_entry_review|macd_breakout_context|higher_alignment|round_level|fibonacci_zone,study_only_not_signal,H1/H4/D1 bullish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:down|H1:up|H4:up|D1:up,neutral,no_context,no_context,cerca Fib 38.2 (0.04%),Nivel redondo inferior 0.37%; Nivel redondo superior 0.18%,adecuada 1.26x,W2? H1 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,18307.284615384622,2026-06-05 08:00:00,4.0,recent,2026-06-05 08:00:00,4.0,18153.9,19004.2,19582.8334,True
trading_center_screener_unified_v1|USDSEK.r|M15|rsi_trend_reversal|M15,2026-06-08T15:31:20.990561+00:00,USDSEK.r,Forex Exotic,M15,rsi_trend_reversal,rsi_trend_reversal,long,ready_for_chart_review,entry_review,1,RSI cruza de vuelta por encima de 30 con triple alineacion alcista,30,RSI 30 cruce de vuelta,3.66,2026-06-08 14:30:00,0,True,rsi_cross_back,False,False,review_now,rsi_trend_reversal_v1,,4,alta,base rsi_trend_reversal; tendencia compatible; volatilidad util; confluencia multiple,3,rsi_entry_review|tactical_alignment|volatility_ok,study_only_not_signal|sl_tp_not_defined,M15/H1/H4 bullish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:up|H1:up|H4:up|D1:up,RSI M15 33.66,no_context,no_context,pending_source,Nivel redondo inferior 0.02%; Nivel redondo superior 0.03%,adecuada 1.24x,no_context,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|USDSEK.r|M15|rsi_trend_reversal|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|EURO50|H1|fib_limit_live_candidate|H1,2026-06-08T15:31:20.990561+00:00,EURO50,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,6059.09,Fib 61.8,0.0365,2026-06-08 14:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,3,media,base fib_limit_live_candidate; tendencia sin alineacion limpia; nivel cercano; volatilidad util,4,fib_limit_live|fibonacci_0_618|mixed_trend|round_level,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:down|H1:down|H4:up|D1:up,neutral,no_context,no_context,cerca Fib 61.8 (0.04%),Nivel redondo inferior 0.19%,adecuada 1.48x,W4? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|EURO50|H1|fib_limit_live_candidate|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|FRA40|H1|fib_limit_live_candidate|H1,2026-06-08T15:31:20.990561+00:00,FRA40,Index,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,8205.3867,Fib 61.8,0.0230,2026-06-08 14:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,3,media,base fib_limit_live_candidate; tendencia sin alineacion limpia; nivel cercano; volatilidad util,4,fib_limit_live|fibonacci_0_618|mixed_trend|round_level,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:down|H1:down|H4:up|D1:down,neutral,no_context,no_context,cerca Fib 61.8 (0.02%),Nivel redondo inferior 0.04%,adecuada 1.40x,W2? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|FRA40|H1|fib_limit_live_candidate|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|US30|H1|fib_limit_live_candidate|H1,2026-06-08T15:31:20.990561+00:00,US30,Index,H1,fib_limit_live_candidate,fib_limit,long,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,51116.997,Fib 61.8,0.0922,2026-06-08 14:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,3,media,base fib_limit_live_candidate; tendencia sin alineacion limpia; nivel cercano; volatilidad util,4,fib_limit_live|fibonacci_0_618|mixed_trend|round_level,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:down|H1:down|H4:up|D1:up,neutral,no_context,no_context,cerca Fib 61.8 (0.09%),Nivel redondo inferior 0.14%; Nivel redondo superior 0.06%,adecuada 1.18x,W4? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|US30|H1|fib_limit_live_candidate|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|NZDCAD.r|H1|fib_limit_live_candidate|H1,2026-06-08T15:31:20.990561+00:00,NZDCAD.r,Forex Majors,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,0.8116014,Fib 61.8,0.0589,2026-06-08 14:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,2,baja,base fib_limit_live_candidate; tendencia sin alineacion limpia; volatilidad util,3,fib_limit_live|fibonacci_0_618|mixed_trend,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:down|H1:down|H4:up|D1:up,neutral,no_context,no_context,cerca Fib 61.8 (0.06%),no_context,adecuada 1.18x,W3? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|NZDCAD.r|H1|fib_limit_live_candidate|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|670,2026-06-08T15:31:20.990561+00:00,EURUSD.r,Forex Majors,H4,macd_breakout,macd_breakout,short,ready_for_chart_review,macd_recent,2,cruce MACD reciente detectado; falta confirmar la ruptura reciente,,,,,,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia compatible; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_macd_recent|macd_breakout_context|tactical_alignment|round_level|fibonacci_zone,study_only_not_signal,M15/H1/H4 bearish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:down|H1:down|H4:down|D1:down,neutral,no_context,no_context,cerca Fib 23.6 (0.01%),Nivel redondo superior 0.12%,adecuada 1.14x,W3? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,macd_recent,cruce MACD reciente detectado; falta confirmar la ruptura reciente,2,,,,recent,2026-06-05 12:00:00,5.0,1.17832,1.16217,1.1513488200000002,True
trading_center_screener_unified_v1|GBPCHF.r|H4|macd_breakout|150,2026-06-08T15:31:20.990561+00:00,GBPCHF.r,Forex Majors,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,macd_recent,2,cruce MACD reciente detectado; falta confirmar la ruptura reciente,,,,,,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia compatible; nivel cercano; volatilidad util; confluencia multiple,5,macd_macd_recent|macd_breakout_context|tactical_alignment|previous_day_level|round_level,study_only_not_signal,M15/H1/H4 bullish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:up|H1:up|H4:up|D1:up,neutral,no_context,Maximo dia previo 0.03%,contexto Fib 23.6 (0.71%),Nivel redondo superior 0.08%,adecuada 0.95x,W2? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|GBPCHF.r|H4|macd_breakout|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,macd_recent,cruce MACD reciente detectado; falta confirmar la ruptura reciente,2,,,,recent,2026-06-08 08:00:00,0.0,1.05352,1.06808,1.07707808,True
trading_center_screener_unified_v1|XPTUSD|H4|macd_breakout|792,2026-06-08T15:31:20.990561+00:00,XPTUSD,Metals,H4,macd_breakout,macd_breakout,short,ready_for_chart_review,breakout_recent,3,ruptura reciente detectada; falta confirmar MACD reciente,1874.390714285715,Ruptura estudio,,2026-06-05 12:00:00,5.0,False,,False,False,review_now,macd_breakout_enrichment_v1,artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia compatible; volatilidad util; confluencia multiple,3,macd_breakout_recent|macd_breakout_context|tactical_alignment,study_only_not_signal,M15/H1/H4 bearish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:down|H1:down|H4:down|D1:down,neutral,no_context,no_context,contexto Fib 23.6 (0.36%),no_context,adecuada 0.90x,W3? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|XPTUSD|H4|macd_breakout|layers,,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,False,True,False,False,False,False,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,1874.390714285715,2026-06-05 12:00:00,5.0,pending,,,1898.66,1798.2299999999998,1732.9691999999998,True
