case_id,symbol,market_group,timeframe,segment_order,segment_label,start_label,end_label,start_time,end_time,start_price,end_price,segment_kind
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-06-04 15:00:00,2026-06-05 04:00:00,0.99298,0.98841,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-06-05 04:00:00,2026-06-05 15:00:00,0.98841,0.99146,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,2,W3 previa,W2,W3,2026-06-05 15:00:00,2026-06-08 00:00:00,0.99146,0.97723,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,3,W4? actual,W3,W4?,2026-06-08 00:00:00,2026-06-08 14:00:00,0.97723,0.98529,current
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-05-29 00:00:00,2026-06-02 12:00:00,0.98547,0.99507,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,1,W2? actual,W1,W2?,2026-06-02 12:00:00,2026-06-04 00:00:00,0.99507,0.9896,current
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-06-02 23:00:00,2026-06-05 04:00:00,114.869,113.642,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-06-05 04:00:00,2026-06-05 13:00:00,113.642,114.225,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,2,W3 previa,W2,W3,2026-06-05 13:00:00,2026-06-08 00:00:00,114.225,112.257,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,3,W4 previa,W3,W4,2026-06-08 00:00:00,2026-06-08 10:00:00,112.257,113.112,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,4,W5? actual,W4,W5?,2026-06-08 10:00:00,2026-06-08 14:00:00,113.112,113.091,current
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-06-02 16:00:00,2026-06-04 04:00:00,114.913,113.826,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-06-04 04:00:00,2026-06-05 12:00:00,113.826,114.225,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,2,W3? actual,W2,W3?,2026-06-05 12:00:00,2026-06-08 08:00:00,114.225,112.78,current
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-06-03 20:00:00,2026-06-08 00:00:00,1.21664,1.21056,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-06-08 00:00:00,2026-06-08 10:00:00,1.21056,1.21544,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,2,W3? actual,W2,W3?,2026-06-08 10:00:00,2026-06-08 14:00:00,1.21544,1.21327,current
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-05-26 20:00:00,2026-06-01 00:00:00,1.22842,1.19712,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-06-01 00:00:00,2026-06-03 20:00:00,1.19712,1.21664,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,2,W3? actual,W2,W3?,2026-06-03 20:00:00,2026-06-08 08:00:00,1.21664,1.2146,current
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W4?|2026-06-08 14:00:00,AUDUSD.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-06-04 15:00:00,2026-06-05 04:00:00,0.71487,0.71058,previous
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W4?|2026-06-08 14:00:00,AUDUSD.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-06-05 04:00:00,2026-06-05 14:00:00,0.71058,0.71438,previous
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W4?|2026-06-08 14:00:00,AUDUSD.r,Forex Majors,H1,2,W3 previa,W2,W3,2026-06-05 14:00:00,2026-06-08 00:00:00,0.71438,0.70058,previous
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W4?|2026-06-08 14:00:00,AUDUSD.r,Forex Majors,H1,3,W4? actual,W3,W4?,2026-06-08 00:00:00,2026-06-08 14:00:00,0.70058,0.70695,current
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-06-08 08:00:00,AUDUSD.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-06-02 16:00:00,2026-06-04 04:00:00,0.71879,0.71223,previous
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-06-08 08:00:00,AUDUSD.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-06-04 04:00:00,2026-06-05 12:00:00,0.71223,0.71438,previous
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-06-08 08:00:00,AUDUSD.r,Forex Majors,H4,2,W3? actual,W2,W3?,2026-06-05 12:00:00,2026-06-08 08:00:00,0.71438,0.70478,current
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W4?|2026-06-08 14:00:00,CADCHF.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-06-05 00:00:00,2026-06-05 20:00:00,0.56634,0.5714,previous
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W4?|2026-06-08 14:00:00,CADCHF.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-06-05 20:00:00,2026-06-08 00:00:00,0.5714,0.5679,previous
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W4?|2026-06-08 14:00:00,CADCHF.r,Forex Majors,H1,2,W3 previa,W2,W3,2026-06-08 00:00:00,2026-06-08 08:00:00,0.5679,0.57214,previous
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W4?|2026-06-08 14:00:00,CADCHF.r,Forex Majors,H1,3,W4? actual,W3,W4?,2026-06-08 08:00:00,2026-06-08 14:00:00,0.57214,0.57149,current
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W3?|2026-06-08 08:00:00,CADCHF.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-06-01 00:00:00,2026-06-03 20:00:00,0.56464,0.57041,previous
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W3?|2026-06-08 08:00:00,CADCHF.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-06-03 20:00:00,2026-06-05 00:00:00,0.57041,0.56634,previous
