case_id,symbol,market_group,timeframe,point_order,point_label,point_time,point_price,point_kind,pivot_type,structural_pivot_id
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,0,origen,2026-06-04 15:00:00,0.99298,pivot,high,61
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,1,W1,2026-06-05 04:00:00,0.98841,pivot,low,62
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,2,W2,2026-06-05 15:00:00,0.99146,pivot,high,63
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,3,W3,2026-06-08 00:00:00,0.97723,pivot,low,64
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W4?|2026-06-08 14:00:00,AUDCAD.r,Forex Majors,H1,4,W4?,2026-06-08 14:00:00,0.98529,latest,,
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,0,origen,2026-05-29 00:00:00,0.98547,pivot,low,81
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,1,W1,2026-06-02 12:00:00,0.99507,pivot,high,82
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W2?|2026-06-08 08:00:00,AUDCAD.r,Forex Majors,H4,2,W2?,2026-06-04 00:00:00,0.9896,current,low,83
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,0,origen,2026-06-02 23:00:00,114.869,pivot,high,58
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,1,W1,2026-06-05 04:00:00,113.642,pivot,low,59
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,2,W2,2026-06-05 13:00:00,114.225,pivot,high,60
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,3,W3,2026-06-08 00:00:00,112.257,pivot,low,61
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,4,W4,2026-06-08 10:00:00,113.112,pivot,high,62
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W5?|2026-06-08 14:00:00,AUDJPY.r,Forex Majors,H1,5,W5?,2026-06-08 14:00:00,113.091,latest,,
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,0,origen,2026-06-02 16:00:00,114.913,pivot,high,68
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,1,W1,2026-06-04 04:00:00,113.826,pivot,low,69
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,2,W2,2026-06-05 12:00:00,114.225,pivot,high,70
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-06-08 08:00:00,AUDJPY.r,Forex Majors,H4,3,W3?,2026-06-08 08:00:00,112.78,latest,,
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,0,origen,2026-06-03 20:00:00,1.21664,pivot,high,50
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,1,W1,2026-06-08 00:00:00,1.21056,pivot,low,51
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,2,W2,2026-06-08 10:00:00,1.21544,pivot,high,52
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W3?|2026-06-08 14:00:00,AUDNZD.r,Forex Majors,H1,3,W3?,2026-06-08 14:00:00,1.21327,latest,,
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,0,origen,2026-05-26 20:00:00,1.22842,pivot,high,76
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,1,W1,2026-06-01 00:00:00,1.19712,pivot,low,77
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W3?|2026-06-08 08:00:00,AUDNZD.r,Forex Majors,H4,2,W2,2026-06-03 20:00:00,1.21664,pivot,high,78
