setup_id,generated_at,symbol,market_group,timeframe,setup_type,strategy,direction,setup_status,timing_state,timing_priority,timing_reason,trigger_level,trigger_level_type,distance_to_trigger_pct,last_touch_time,bars_since_touch,reaction_detected,reaction_direction,is_late,is_invalidated,entry_review_status,timing_source,timing_artifact,setup_quality_score,quality_label,quality_reason,confluence_count,confluence_tags,risk_tags,trend_context,trend_compatibility,trend_compatibility_reason,trend_detail_context,rsi_context,pivot_context,previous_day_level_context,fibonacci_context,round_level_context,volatility_context,wavecount_context,codex_review_status,codex_review_score,codex_review_summary,chart_layer_id,chart_file,source_artifacts,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order,wavecount_used_as_filter,macd_breakout_timing_state,macd_breakout_timing_reason,macd_breakout_priority,macd_breakout_level,macd_breakout_time,bars_since_breakout,macd_cross_state,macd_cross_time,bars_since_macd_cross,macd_sl_study,macd_tp1_study,macd_tp2_study,macd_context_complete
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,2026-06-04T23:14:56.501047+00:00,NZDCHF.r,Forex Majors,H1,macd_breakout,macd_breakout,short,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,0.4616453999999998,Ruptura estudio,,2026-03-17 05:00:00,4.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia sin alineacion limpia; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_entry_review|macd_breakout_context|mixed_trend|round_level|fibonacci_zone,study_only_not_signal|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:down|D1:up,neutral,no_context,no_context,cerca Fib 38.2 (0.01%),Nivel redondo superior 0.11%,adecuada 0.89x,W4? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.4616453999999998,2026-03-17 05:00:00,4.0,recent,2026-03-17 05:00:00,4.0,0.46154,0.45571,0.4519587400000001,True
trading_center_screener_unified_v1|SPA35|H4|macd_breakout|124,2026-06-04T23:14:56.501047+00:00,SPA35,Index,H4,macd_breakout,macd_breakout,short,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,17028.233333333334,Ruptura estudio,,2026-03-16 08:00:00,3.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,5,alta,base macd_breakout; tendencia sin alineacion limpia; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_entry_review|macd_breakout_context|mixed_trend|round_level|fibonacci_zone,study_only_not_signal|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:down|D1:up,neutral,no_context,no_context,cerca Fib 38.2 (0.30%),Nivel redondo inferior 0.36%; Nivel redondo superior 0.22%,adecuada 1.67x,W3? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|SPA35|H4|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,17028.233333333334,2026-03-16 08:00:00,3.0,recent,2026-03-16 08:00:00,3.0,17226.4,16762.9,16433.506,True
trading_center_screener_unified_v1|US100|H4|fib_limit_live_candidate|H4,2026-06-04T23:14:56.501047+00:00,US100,Index,H4,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,24695.419,Fib 61.8,0.2406,2026-03-16 20:00:00,2,True,down,False,False,review_now,fib_limit_timing_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,5,alta,base fib_limit_live_candidate; tendencia compatible; nivel cercano; volatilidad util; confluencia multiple,4,fib_limit_live|fibonacci_0_618|tactical_alignment|round_level,study_only_not_signal|needs_chart_review,M15/H1/H4 bearish,compatible,direccion del setup alineada con la tendencia limpia disponible,M15:down|H1:down|H4:down|D1:down,neutral,no_context,no_context,cerca Fib 61.8 (0.24%),Nivel redondo inferior 0.22%; Nivel redondo superior 0.19%,adecuada 0.88x,W3? H1 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|US100|H4|fib_limit_live_candidate|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|136,2026-06-04T23:14:56.501047+00:00,GBPCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1.8186193333333327,Ruptura estudio,,2026-03-16 16:00:00,3.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia contraria: revisar con cautela; nivel cercano; volatilidad util; confluencia multiple; zona Fibonacci cercana,5,macd_entry_review|macd_breakout_context|trend_against|round_level|fibonacci_zone,study_only_not_signal|tendencia contraria,H1/H4/D1 bearish,against,direccion del setup contraria a la tendencia limpia disponible,M15:up|H1:down|H4:down|D1:down,neutral,no_context,no_context,cerca Fib 38.2 (0.02%),Nivel redondo superior 0.00%,adecuada 0.85x,W4? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,1.8186193333333327,2026-03-16 16:00:00,3.0,recent,2026-03-16 12:00:00,4.0,1.81173,1.83643,1.8525536200000003,True
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|152,2026-06-04T23:14:56.501047+00:00,AUDCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,0.9612300000000004,Ruptura estudio,,2026-03-16 08:00:00,5.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia sin alineacion limpia; nivel cercano; volatilidad util; confluencia multiple,4,macd_entry_review|macd_breakout_context|mixed_trend|previous_day_level,study_only_not_signal|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:down|D1:up,neutral,no_context,Maximo dia previo 0.01%,contexto Fib 23.6 (1.04%),no_context,adecuada 1.56x,W3? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.9612300000000004,2026-03-16 08:00:00,5.0,recent,2026-03-16 20:00:00,2.0,0.9571,0.98387,1.0004324,True
trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,2026-06-04T23:14:56.501047+00:00,JP225,Index,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,53899.13537549407,Ruptura estudio,,2026-03-17 04:00:00,0.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia contraria: revisar con cautela; nivel cercano; volatilidad util; confluencia multiple,4,macd_entry_review|macd_breakout_context|trend_against|round_level,study_only_not_signal|tendencia contraria,M15/H1/H4 bearish,against,direccion del setup contraria a la tendencia limpia disponible,M15:down|H1:down|H4:down|D1:up,neutral,no_context,no_context,contexto Fib 23.6 (1.87%),Nivel redondo inferior 0.05%; Nivel redondo superior 0.14%,adecuada 1.19x,W4? H1 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,53899.13537549407,2026-03-17 04:00:00,0.0,recent,2026-03-16 12:00:00,4.0,53160.25,56503.25,58842.38,True
trading_center_screener_unified_v1|AUDUSD.r|H4|macd_breakout|157,2026-06-04T23:14:56.501047+00:00,AUDUSD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,0.6994557575757573,Ruptura estudio,,2026-03-16 08:00:00,5.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia sin alineacion limpia; volatilidad util,3,macd_entry_review|macd_breakout_context|mixed_trend,study_only_not_signal|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:up|D1:up,neutral,no_context,no_context,contexto Fib 78.6 (0.19%),no_context,adecuada 1.41x,W3? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|AUDUSD.r|H4|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.6994557575757573,2026-03-16 08:00:00,5.0,recent,2026-03-17 00:00:00,1.0,0.69787,0.71968,0.73315858,True
trading_center_screener_unified_v1|NZDJPY.r|H1|macd_breakout|569,2026-06-04T23:14:56.501047+00:00,NZDJPY.r,Forex Majors,H1,macd_breakout,macd_breakout,short,ready_for_chart_review,entry_review,1,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,93.29104,Ruptura estudio,,2026-03-17 05:00:00,4.0,True,macd_recent,False,False,review_now,macd_breakout_enrichment_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv,4,alta,base macd_breakout; tendencia sin alineacion limpia,3,macd_entry_review|macd_breakout_context|mixed_trend,study_only_not_signal|tendencia mixta|volatilidad comprimida,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:up|D1:up,neutral,no_context,no_context,contexto Fib 23.6 (0.08%),no_context,comprimida 0.81x,W3? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|NZDJPY.r|H1|macd_breakout|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,93.29104,2026-03-17 05:00:00,4.0,recent,2026-03-17 06:00:00,3.0,93.267,91.352,90.141338,True
trading_center_screener_unified_v1|EURNZD.r|H1|fib_limit_live_candidate|H1,2026-06-04T23:14:56.501047+00:00,EURNZD.r,Forex Majors,H1,fib_limit_live_candidate,fib_limit,short,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,1.9717033,Fib 61.8,0.0210,2026-03-17 09:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,3,media,base fib_limit_live_candidate; tendencia sin alineacion limpia; nivel cercano; volatilidad util,4,fib_limit_live|fibonacci_0_618|mixed_trend|round_level,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:up|H4:down|D1:down,neutral,no_context,no_context,cerca Fib 61.8 (0.02%),Nivel redondo inferior 0.07%,adecuada 0.90x,W3? H4 media,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|EURNZD.r|H1|fib_limit_live_candidate|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\live-signal-watcher\enbolsa_macd_breakout_v0\snapshot.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
trading_center_screener_unified_v1|XCUUSD.r|H1|fib_limit_live_candidate|H1,2026-06-04T23:14:56.501047+00:00,XCUUSD.r,Metals,H1,fib_limit_live_candidate,fib_limit,long,ready_for_chart_review,entry_review,1,hubo toque OHLC reciente de Fib 61.8; revisar el grafico ahora,12787.772,Fib 61.8,0.1247,2026-03-17 09:00:00,0,False,,False,False,review_now,fib_limit_timing_v1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,3,media,base fib_limit_live_candidate; tendencia sin alineacion limpia; nivel cercano; volatilidad util,4,fib_limit_live|fibonacci_0_618|mixed_trend|round_level,study_only_not_signal|needs_chart_review|tendencia mixta,sin alineacion limpia,mixed,sin alineacion limpia para validar direccion del setup,M15:up|H1:down|H4:down|D1:up,neutral,no_context,no_context,cerca Fib 61.8 (0.12%),Nivel redondo superior 0.22%,adecuada 1.00x,W3? H4 fuerte,revision codex pendiente,,future_phase,trading_center_screener_unified_v1|XCUUSD.r|H1|fib_limit_live_candidate|layers,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_market_radar_v1_2026-05-31\market_radar.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_sql_market_data_readonly_v1_2026-05-31\ohlc_mtf.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\weavecount_screener_h1_h4_v1_2026-06-01\weavecount_screener.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_enriched_setups.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\macd_breakout_watcher_enrichment_h1_h4_major_metals_index_combined_v1_2026-06-04\macd_breakout_chart_layers.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv|C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\trading_center_fibonacci_context_v1_2026-06-02\fibonacci_context.csv,False,True,False,False,False,False,,,,,,,,,,,,,
