setup_id,symbol,timeframe,timing_state,timing_reason,timing_priority,breakout_level,breakout_time,bars_since_breakout,macd_cross_state,macd_cross_time,bars_since_macd_cross,sl_study,tp1_study,tp2_study,context_complete
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.4616453999999998,2026-03-17 05:00:00,4.0,recent,2026-03-17 05:00:00,4.0,0.46154,0.45571,0.4519587400000001,True
trading_center_screener_unified_v1|SPA35|H4|macd_breakout|124,SPA35,H4,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,17028.233333333334,2026-03-16 08:00:00,3.0,recent,2026-03-16 08:00:00,3.0,17226.4,16762.9,16433.506,True
trading_center_screener_unified_v1|GBPCAD.r|H4|macd_breakout|136,GBPCAD.r,H4,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,1.8186193333333327,2026-03-16 16:00:00,3.0,recent,2026-03-16 12:00:00,4.0,1.81173,1.83643,1.8525536200000003,True
trading_center_screener_unified_v1|AUDCAD.r|H4|macd_breakout|152,AUDCAD.r,H4,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.9612300000000004,2026-03-16 08:00:00,5.0,recent,2026-03-16 20:00:00,2.0,0.9571,0.98387,1.0004324,True
trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,53899.13537549407,2026-03-17 04:00:00,0.0,recent,2026-03-16 12:00:00,4.0,53160.25,56503.25,58842.38,True
trading_center_screener_unified_v1|AUDUSD.r|H4|macd_breakout|157,AUDUSD.r,H4,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,0.6994557575757573,2026-03-16 08:00:00,5.0,recent,2026-03-17 00:00:00,1.0,0.69787,0.71968,0.73315858,True
trading_center_screener_unified_v1|NZDJPY.r|H1|macd_breakout|569,NZDJPY.r,H1,entry_review,ruptura y cruce MACD recientes dentro de memoria; revisar el grafico ahora,1,93.29104,2026-03-17 05:00:00,4.0,recent,2026-03-17 06:00:00,3.0,93.267,91.352,90.141338,True
trading_center_screener_unified_v1|ITA40|H4|macd_breakout|89,ITA40,H4,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,44483.778181818205,2026-03-13 16:00:00,3.0,pending,,,45342.49,43399.99,42103.72263999999,True
trading_center_screener_unified_v1|XCUUSD.r|H1|macd_breakout|279,XCUUSD.r,H1,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,12886.414285714289,2026-03-17 08:00:00,1.0,pending,,,12918.75,12579.05,12356.1992,True
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|167,AUDJPY.r,H4,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,111.6681785714286,2026-03-16 08:00:00,5.0,pending,,,111.477,115.0,117.185866,True
trading_center_screener_unified_v1|EURUSD.r|H4|macd_breakout|666,EURUSD.r,H4,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,1.1499833333333334,2026-03-17 04:00:00,0.0,pending,,,1.16517,1.12661,1.1018158400000002,True
trading_center_screener_unified_v1|UK100|H4|macd_breakout|164,UK100,H4,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,10371.516666666668,2026-03-17 00:00:00,1.0,pending,,,10451.95,9973.1,9657.7037,True
trading_center_screener_unified_v1|US500|H4|macd_breakout|214,US500,H4,breakout_recent,ruptura reciente detectada; falta confirmar MACD reciente,3,6719.149999999999,2026-03-17 00:00:00,1.0,pending,,,6831.5,6576.95,6407.5562,True
trading_center_screener_unified_v1|HK50|H4|macd_breakout|220,HK50,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,25561.73076923077,2026-03-16 04:00:00,6.0,recent,2026-03-16 08:00:00,5.0,25431.0,26528.5,27279.8335,True
trading_center_screener_unified_v1|AUDNZD.r|H1|macd_breakout|286,AUDNZD.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.2068774999999998,2026-03-17 01:00:00,8.0,stale,2026-03-17 01:00:00,8.0,1.20628,1.2298,1.24486066,True
trading_center_screener_unified_v1|AUS200|H4|macd_breakout|394,AUS200,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,8606.121739130427,2026-03-17 04:00:00,0.0,stale,2026-03-16 00:00:00,7.0,8537.7,8781.300000000001,8952.300600000002,True
trading_center_screener_unified_v1|EURAUD.r|H1|macd_breakout|1792,EURAUD.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.6336409074410163,2026-03-16 06:00:00,27.0,stale,2026-03-16 03:00:00,30.0,1.63497,1.5932100000000002,1.5672292800000005,True
trading_center_screener_unified_v1|EURJPY.r|H4|macd_breakout|739,EURJPY.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,183.42577368421053,2026-03-13 08:00:00,11.0,stale,2026-03-12 08:00:00,17.0,183.946,181.728,180.277554,True
trading_center_screener_unified_v1|GBPCAD.r|H1|macd_breakout|445,GBPCAD.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.8160601304049404,2026-03-16 13:00:00,20.0,stale,2026-03-16 14:00:00,19.0,1.81131,1.83699,1.8534597,True
trading_center_screener_unified_v1|GBPNZD.r|H4|macd_breakout|136,GBPNZD.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,,,,stale,2026-03-12 12:00:00,16.0,2.24971,2.27082,2.2852750200000003,True
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|614,AUDJPY.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,111.74107896575828,2026-03-16 03:00:00,30.0,stale,2026-03-16 03:00:00,30.0,111.477,115.167,117.456072,True
trading_center_screener_unified_v1|EURCAD.r|H1|macd_breakout|448,EURCAD.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.5690025274725277,2026-03-16 13:00:00,20.0,stale,2026-03-16 13:00:00,20.0,1.56532,1.57422,1.5797202,True
trading_center_screener_unified_v1|EURCAD.r|H4|macd_breakout|144,EURCAD.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.5698971241830066,2026-03-16 12:00:00,4.0,stale,2026-03-13 12:00:00,10.0,1.56373,1.5819599999999998,1.5942458399999997,True
trading_center_screener_unified_v1|FRA40|H4|macd_breakout|186,FRA40,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,7962.760999999997,2026-03-13 16:00:00,9.0,stale,2026-03-13 16:00:00,9.0,8073.15,7228.35,6687.414600000001,True
trading_center_screener_unified_v1|GBPCHF.r|H1|macd_breakout|497,GBPCHF.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.043918,2026-03-13 16:00:00,41.0,stale,2026-03-16 16:00:00,17.0,1.04324,1.05468,1.0619106,True
trading_center_screener_unified_v1|GBPCHF.r|H4|macd_breakout|144,GBPCHF.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,1.0407586666666666,2026-03-09 16:00:00,33.0,recent,2026-03-16 20:00:00,2.0,1.03812,1.05244,1.06190776,True
trading_center_screener_unified_v1|US30|H4|macd_breakout|199,US30,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,47940.77333333334,2026-03-11 04:00:00,24.0,stale,2026-03-12 00:00:00,19.0,48055.45,45877.65000000001,44409.807300000015,True
trading_center_screener_unified_v1|CADCHF.r|H4|macd_breakout|128,CADCHF.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,0.5721986666666667,2026-03-10 20:00:00,26.0,stale,2026-03-12 00:00:00,19.0,0.57143,0.58399,0.5921167,True
trading_center_screener_unified_v1|USDJPY|H4|macd_breakout|746,USDJPY,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,152.57106666666672,2026-02-13 00:00:00,133.0,stale,2026-03-11 12:00:00,22.0,152.631,157.44500000000002,160.64809400000004,True
trading_center_screener_unified_v1|CADJPY.r|H1|macd_breakout|585,CADJPY.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,117.06264119601325,2026-03-12 09:00:00,72.0,stale,2026-03-17 00:00:00,9.0,117.083,115.871,115.103444,True
trading_center_screener_unified_v1|CADJPY.r|H4|macd_breakout|169,CADJPY.r,H4,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,,,,stale,2026-03-11 16:00:00,21.0,115.951,120.889,124.0099,True
trading_center_screener_unified_v1|GBPJPY.r|H1|macd_breakout|620,GBPJPY.r,H1,late,hay confirmaciones antiguas fuera de la ventana de memoria,6,211.068064716312,2026-03-16 11:00:00,22.0,stale,2026-03-16 01:00:00,32.0,210.954,214.799,217.26791,True
trading_center_screener_unified_v1|HK50|H1|macd_breakout|650,HK50,H1,missing_context,faltan datos: missing_w2_swing,7,,,,missing,,,25428.75,26604.75,27065.16,False
trading_center_screener_unified_v1|AUS200|H1|macd_breakout|1382,AUS200,H1,missing_context,faltan datos: missing_w2_swing,7,8606.100000000004,2026-03-17 07:00:00,2.0,missing,,,8537.7,8677.3,8747.751999999999,False
trading_center_screener_unified_v1|CHINA50|H1|macd_breakout|624,CHINA50,H1,missing_context,faltan datos: missing_w2_swing,7,,,,missing,,,14762.0,15272.0,15501.896,False
trading_center_screener_unified_v1|EURCHF.r|H1|macd_breakout|348,EURCHF.r,H1,missing_context,faltan datos: missing_w2_swing,7,0.9031255515151516,2026-03-13 23:00:00,34.0,recent,2026-03-17 07:00:00,2.0,0.90943,0.897,0.89099922,False
trading_center_screener_unified_v1|EURCHF.r|H4|macd_breakout|146,EURCHF.r,H4,missing_context,faltan datos: missing_w2_swing,7,0.9029846666666668,2026-03-11 12:00:00,22.0,missing,,,0.91195,0.89454,0.88701894,False
trading_center_screener_unified_v1|EURJPY.r|H1|macd_breakout|1653,EURJPY.r,H1,missing_context,faltan datos: missing_w2_swing,7,183.16621323529407,2026-03-17 06:00:00,3.0,recent,2026-03-17 09:00:00,0.0,184.03,181.21,179.954842,False
