symbol,timeframe,as_of_bar_time,from_state,to_state,event,reason,pivot_uid,lookahead_safe
EURUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_forming_wave1,cycle_reset_applied,current_cycle_tail_after_reset,EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,True
EURUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_possible_wave2,pivot_accepted,persistent_pivot_matures_state,EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725,True
EURUSD.r,H4,2026-03-17T04:00:00,cycle_possible_wave2,cycle_possible_wave3_active,pivot_accepted,persistent_pivot_matures_state,EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,True
GBPUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_forming_wave1,cycle_reset_applied,current_cycle_tail_after_reset,GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,True
GBPUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_possible_wave2,pivot_accepted,persistent_pivot_matures_state,GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343,True
GBPUSD.r,H4,2026-03-17T04:00:00,cycle_possible_wave2,cycle_possible_wave3_active,pivot_accepted,persistent_pivot_matures_state,GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,True
US500,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_forming_wave1,cycle_reset_applied,current_cycle_tail_after_reset,US500_H4_high_2026_01_28T08_00_00_7017_68,True
US500,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_possible_wave2,pivot_accepted,persistent_pivot_matures_state,US500_H4_low_2026_02_06T00_00_00_6734_22,True
US500,H4,2026-03-17T04:00:00,cycle_possible_wave2,cycle_possible_wave3_candidate,pivot_accepted,persistent_pivot_matures_state,US500_H4_high_2026_02_11T16_00_00_6995_45,True
XAUUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_forming_wave1,cycle_reset_applied,current_cycle_tail_after_reset,XAUUSD_r_H4_low_2025_11_21T08_00_00_4022_51,True
XAUUSD.r,H4,2026-03-17T04:00:00,cycle_forming_wave1,cycle_possible_wave2,pivot_accepted,persistent_pivot_matures_state,XAUUSD_r_H4_high_2026_01_29T00_00_00_5596_89,True
XAUUSD.r,H4,2026-03-17T04:00:00,cycle_possible_wave2,cycle_possible_wave3_candidate,pivot_accepted,persistent_pivot_matures_state,XAUUSD_r_H4_low_2026_02_17T16_00_00_4840_27,True
