fixture_id,source_path,symbol,timeframe,as_of_bar_time,expected_structure_phase,actual_structure_phase,expected_matches_actual,bars_total,pivots_total
impulse_possible_wave1,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W1,H4,2026-01-01T12:00:00,possible_wave1,possible_wave1,True,5,1
impulse_possible_wave2,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W2,H4,2026-01-02T12:00:00,possible_wave2,possible_wave2,True,5,2
impulse_wave3_candidate,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W3C,H4,2026-01-03T16:00:00,possible_wave3_candidate,possible_wave3_candidate,True,5,3
impulse_wave3_active,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W3A,H4,2026-01-04T16:00:00,possible_wave3_active,possible_wave3_active,True,5,3
impulse_possible_wave4,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W4,H4,2026-01-05T20:00:00,possible_wave4,possible_wave4,True,6,4
impulse_wave5_candidate,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W5C,H4,2026-01-06T20:00:00,possible_wave5_candidate,possible_wave5_candidate,True,6,5
impulse_wave5_active,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_W5A,H4,2026-01-07T20:00:00,possible_wave5_active,possible_wave5_active,True,6,5
impulse_completed_candidate,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_WDONE,H4,2026-01-09T00:00:00,completed_impulse_candidate,completed_impulse_candidate,True,7,6
correction_possible_waveA,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_A,H4,2026-01-09T08:00:00,possible_waveA,possible_waveA,True,3,1
correction_possible_waveB,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_B,H4,2026-01-10T12:00:00,possible_waveB,possible_waveB,True,4,2
correction_waveC_candidate,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_CC,H4,2026-01-11T16:00:00,possible_waveC_candidate,possible_waveC_candidate,True,5,3
correction_waveC_active,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_CA,H4,2026-01-12T16:00:00,possible_waveC_active,possible_waveC_active,True,5,3
correction_completed_abc,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_ABCDONE,H4,2026-01-13T20:00:00,completed_abc_candidate,completed_abc_candidate,True,6,4
unknown_no_pivots,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_UNKNOWN,H4,2026-01-14T08:00:00,unknown,unknown,True,3,0
ambiguous_low_prominence,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_AMBIG,H4,2026-01-15T12:00:00,ambiguous,ambiguous,True,4,1
invalidated_wave2,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_INV,H4,2026-01-16T12:00:00,invalidated,invalidated,True,4,2
not_available_missing_context,tests\fixtures\wavecount_live_context\fixture_cases.json,FX_NA,H4,2026-01-17T08:00:00,not_available,not_available,True,0,0
