column_name,required,default
context_id,True,
generated_at,True,
as_of_bar_time,True,
symbol,True,not_available
market_group,True,not_available
timeframe,True,not_available
higher_timeframe,True,not_available
source,True,wavecount_live_context_v0
data_origin,True,test_fixture
wavecount_live_available,True,False
structure_family,True,unknown
structure_phase,True,unknown
next_phase_hypothesis,True,not_available
direction,True,not_available
degree,True,not_available
hypothesis_status,True,forming
confidence_bucket,True,low
quality_bucket,True,not_available
policy_bucket_256,True,not_available
lookahead_safe,True,True
confirmation_lag_bars,True,0
detected_at,True,
pivot_confirmed_at,True,
evidence_window_start,True,
evidence_window_end,True,
wave_start_price,True,
wave_end_price,True,
current_price,True,
invalidation_level,True,
distance_to_invalidation_pct,True,
target_zone_1,True,
target_zone_2,True,
prominence_score,True,
ewo_state,True,not_available
ewo_divergence_status,True,not_available
ema_htf_context,True,not_available
trend_context,True,not_available
volatility_context,True,not_available
enbolsa_alignment_status,True,not_applicable
matched_enbolsa_setup_id,True,
matched_enbolsa_signal_state,True,not_available
is_read_only,True,True
can_generate_signal,True,False
can_filter_trade,True,False
can_execute_order,True,False
source_artifacts,True,
method_version,True,wavecount_live_context_v0_fixture_prototype
notes,True,
payload_json,True,{}
