fixture_id,context_id,as_of_bar_time,bars_total,bars_used,bars_after_as_of_ignored,pivots_total,pivots_used,pivots_after_as_of_ignored,detected_at_lte_as_of,evidence_window_end_lte_as_of,lookahead_safe,real_sql_executed,mt5_connected,backtests_executed,signals_generated,detected_pivots_total,structural_pivots_used,latest_pivot_detected_at,latest_pivot_extreme_time,pivot_detected_at_lte_as_of,pivot_extreme_time_used_as_detection
ohlc_possible_wave1,wavecount_live_v0_ohlc_possible_wave1_20260201T080000,2026-02-01T08:00:00,4,3,1,1,1,0,True,True,True,False,False,False,False,1,1,2026-02-01T08:00:00,2026-02-01T04:00:00,True,False
ohlc_possible_wave2,wavecount_live_v0_ohlc_possible_wave2_20260202T120000,2026-02-02T12:00:00,5,4,1,2,2,0,True,True,True,False,False,False,False,2,2,2026-02-02T12:00:00,2026-02-02T08:00:00,True,False
ohlc_wave3_candidate,wavecount_live_v0_ohlc_wave3_candidate_20260203T160000,2026-02-03T16:00:00,6,5,1,3,3,0,True,True,True,False,False,False,False,3,3,2026-02-03T16:00:00,2026-02-03T12:00:00,True,False
ohlc_wave3_active,wavecount_live_v0_ohlc_wave3_active_20260204T160000,2026-02-04T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False,3,3,2026-02-04T16:00:00,2026-02-04T12:00:00,True,False
ohlc_possible_wave4,wavecount_live_v0_ohlc_possible_wave4_20260205T200000,2026-02-05T20:00:00,6,6,0,4,4,0,True,True,True,False,False,False,False,4,4,2026-02-05T20:00:00,2026-02-05T16:00:00,True,False
ohlc_wave5_candidate,wavecount_live_v0_ohlc_wave5_candidate_20260207T000000,2026-02-07T00:00:00,7,7,0,5,5,0,True,True,True,False,False,False,False,5,5,2026-02-07T00:00:00,2026-02-06T20:00:00,True,False
ohlc_wave5_active,wavecount_live_v0_ohlc_wave5_active_20260208T000000,2026-02-08T00:00:00,7,7,0,5,5,0,True,True,True,False,False,False,False,5,5,2026-02-08T00:00:00,2026-02-07T20:00:00,True,False
ohlc_completed_impulse,wavecount_live_v0_ohlc_completed_impulse_20260209T040000,2026-02-09T04:00:00,8,8,0,6,6,0,True,True,True,False,False,False,False,6,6,2026-02-09T04:00:00,2026-02-09T00:00:00,True,False
ohlc_possible_waveA,wavecount_live_v0_ohlc_possible_waveA_20260210T080000,2026-02-10T08:00:00,4,3,1,1,1,0,True,True,True,False,False,False,False,1,1,2026-02-10T08:00:00,2026-02-10T04:00:00,True,False
ohlc_possible_waveB,wavecount_live_v0_ohlc_possible_waveB_20260211T120000,2026-02-11T12:00:00,4,4,0,2,2,0,True,True,True,False,False,False,False,2,2,2026-02-11T12:00:00,2026-02-11T08:00:00,True,False
ohlc_waveC_candidate,wavecount_live_v0_ohlc_waveC_candidate_20260212T160000,2026-02-12T16:00:00,6,5,1,3,3,0,True,True,True,False,False,False,False,3,3,2026-02-12T16:00:00,2026-02-12T12:00:00,True,False
ohlc_waveC_active,wavecount_live_v0_ohlc_waveC_active_20260213T160000,2026-02-13T16:00:00,5,5,0,3,3,0,True,True,True,False,False,False,False,3,3,2026-02-13T16:00:00,2026-02-13T12:00:00,True,False
ohlc_completed_abc,wavecount_live_v0_ohlc_completed_abc_20260214T200000,2026-02-14T20:00:00,6,6,0,4,4,0,True,True,True,False,False,False,False,4,4,2026-02-14T20:00:00,2026-02-14T16:00:00,True,False
ohlc_unknown,wavecount_live_v0_ohlc_unknown_20260215T080000,2026-02-15T08:00:00,3,3,0,0,0,0,True,True,True,False,False,False,False,0,0,,,True,False
ohlc_ambiguous,wavecount_live_v0_ohlc_ambiguous_20260216T120000,2026-02-16T12:00:00,4,4,0,2,2,0,True,True,True,False,False,False,False,2,2,2026-02-16T12:00:00,2026-02-16T08:00:00,True,False
ohlc_invalidated,wavecount_live_v0_ohlc_invalidated_20260217T120000,2026-02-17T12:00:00,4,4,0,2,2,0,True,True,True,False,False,False,False,2,2,2026-02-17T12:00:00,2026-02-17T08:00:00,True,False
ohlc_not_available,wavecount_live_v0_ohlc_not_available_20260218T080000,2026-02-18T08:00:00,0,0,0,0,0,0,True,True,True,False,False,False,False,0,0,,,True,False
