fixture_id,source_path,symbol,timeframe,as_of_bar_time,expected_structure_phase,actual_structure_phase,expected_matches_actual,bars_total,bars_used,detected_pivots,structural_pivots
ohlc_possible_wave1,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W1,H4,2026-02-01T08:00:00,possible_wave1,possible_wave1,True,4,3,1,1
ohlc_possible_wave2,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W2,H4,2026-02-02T12:00:00,possible_wave2,possible_wave2,True,5,4,2,2
ohlc_wave3_candidate,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W3C,H4,2026-02-03T16:00:00,possible_wave3_candidate,possible_wave3_candidate,True,6,5,3,3
ohlc_wave3_active,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W3A,H4,2026-02-04T16:00:00,possible_wave3_active,possible_wave3_active,True,5,5,3,3
ohlc_possible_wave4,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W4,H4,2026-02-05T20:00:00,possible_wave4,possible_wave4,True,6,6,4,4
ohlc_wave5_candidate,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W5C,H4,2026-02-07T00:00:00,possible_wave5_candidate,possible_wave5_candidate,True,7,7,5,5
ohlc_wave5_active,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_W5A,H4,2026-02-08T00:00:00,possible_wave5_active,possible_wave5_active,True,7,7,5,5
ohlc_completed_impulse,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_WDONE,H4,2026-02-09T04:00:00,completed_impulse_candidate,completed_impulse_candidate,True,8,8,6,6
ohlc_possible_waveA,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_A,H4,2026-02-10T08:00:00,possible_waveA,possible_waveA,True,4,3,1,1
ohlc_possible_waveB,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_B,H4,2026-02-11T12:00:00,possible_waveB,possible_waveB,True,4,4,2,2
ohlc_waveC_candidate,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_CC,H4,2026-02-12T16:00:00,possible_waveC_candidate,possible_waveC_candidate,True,6,5,3,3
ohlc_waveC_active,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_CA,H4,2026-02-13T16:00:00,possible_waveC_active,possible_waveC_active,True,5,5,3,3
ohlc_completed_abc,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_ABCDONE,H4,2026-02-14T20:00:00,completed_abc_candidate,completed_abc_candidate,True,6,6,4,4
ohlc_unknown,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_UNKNOWN,H4,2026-02-15T08:00:00,unknown,unknown,True,3,3,0,0
ohlc_ambiguous,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_AMBIG,H4,2026-02-16T12:00:00,ambiguous,ambiguous,True,4,4,2,2
ohlc_invalidated,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_INV,H4,2026-02-17T12:00:00,invalidated,invalidated,True,4,4,2,2
ohlc_not_available,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,OHLC_NA,H4,2026-02-18T08:00:00,not_available,not_available,True,0,0,0,0
