example_id,group,symbol,timeframe,example_type,raw_pivot_id,structure_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,atr,structural_detected_at,reason,leg_move_abs,leg_move_pct,leg_move_atr,bars_from_previous,replacement_of_raw_pivot_id,structural_pivot_id,previous_structural_pivot_id,fixture_id,market_group,higher_timeframe
ohlc_possible_wave1,Forex Majors,OHLC_W1,H4,impulse,1,structural_pivot,low,2026-02-01 04:00:00,2026-02-01 08:00:00,99.9,4.133333333333326,2026-02-01 08:00:00,initial structural pivot,,,,,,1,,ohlc_possible_wave1,Forex Majors,D1
ohlc_possible_wave2,Forex Majors,OHLC_W2,H4,impulse,1,structural_pivot,low,2026-02-02 04:00:00,2026-02-02 08:00:00,99.9,5.466666666666659,2026-02-02 08:00:00,initial structural pivot,,,,,,1,,ohlc_possible_wave2,Forex Majors,D1
ohlc_possible_wave2,Forex Majors,OHLC_W2,H4,impulse,2,structural_pivot,high,2026-02-02 08:00:00,2026-02-02 12:00:00,112.1,7.766666666666661,2026-02-02 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_possible_wave2,Forex Majors,D1
ohlc_wave3_candidate,Forex Majors,OHLC_W3C,H4,impulse,1,structural_pivot,low,2026-02-03 04:00:00,2026-02-03 08:00:00,99.9,5.466666666666659,2026-02-03 08:00:00,initial structural pivot,,,,,,1,,ohlc_wave3_candidate,Forex Majors,D1
ohlc_wave3_candidate,Forex Majors,OHLC_W3C,H4,impulse,2,structural_pivot,high,2026-02-03 08:00:00,2026-02-03 12:00:00,112.1,7.766666666666661,2026-02-03 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_wave3_candidate,Forex Majors,D1
ohlc_wave3_candidate,Forex Majors,OHLC_W3C,H4,impulse,3,structural_pivot,low,2026-02-03 12:00:00,2026-02-03 16:00:00,104.9,8.433333333333328,2026-02-03 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.8888888888888881,1.0,,3,2.0,ohlc_wave3_candidate,Forex Majors,D1
ohlc_wave3_active,Forex Majors,OHLC_W3A,H4,impulse,1,structural_pivot,low,2026-02-04 04:00:00,2026-02-04 08:00:00,99.9,5.466666666666659,2026-02-04 08:00:00,initial structural pivot,,,,,,1,,ohlc_wave3_active,Forex Majors,D1
ohlc_wave3_active,Forex Majors,OHLC_W3A,H4,impulse,2,structural_pivot,high,2026-02-04 08:00:00,2026-02-04 12:00:00,112.1,7.766666666666661,2026-02-04 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_wave3_active,Forex Majors,D1
ohlc_wave3_active,Forex Majors,OHLC_W3A,H4,impulse,3,structural_pivot,low,2026-02-04 12:00:00,2026-02-04 16:00:00,104.9,10.76666666666666,2026-02-04 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.7769784172661863,1.0,,3,2.0,ohlc_wave3_active,Forex Majors,D1
ohlc_possible_wave4,Forex Majors,OHLC_W4,H4,impulse,1,structural_pivot,low,2026-02-05 04:00:00,2026-02-05 08:00:00,99.9,5.466666666666659,2026-02-05 08:00:00,initial structural pivot,,,,,,1,,ohlc_possible_wave4,Forex Majors,D1
ohlc_possible_wave4,Forex Majors,OHLC_W4,H4,impulse,2,structural_pivot,high,2026-02-05 08:00:00,2026-02-05 12:00:00,112.1,7.766666666666661,2026-02-05 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_possible_wave4,Forex Majors,D1
ohlc_possible_wave4,Forex Majors,OHLC_W4,H4,impulse,3,structural_pivot,low,2026-02-05 12:00:00,2026-02-05 16:00:00,104.9,13.433333333333328,2026-02-05 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.6792452830188672,1.0,,3,2.0,ohlc_possible_wave4,Forex Majors,D1
ohlc_possible_wave4,Forex Majors,OHLC_W4,H4,impulse,4,structural_pivot,high,2026-02-05 16:00:00,2026-02-05 20:00:00,126.1,11.76666666666666,2026-02-05 20:00:00,opposite-type pivot passes structural leg filter,21.19999999999999,0.20209723546234498,1.6825396825396823,1.0,,4,3.0,ohlc_possible_wave4,Forex Majors,D1
ohlc_wave5_candidate,Forex Majors,OHLC_W5C,H4,impulse,1,structural_pivot,low,2026-02-06 04:00:00,2026-02-06 08:00:00,99.9,5.466666666666659,2026-02-06 08:00:00,initial structural pivot,,,,,,1,,ohlc_wave5_candidate,Forex Majors,D1
ohlc_wave5_candidate,Forex Majors,OHLC_W5C,H4,impulse,2,structural_pivot,high,2026-02-06 08:00:00,2026-02-06 12:00:00,112.1,7.766666666666661,2026-02-06 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_wave5_candidate,Forex Majors,D1
ohlc_wave5_candidate,Forex Majors,OHLC_W5C,H4,impulse,3,structural_pivot,low,2026-02-06 12:00:00,2026-02-06 16:00:00,104.9,13.433333333333328,2026-02-06 16:00:00,opposite-type pivot passes structural leg filter,7.199999999999989,0.06422836752899187,0.6792452830188672,1.0,,3,2.0,ohlc_wave5_candidate,Forex Majors,D1
ohlc_wave5_candidate,Forex Majors,OHLC_W5C,H4,impulse,4,structural_pivot,high,2026-02-06 16:00:00,2026-02-06 20:00:00,126.1,12.099999999999994,2026-02-06 20:00:00,opposite-type pivot passes structural leg filter,21.19999999999999,0.20209723546234498,1.6605744125326367,1.0,,4,3.0,ohlc_wave5_candidate,Forex Majors,D1
ohlc_wave5_candidate,Forex Majors,OHLC_W5C,H4,impulse,5,structural_pivot,low,2026-02-06 20:00:00,2026-02-07 00:00:00,117.9,11.76666666666666,2026-02-07 00:00:00,opposite-type pivot passes structural leg filter,8.199999999999989,0.06502775574940514,0.6871508379888263,1.0,,5,4.0,ohlc_wave5_candidate,Forex Majors,D1
ohlc_wave5_active,Forex Majors,OHLC_W5A,H4,impulse,1,structural_pivot,low,2026-02-07 04:00:00,2026-02-07 08:00:00,99.9,5.466666666666659,2026-02-07 08:00:00,initial structural pivot,,,,,,1,,ohlc_wave5_active,Forex Majors,D1
ohlc_wave5_active,Forex Majors,OHLC_W5A,H4,impulse,2,structural_pivot,high,2026-02-07 08:00:00,2026-02-07 12:00:00,112.1,7.766666666666661,2026-02-07 12:00:00,opposite-type pivot passes structural leg filter,12.199999999999989,0.122122122122122,1.8438287153652395,1.0,,2,1.0,ohlc_wave5_active,Forex Majors,D1
