context_id,generated_at,as_of_bar_time,symbol,market_group,timeframe,higher_timeframe,source,data_origin,wavecount_live_available,structure_family,structure_phase,next_phase_hypothesis,direction,degree,hypothesis_status,confidence_bucket,quality_bucket,policy_bucket_256,lookahead_safe,confirmation_lag_bars,detected_at,pivot_confirmed_at,evidence_window_start,evidence_window_end,wave_start_price,wave_end_price,current_price,invalidation_level,distance_to_invalidation_pct,target_zone_1,target_zone_2,prominence_score,ewo_state,ewo_divergence_status,ema_htf_context,trend_context,volatility_context,enbolsa_alignment_status,matched_enbolsa_setup_id,matched_enbolsa_signal_state,is_read_only,can_generate_signal,can_filter_trade,can_execute_order,source_artifacts,method_version,notes,payload_json
wavecount_live_v0_ohlc_possible_wave1_20260201T080000,2026-06-22T15:12:49Z,2026-02-01T08:00:00,OHLC_W1,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave1,possible_wave2,long,intermediate,forming,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-01T08:00:00,2026-02-01T08:00:00,2026-02-01T00:00:00,2026-02-01T08:00:00,99.9,99.9,108.0,99.9,0.075,,,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_possible_wave1; phase=possible_wave1; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave1"", ""bars_total"": 4, ""bars_used"": 3, ""detected_pivots"": 1, ""expected_structure_phase"": ""possible_wave1"", ""fixture_id"": ""ohlc_possible_wave1"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 1}"
wavecount_live_v0_ohlc_possible_wave2_20260202T120000,2026-06-22T15:12:49Z,2026-02-02T12:00:00,OHLC_W2,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave2,possible_wave3_candidate,long,intermediate,forming,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-02T12:00:00,2026-02-02T12:00:00,2026-02-02T00:00:00,2026-02-02T12:00:00,99.9,112.1,105.0,99.9,0.048571,112.5396,117.2,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_possible_wave2; phase=possible_wave2; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave2"", ""bars_total"": 5, ""bars_used"": 4, ""detected_pivots"": 2, ""expected_structure_phase"": ""possible_wave2"", ""fixture_id"": ""ohlc_possible_wave2"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 2}"
wavecount_live_v0_ohlc_wave3_candidate_20260203T160000,2026-06-22T15:12:49Z,2026-02-03T16:00:00,OHLC_W3C,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave3_candidate,possible_wave3_active,long,intermediate,provisional,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-03T16:00:00,2026-02-03T16:00:00,2026-02-03T00:00:00,2026-02-03T16:00:00,99.9,104.9,111.0,104.9,0.054955,114.09,116.0,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_wave3_candidate; phase=possible_wave3_candidate; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave3_candidate"", ""bars_total"": 6, ""bars_used"": 5, ""detected_pivots"": 3, ""expected_structure_phase"": ""possible_wave3_candidate"", ""fixture_id"": ""ohlc_wave3_candidate"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 3}"
wavecount_live_v0_ohlc_wave3_active_20260204T160000,2026-06-22T15:12:49Z,2026-02-04T16:00:00,OHLC_W3A,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave3_active,possible_wave4,long,intermediate,provisional,medium,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-04T16:00:00,2026-02-04T16:00:00,2026-02-04T00:00:00,2026-02-04T16:00:00,99.9,104.9,118.0,104.9,0.111017,121.09,123.0,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_wave3_active; phase=possible_wave3_active; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave3_active"", ""bars_total"": 5, ""bars_used"": 5, ""detected_pivots"": 3, ""expected_structure_phase"": ""possible_wave3_active"", ""fixture_id"": ""ohlc_wave3_active"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 3}"
wavecount_live_v0_ohlc_possible_wave4_20260205T200000,2026-06-22T15:12:49Z,2026-02-05T20:00:00,OHLC_W4,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave4,possible_wave5_candidate,long,intermediate,provisional,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-05T20:00:00,2026-02-05T20:00:00,2026-02-05T00:00:00,2026-02-05T20:00:00,99.9,126.1,119.0,104.9,0.118487,135.1916,145.2,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_possible_wave4; phase=possible_wave4; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave4"", ""bars_total"": 6, ""bars_used"": 6, ""detected_pivots"": 4, ""expected_structure_phase"": ""possible_wave4"", ""fixture_id"": ""ohlc_possible_wave4"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 4}"
wavecount_live_v0_ohlc_wave5_candidate_20260207T000000,2026-06-22T15:12:49Z,2026-02-07T00:00:00,OHLC_W5C,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave5_candidate,possible_wave5_active,long,intermediate,provisional,medium,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-07T00:00:00,2026-02-07T00:00:00,2026-02-06T00:00:00,2026-02-07T00:00:00,99.9,117.9,124.0,117.9,0.049194,135.124,142.0,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_wave5_candidate; phase=possible_wave5_candidate; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave5_candidate"", ""bars_total"": 7, ""bars_used"": 7, ""detected_pivots"": 5, ""expected_structure_phase"": ""possible_wave5_candidate"", ""fixture_id"": ""ohlc_wave5_candidate"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 5}"
wavecount_live_v0_ohlc_wave5_active_20260208T000000,2026-06-22T15:12:49Z,2026-02-08T00:00:00,OHLC_W5A,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,possible_wave5_active,completed_impulse_candidate,long,intermediate,provisional,medium,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-08T00:00:00,2026-02-08T00:00:00,2026-02-07T00:00:00,2026-02-08T00:00:00,99.9,117.9,130.0,117.9,0.093077,141.124,148.0,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_wave5_active; phase=possible_wave5_active; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_wave5_active"", ""bars_total"": 7, ""bars_used"": 7, ""detected_pivots"": 5, ""expected_structure_phase"": ""possible_wave5_active"", ""fixture_id"": ""ohlc_wave5_active"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 5}"
wavecount_live_v0_ohlc_completed_impulse_20260209T040000,2026-06-22T15:12:49Z,2026-02-09T04:00:00,OHLC_WDONE,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,impulse,completed_impulse_candidate,possible_waveA,long,intermediate,confirmed,medium,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-09T04:00:00,2026-02-09T04:00:00,2026-02-08T00:00:00,2026-02-09T04:00:00,99.9,130.1,126.0,,,144.6636,156.2,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_completed_impulse; phase=completed_impulse_candidate; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""completed_impulse_candidate"", ""bars_total"": 8, ""bars_used"": 8, ""detected_pivots"": 6, ""expected_structure_phase"": ""completed_impulse_candidate"", ""fixture_id"": ""ohlc_completed_impulse"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 6}"
wavecount_live_v0_ohlc_possible_waveA_20260210T080000,2026-06-22T15:12:49Z,2026-02-10T08:00:00,OHLC_A,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,correction,possible_waveA,possible_waveB,short,intermediate,forming,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-10T08:00:00,2026-02-10T08:00:00,2026-02-10T00:00:00,2026-02-10T08:00:00,130.1,130.1,122.0,130.1,0.066393,,,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_possible_waveA; phase=possible_waveA; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_waveA"", ""bars_total"": 4, ""bars_used"": 3, ""detected_pivots"": 1, ""expected_structure_phase"": ""possible_waveA"", ""fixture_id"": ""ohlc_possible_waveA"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 1}"
wavecount_live_v0_ohlc_possible_waveB_20260211T120000,2026-06-22T15:12:49Z,2026-02-11T12:00:00,OHLC_B,Forex Majors,H4,D1,wavecount_live_context_v0,test_fixture,True,correction,possible_waveB,possible_waveC_candidate,short,intermediate,forming,low,fixture_provisional_structure,usable_provisional_structure,True,1,2026-02-11T12:00:00,2026-02-11T12:00:00,2026-02-11T00:00:00,2026-02-11T12:00:00,130.1,117.9,126.0,130.1,0.03254,118.4604,113.8,,not_available,not_available,not_available,not_available,not_available,not_applicable,,not_available,True,False,False,False,tests\fixtures\wavecount_live_ohlc\ohlc_cases.json,wavecount_live_context_v0_ohlc_prototype,ohlc-cut prototype; fixture_id=ohlc_possible_waveB; phase=possible_waveB; no_signal_no_filter_no_execution,"{""actual_structure_phase"": ""possible_waveB"", ""bars_total"": 4, ""bars_used"": 4, ""detected_pivots"": 2, ""expected_structure_phase"": ""possible_waveB"", ""fixture_id"": ""ohlc_possible_waveB"", ""ohlc_cut_prototype"": true, ""operational_use"": ""forbidden"", ""structural_pivots"": 2}"
