hypothesis_id,symbol,timeframe,cut_number,as_of_bar_time,bars_total,bars_used,bars_after_as_of_ignored,latest_pivot_detected_at,latest_pivot_detected_at_lte_as_of,lookahead_safe
persistent_wave_v0_EURUSD_r_H4_cut01_20250826T000000,EURUSD.r,H4,1,2025-08-26T00:00:00,900,41,859,2025-08-25T20:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut02_20250916T200000,EURUSD.r,H4,2,2025-09-16T20:00:00,900,136,764,2025-09-16T20:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut03_20251008T200000,EURUSD.r,H4,3,2025-10-08T20:00:00,900,232,668,2025-10-08T16:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut04_20251030T160000,EURUSD.r,H4,4,2025-10-30T16:00:00,900,327,573,2025-10-30T16:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut05_20251121T160000,EURUSD.r,H4,5,2025-11-21T16:00:00,900,423,477,2025-11-21T16:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut06_20251215T120000,EURUSD.r,H4,6,2025-12-15T12:00:00,900,518,382,2025-12-12T16:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut07_20260108T120000,EURUSD.r,H4,7,2026-01-08T12:00:00,900,614,286,2026-01-08T12:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut08_20260130T080000,EURUSD.r,H4,8,2026-01-30T08:00:00,900,709,191,2026-01-30T04:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut09_20260223T080000,EURUSD.r,H4,9,2026-02-23T08:00:00,900,805,95,2026-02-23T00:00:00,True,True
persistent_wave_v0_EURUSD_r_H4_cut10_20260317T040000,EURUSD.r,H4,10,2026-03-17T04:00:00,900,900,0,2026-03-16T20:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut01_20250826T000000,GBPUSD.r,H4,1,2025-08-26T00:00:00,900,41,859,2025-08-25T20:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut02_20250916T200000,GBPUSD.r,H4,2,2025-09-16T20:00:00,900,136,764,2025-09-16T16:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut03_20251008T200000,GBPUSD.r,H4,3,2025-10-08T20:00:00,900,232,668,2025-10-08T20:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut04_20251030T160000,GBPUSD.r,H4,4,2025-10-30T16:00:00,900,327,573,2025-10-30T16:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut05_20251121T160000,GBPUSD.r,H4,5,2025-11-21T16:00:00,900,423,477,2025-11-21T04:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut06_20251215T120000,GBPUSD.r,H4,6,2025-12-15T12:00:00,900,518,382,2025-12-12T16:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut07_20260108T120000,GBPUSD.r,H4,7,2026-01-08T12:00:00,900,614,286,2026-01-08T12:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut08_20260130T080000,GBPUSD.r,H4,8,2026-01-30T08:00:00,900,709,191,2026-01-30T08:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut09_20260223T080000,GBPUSD.r,H4,9,2026-02-23T08:00:00,900,805,95,2026-02-23T08:00:00,True,True
persistent_wave_v0_GBPUSD_r_H4_cut10_20260317T040000,GBPUSD.r,H4,10,2026-03-17T04:00:00,900,900,0,2026-03-16T20:00:00,True,True
persistent_wave_v0_US500_H4_cut01_20250825T080000,US500,H4,1,2025-08-25T08:00:00,900,41,859,2025-08-22T16:00:00,True,True
persistent_wave_v0_US500_H4_cut02_20250916T080000,US500,H4,2,2025-09-16T08:00:00,900,136,764,2025-09-16T08:00:00,True,True
persistent_wave_v0_US500_H4_cut03_20251008T080000,US500,H4,3,2025-10-08T08:00:00,900,232,668,2025-10-07T16:00:00,True,True
persistent_wave_v0_US500_H4_cut04_20251030T040000,US500,H4,4,2025-10-30T04:00:00,900,327,573,2025-10-30T04:00:00,True,True
persistent_wave_v0_US500_H4_cut05_20251121T040000,US500,H4,5,2025-11-21T04:00:00,900,423,477,2025-11-21T00:00:00,True,True
persistent_wave_v0_US500_H4_cut06_20251215T040000,US500,H4,6,2025-12-15T04:00:00,900,518,382,2025-12-12T20:00:00,True,True
persistent_wave_v0_US500_H4_cut07_20260108T040000,US500,H4,7,2026-01-08T04:00:00,900,614,286,2026-01-07T16:00:00,True,True
persistent_wave_v0_US500_H4_cut08_20260130T040000,US500,H4,8,2026-01-30T04:00:00,900,709,191,2026-01-29T16:00:00,True,True
persistent_wave_v0_US500_H4_cut09_20260223T080000,US500,H4,9,2026-02-23T08:00:00,900,805,95,2026-02-20T20:00:00,True,True
persistent_wave_v0_US500_H4_cut10_20260317T040000,US500,H4,10,2026-03-17T04:00:00,900,900,0,2026-03-17T00:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut01_20250826T000000,XAUUSD.r,H4,1,2025-08-26T00:00:00,900,41,859,2025-08-26T00:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut02_20250916T200000,XAUUSD.r,H4,2,2025-09-16T20:00:00,900,136,764,2025-09-16T16:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut03_20251008T200000,XAUUSD.r,H4,3,2025-10-08T20:00:00,900,232,668,2025-10-08T16:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut04_20251030T160000,XAUUSD.r,H4,4,2025-10-30T16:00:00,900,327,573,2025-10-30T12:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut05_20251121T160000,XAUUSD.r,H4,5,2025-11-21T16:00:00,900,423,477,2025-11-21T08:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut06_20251215T120000,XAUUSD.r,H4,6,2025-12-15T12:00:00,900,518,382,2025-12-12T16:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut07_20260108T120000,XAUUSD.r,H4,7,2026-01-08T12:00:00,900,614,286,2026-01-08T12:00:00,True,True
persistent_wave_v0_XAUUSD_r_H4_cut08_20260130T080000,XAUUSD.r,H4,8,2026-01-30T08:00:00,900,709,191,2026-01-30T08:00:00,True,True
