pivot_uid,symbol,timeframe,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_price,pivot_role,first_seen_at,last_seen_at,accepted_at,superseded_at,superseded_by,persistence_cuts,is_persistent,is_current_candidate,rejection_reason,lookahead_safe
EURUSD_r_H4_low_2025_08_22T04_00_00_1_1583,EURUSD.r,H4,low,2025-08-22T04:00:00,2025-08-25T04:00:00,1.1583,rejected_pivot,2025-08-26T00:00:00,2025-08-26T00:00:00,,,,1,False,False,did_not_reach_persistence,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,low,2025-08-27T12:00:00,2025-08-28T12:00:00,1.15741,persistent_pivot,2025-09-16T20:00:00,2026-03-17T04:00:00,2025-10-08T20:00:00,,,9,True,False,,True
EURUSD_r_H4_high_2025_09_05T16_00_00_1_17595,EURUSD.r,H4,high,2025-09-05T16:00:00,2025-09-08T16:00:00,1.17595,rejected_pivot,2025-09-16T20:00:00,2025-09-16T20:00:00,,,,1,False,False,did_not_reach_persistence,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,high,2025-09-17T20:00:00,2025-09-18T20:00:00,1.19185,persistent_pivot,2025-10-08T20:00:00,2026-03-17T04:00:00,2025-10-30T16:00:00,,,8,True,False,,True
EURUSD_r_H4_low_2025_09_25T20_00_00_1_16456,EURUSD.r,H4,low,2025-09-25T20:00:00,2025-09-26T20:00:00,1.16456,rejected_pivot,2025-10-08T20:00:00,2025-10-08T20:00:00,,,,1,False,False,did_not_reach_persistence,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,low,2025-10-09T20:00:00,2025-10-10T20:00:00,1.15421,persistent_pivot,2025-10-30T16:00:00,2026-03-17T04:00:00,2025-11-21T16:00:00,,,7,True,False,,True
EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,EURUSD.r,H4,high,2025-10-17T08:00:00,2025-10-20T08:00:00,1.17284,persistent_pivot,2025-10-30T16:00:00,2026-03-17T04:00:00,2025-11-21T16:00:00,,,7,True,False,,True
EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469,EURUSD.r,H4,low,2025-11-05T16:00:00,2025-11-06T16:00:00,1.1469,persistent_pivot,2025-11-21T16:00:00,2026-03-17T04:00:00,2025-12-15T12:00:00,,,6,True,False,,True
EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558,EURUSD.r,H4,high,2025-11-13T16:00:00,2025-11-14T16:00:00,1.16558,persistent_pivot,2025-11-21T16:00:00,2026-03-17T04:00:00,2025-12-15T12:00:00,,,6,True,False,,True
EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,EURUSD.r,H4,low,2025-11-21T16:00:00,2025-11-24T16:00:00,1.14911,persistent_pivot,2025-12-15T12:00:00,2026-03-17T04:00:00,2026-01-08T12:00:00,,,5,True,False,,True
