hypothesis_id,generated_at,symbol,market_group,timeframe,higher_timeframe,cut_number,as_of_bar_time,estimated_current_wave,confirmed_wave_context,next_wave_hypothesis,hypothesis_status,freshness_status,wave_stability_status,display_policy,invalidation_level,distance_to_invalidation_pct,last_persistent_pivot_at,last_candidate_pivot_at,persistent_pivot_count,candidate_pivot_count,superseded_pivot_count,wave_event,wave_event_reason,lookahead_safe,is_read_only,can_generate_signal,can_filter_trade,can_execute_order,source,data_origin,method_version,notes,payload_json
persistent_wave_v0_EURUSD_r_H4_cut01_20250826T000000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,1,2025-08-26T00:00:00,possible_wave1,unknown,possible_wave2,provisional,provisional_estimate,provisional,show_with_warning,,,,2025-08-25T04:00:00,0,1,0,initial_hypothesis,candidate_pivot_guides_estimate,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2025_08_22T04_00_00_1_1583""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut02_20250916T200000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,2,2025-09-16T20:00:00,possible_wave1,unknown,possible_wave2,provisional,provisional_estimate,provisional,show_with_warning,,,,2025-09-08T16:00:00,0,2,0,candidate_pivot_seen,candidate_pivot_guides_estimate,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_05T16_00_00_1_17595""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut03_20251008T200000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,3,2025-10-08T20:00:00,possible_wave2,possible_wave1,possible_wave3_candidate,provisional,provisional_estimate,provisional,show_with_warning,,,2025-08-28T12:00:00,2025-09-26T20:00:00,1,2,0,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=1,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_09_25T20_00_00_1_16456""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut04_20251030T160000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,4,2025-10-30T16:00:00,possible_wave3_candidate,possible_wave2,possible_wave3_active,provisional,provisional_estimate,provisional,show_with_warning,1.15741,0.000424,2025-09-18T20:00:00,2025-10-20T08:00:00,2,2,0,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=2,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut05_20251121T160000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,5,2025-11-21T16:00:00,possible_wave5_candidate,possible_wave4,possible_wave5_active,provisional,provisional_estimate,provisional,show_with_warning,1.15421,0.003033,2025-10-20T08:00:00,2025-11-14T16:00:00,4,2,0,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=4,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut06_20251215T120000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,6,2025-12-15T12:00:00,possible_wave5_active,possible_wave5_active,completed_impulse_candidate,forming,fresh_estimate,provisional,show_with_warning,1.1469,0.023707,2025-11-14T16:00:00,2025-12-12T16:00:00,6,2,0,wave_phase_changed,candidate_pivot_guides_estimate;persistent_pivots=6,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911"", ""EURUSD_r_H4_high_2025_12_11T16_00_00_1_17627""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284"", ""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut07_20260108T120000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,7,2026-01-08T12:00:00,possible_wave5_active,possible_wave5_active,completed_impulse_candidate,forming,fresh_estimate,provisional,show_with_warning,1.16558,0.000592,2025-11-24T16:00:00,2026-01-06T12:00:00,7,2,0,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=7,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079"", ""EURUSD_r_H4_low_2026_01_05T12_00_00_1_1659""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284"", ""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558"", ""EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut08_20260130T080000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,8,2026-01-30T08:00:00,possible_wave5_active,possible_wave5_active,completed_impulse_candidate,forming,fresh_estimate,provisional,show_with_warning,1.14911,0.035051,2025-12-26T04:00:00,2026-01-28T20:00:00,8,2,0,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=8,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725"", ""EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284"", ""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558"", ""EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911"", ""EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut09_20260223T080000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,completed_impulse_candidate,forming,fresh_estimate,provisional,show_with_warning,1.20816,0.023795,2026-01-28T20:00:00,2026-02-20T16:00:00,10,1,0,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=10,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2026_02_19T16_00_00_1_1742""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284"", ""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558"", ""EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911"", ""EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079"", ""EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725"", ""EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
persistent_wave_v0_EURUSD_r_H4_cut10_20260317T040000,2026-05-27T14:13:53Z,EURUSD.r,Forex Majors,H4,D1,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,completed_impulse_candidate,forming,fresh_estimate,provisional,show_with_warning,1.20816,0.050848,2026-01-28T20:00:00,2026-03-16T20:00:00,10,1,0,candidate_pivot_seen,candidate_pivot_guides_estimate;persistent_pivots=10,True,True,False,False,False,wavecount_persistent_hypothesis_v0,local_ohlc_artifact_progressive_cuts,wavecount_persistent_hypothesis_v0,persistent-pivot wave context only; no_signal_no_filter_no_execution,"{""candidate_pivot_uids"": [""EURUSD_r_H4_low_2026_03_13T20_00_00_1_14107""], ""operational_use"": ""forbidden"", ""persistent_pivot_uids"": [""EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741"", ""EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185"", ""EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421"", ""EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284"", ""EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469"", ""EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558"", ""EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911"", ""EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079"", ""EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725"", ""EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816""], ""pivot_config"": {""atr_period"": 20, ""candidate_lookback_bars"": 12, ""confirmation_bars"": 6, ""left_bars"": 10, ""min_atr_multiplier"": 2.1, ""min_bars_between_pivots"": 12, ""min_relative_move_pct"": 0.004}, ""structural_config"": {""allow_first_pivot"": true, ""min_leg_atr_multiplier"": 7.5, ""min_leg_bars"": 34, ""min_leg_relative_move_pct"": 0.012}}"
