pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
EURUSD_r_H4_low_2025_08_22T04_00_00_1_1583,EURUSD.r,H4,1,2025-08-26T00:00:00,candidate_seen,low,2025-08-25T04:00:00,True
EURUSD_r_H4_high_2025_09_05T16_00_00_1_17595,EURUSD.r,H4,2,2025-09-16T20:00:00,candidate_seen,high,2025-09-08T16:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,2,2025-09-16T20:00:00,candidate_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,high,2025-09-18T20:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,3,2025-10-08T20:00:00,persistent_accepted,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_09_25T20_00_00_1_16456,EURUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,low,2025-09-26T20:00:00,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,4,2025-10-30T16:00:00,persistent_accepted,high,2025-09-18T20:00:00,True
EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,EURUSD.r,H4,4,2025-10-30T16:00:00,candidate_seen,high,2025-10-20T08:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,4,2025-10-30T16:00:00,persistent_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,4,2025-10-30T16:00:00,candidate_seen,low,2025-10-10T20:00:00,True
EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,EURUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,high,2025-09-18T20:00:00,True
EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,EURUSD.r,H4,5,2025-11-21T16:00:00,persistent_accepted,high,2025-10-20T08:00:00,True
EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558,EURUSD.r,H4,5,2025-11-21T16:00:00,candidate_seen,high,2025-11-14T16:00:00,True
EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,EURUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,low,2025-08-28T12:00:00,True
EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421,EURUSD.r,H4,5,2025-11-21T16:00:00,persistent_accepted,low,2025-10-10T20:00:00,True
EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469,EURUSD.r,H4,5,2025-11-21T16:00:00,candidate_seen,low,2025-11-06T16:00:00,True
