hypothesis_id,symbol,timeframe,cut_number,persistent_pivots,candidate_pivots,superseded_recent,pivot_set_hash,pivot_set_changed,estimated_current_wave,display_policy
persistent_wave_v0_EURUSD_r_H4_cut01_20250826T000000,EURUSD.r,H4,1,0,1,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut02_20250916T200000,EURUSD.r,H4,2,0,2,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut03_20251008T200000,EURUSD.r,H4,3,1,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741,True,possible_wave2,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut04_20251030T160000,EURUSD.r,H4,4,2,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185,True,possible_wave3_candidate,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut05_20251121T160000,EURUSD.r,H4,5,4,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284,True,possible_wave5_candidate,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut06_20251215T120000,EURUSD.r,H4,6,6,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284|EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469|EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558,True,possible_wave5_active,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut07_20260108T120000,EURUSD.r,H4,7,7,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284|EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469|EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558|EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911,True,possible_wave5_active,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut08_20260130T080000,EURUSD.r,H4,8,8,2,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284|EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469|EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558|EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911|EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079,True,possible_wave5_active,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut09_20260223T080000,EURUSD.r,H4,9,10,1,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284|EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469|EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558|EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911|EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079|EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725|EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,True,possible_wave5_active,show_with_warning
persistent_wave_v0_EURUSD_r_H4_cut10_20260317T040000,EURUSD.r,H4,10,10,1,0,EURUSD_r_H4_low_2025_08_27T12_00_00_1_15741|EURUSD_r_H4_high_2025_09_17T20_00_00_1_19185|EURUSD_r_H4_low_2025_10_09T20_00_00_1_15421|EURUSD_r_H4_high_2025_10_17T08_00_00_1_17284|EURUSD_r_H4_low_2025_11_05T16_00_00_1_1469|EURUSD_r_H4_high_2025_11_13T16_00_00_1_16558|EURUSD_r_H4_low_2025_11_21T16_00_00_1_14911|EURUSD_r_H4_high_2025_12_24T04_00_00_1_18079|EURUSD_r_H4_low_2026_01_19T00_00_00_1_15725|EURUSD_r_H4_high_2026_01_27T20_00_00_1_20816,False,possible_wave5_active,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut01_20250826T000000,GBPUSD.r,H4,1,0,1,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut02_20250916T200000,GBPUSD.r,H4,2,0,2,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut03_20251008T200000,GBPUSD.r,H4,3,1,3,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,True,possible_wave2,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut04_20251030T160000,GBPUSD.r,H4,4,4,1,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,True,possible_wave5_active,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut05_20251121T160000,GBPUSD.r,H4,5,4,1,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,False,possible_wave5_candidate,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut06_20251215T120000,GBPUSD.r,H4,6,5,1,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273|GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,True,possible_wave5_candidate,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut07_20260108T120000,GBPUSD.r,H4,7,5,1,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273|GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,False,possible_wave5_candidate,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut08_20260130T080000,GBPUSD.r,H4,8,6,2,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273|GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375|GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,True,possible_wave5_active,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut09_20260223T080000,GBPUSD.r,H4,9,8,1,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273|GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375|GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675|GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343|GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,True,possible_wave5_active,show_with_warning
persistent_wave_v0_GBPUSD_r_H4_cut10_20260317T040000,GBPUSD.r,H4,10,8,2,0,GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331|GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716|GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204|GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273|GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375|GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675|GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343|GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,False,possible_wave5_active,show_with_warning
persistent_wave_v0_US500_H4_cut01_20250825T080000,US500,H4,1,0,1,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_US500_H4_cut02_20250916T080000,US500,H4,2,1,1,0,US500_H4_low_2025_08_20T16_00_00_6346_85,True,possible_wave2,show_with_warning
persistent_wave_v0_US500_H4_cut03_20251008T080000,US500,H4,3,1,1,0,US500_H4_low_2025_08_20T16_00_00_6346_85,False,possible_wave2,show_with_warning
persistent_wave_v0_US500_H4_cut04_20251030T040000,US500,H4,4,2,2,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97,True,possible_wave3_active,show_with_warning
persistent_wave_v0_US500_H4_cut05_20251121T040000,US500,H4,5,3,2,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43,True,possible_wave4,show_with_warning
